연번,설치기관명,설치기관 주소,기관 연락처
59,오갑보건진료소,"충청북도 진천군 초평면 영주원1길 22-12, 오갑보건진료소",043-539-7493
60,생거진천종합사회복지관,"충청북도 진천군 진천읍 중앙북1길 11-10, 생거진천종합사회복지관",043-539-3387
61,문백보건지소(민원실),"충청북도 진천군 문백면 옥성1길 21, 문백면행정복지센터",043-539-7450
62,용산보건진료소,"충청북도 진천군 초평면 원댕이길 10, 용산보건진료소",043-838-3001
63,충북체육중학교,"충청북도 진천군 문백면 도하3길 120, 충북체육중학교",043-534-8421
64,진천중앙시장,충청북도 진천군 진천읍 중앙동6길 18-17,043-533-8966
65,의료법인진천의료재단진천효병원,"충청북도 진천군 이월면 반지길 54, 진천효병원",043-537-0035
66,의료법인진천의료재단진천효병원,"충청북도 진천군 이월면 반지길 54, 진천효병원",043-537-0035
67,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
68,의료법인노은의료재단도은병원,"충청북도 진천군 문백면 문진로 88-56, 도은병원",043-930-2000
69,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
70,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
71,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
72,의료법인노은의료재단도은병원,"충청북도 진천군 문백면 문진로 88-56, 도은병원",043-930-2000
73,의료법인노은의료재단도은병원,"충청북도 진천군 문백면 문진로 88-56, 도은병원",043-930-2000
74,의료법인가은의료재단혁신성모병원,"충청북도 진천군 덕산읍 자안로 9, 삼영프라자 2층",043-533-1000
75,의료법인건명의료재단중앙제일병원,"충청북도 진천군 진천읍 중앙북로 36, 진천성모병원",043-533-1711
76,의료법인노은의료재단도은병원,"충청북도 진천군 문백면 문진로 88-56, 도은병원",043-930-2000
77,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
78,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
79,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
80,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
81,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
82,진천장관2차부영아파트관리소,충청북도 진천군 진천읍 진광로 97-13 장관사랑으로부영2차아파트,043-533-9733
83,진천장관부영1차아파트,충청북도 진천군 진천읍 장관2길 139 부영1차아파트,043-533-1047
84,진천군청산림녹지과,"충청북도 진천군 진천읍 문진로 1433, 진천군 산림녹지과",043-539-3576
85,진천종합스포츠타운,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",043-531-1930
86,한국야금,"충청북도 진천군 광혜원면 광혜원산단2길 54, 한국야금(주)",043-535-0141
87,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
88,한솔테크닉스,"충청북도 진천군 덕산읍 한삼로 55, 한솔테크닉스",043-530-8890
89,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
90,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
91,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
92,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
93,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
94,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
95,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
96,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
97,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
98,현대모비스진천공장,"충청북도 진천군 문백면 사양2길 95, 현대모비스",043-539-9111
99,한솔테크닉스,"충청북도 진천군 덕산읍 한삼로 55, 한솔테크닉스",043-530-8890
100,충북체육고등학교,"충청북도 진천군 문백면 도하3길 120, 충북체육고등학교",043-531-8019
101,충북체육고등학교,"충청북도 진천군 문백면 도하3길 120, 충북체육고등학교",043-531-8019
102,충북체육고등학교,"충청북도 진천군 문백면 도하3길 120, 충북체육고등학교",043-531-8019
103,체육진흥지원단,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",043-539-7697
104,진천군청산림녹지과,"충청북도 진천군 진천읍 문진로 1433, 진천군 산림녹지과",043-539-3576
105,치유의숲,"충청북도 진천군 이월면 송림2길 81-200, 치유의 숲",043-539-4386
106,치유의숲,"충청북도 진천군 이월면 송림2길 81-200, 치유의 숲",043-539-4386
107,체리부로,"충청북도 진천군 이월면 생거진천로 1770, 체리부로",043-530-3272
108,한국국토정보공사진천지사,"충청북도 진천군 진천읍 문화로 163, 한국국토정보공사",043-753-4900
109,(주)오토닉스,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",043-539-6700
110,(주)오토닉스,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",043-539-6700
111,(주)선일다이파스,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",043-530-1700
112,(주)현대에버다임,"충청북도 진천군 진천읍 부영길 49, 에버다임",043-530-3372
113,씨제이제일제당(주)진천공장,"충청북도 진천군 광혜원면 광혜원산단2길 112, CJ제일제당",043-531-1119
114,(주)선일다이파스,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",043-530-1700
115,(주)오토닉스,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",043-539-6700
116,(주)오토닉스,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",043-539-6700
117,(주)오토닉스,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",043-539-6700
118,리슈빌 아파트 관리사무소,충청북도 진천군 덕산면 연미로 128 (충북혁신리슈빌아파트),043-532-8873
119,진천광혜원LH2단지아파트,"충청북도 진천군 광혜원면 화랑길 29, 관리사무소",043-537-8788
120,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
121,진천광혜원LH2단지아파트,"충청북도 진천군 광혜원면 화랑길 29, 관리사무소",043-537-8788
122,(주)면사랑,"충청북도 진천군 이월면 궁동길 51-24, (주)면사랑",043-531-8251
123,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
124,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
125,BGF로지스진천센터,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일 중앙물류센터",043-753-8200
126,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
127,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
128,BGF로지스진천센터,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일 중앙물류센터",043-753-8200
129,BGF로지스진천센터,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일 중앙물류센터",043-753-8200
130,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
131,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
132,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
133,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
134,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
135,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
136,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
137,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
138,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
139,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
140,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
141,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
142,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
143,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
144,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
145,씨제이 제일제당(진천점),"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",043-531-0599
146,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
147,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
148,한화큐셀(주)진천사업장,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",043-531-7272
149,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
150,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
151,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
152,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
153,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
154,진천체력인증센터,"충청북도 진천군 초평면 용정길 6, 초평생활체육공원",043-534-5689
155,진천종합스포츠타운,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",043-531-1930
156,신정주공아파트(관리사무실 내),충청북도 진천군 진천읍 문화2길 14 진천신정주공아파트 관리사무실,043-537-0450
157,덕산건강생활지원센터,"충청북도 진천군 덕산읍 연미로 31, 건강생활지원센터",043-539-7422
158,체육진흥지원단,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",043-539-7697
159,진천경찰서,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",043-531-5352
160,진천성석행복주택관리사무소,충청북도 진천군 진천읍 문화로 394 (진천성석 행복주택),043-537-8340
161,체육진흥지원단,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",043-539-7697
162,혁신도시센텀클래스아파트,충청북도 진천군 덕산읍 연미로 63 (충북혁신도시센텀클래스),043-537-1326
163,혁신도시센텀클래스아파트,충청북도 진천군 덕산읍 연미로 63 (충북혁신도시센텀클래스),043-537-1326
164,진천군종합운동장(의무실 안),충청북도 진천군 진천읍 문화로69-11,043-539-7693
165,진천군청소년수련원,"충청북도 진천군 초평면 평화로 403-132, 청소년수련원",043-539-3813
166,천년나무4단지아파트,충청북도 진천군 덕산면 연미로 87 관리사무소,043-536-0013
167,진천군청소년수련원,"충청북도 진천군 초평면 평화로 403-132, 청소년수련원",043-539-3813
168,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
169,천년나무4단지아파트,충청북도 진천군 덕산면 연미로 87 관리사무소,043-536-0013
170,우미린스테이아파트,충청북도 진천군 덕산면 대하로 150 (뉴스테이 우미린 아파트),043-537-8830
171,(주)풍림푸드,충청북도 진천군 이월면 궁동길 51-21,043-530-4312
172,건영아모리움양우내안애아파트,충청북도 진천군 덕산읍 대하로 114 (아모리움 내안애),043-535-8009
173,모아엘가 더 테라스 아파트,충청북도 진천군 덕산면 대월로 127 관리사무소 (모아엘가 더 테라스),043-533-9401
174,진천화랑관,충청북도 진천군 진천읍 문화로 69-4,043-539-7694
175,진천군 치매안심센터,"충청북도 진천군 덕산읍 연미로 29, 진천군 치매안심센터",043-539-8782
176,만뢰산자연생태공원,충청북도 진천군 진천읍 김유신길 340-38,043-539-3448
177,생거진천 자연휴양림,충청북도 진천군 백곡면 명암길 435-135 (생거진천자연휴양림),043-539-3553
178,진천참숯테마공원,충청북도 진천군 백곡면 백곡로 966,043-539-3734
179,진천종합버스터미널,충청북도 진천군 진천읍 중앙북1길 3,043-534-5165
180,진천종박물관,충청북도 진천군 진천읍 백곡로 1504-12,043-539-3642
181,진천군립도서관,충청북도 진천군 진천읍 포석길 37-6,043-539-7717
182,진천교성주공아파트,충청북도 진천군 진천읍 중앙서로 89 진천교성주공아파트,043-534-4621
183,진천영무예다음1차아파트,충청북도 진천군 덕산면 대하로 87 영무예다음1차아파트,043-537-8017
184,영무예다음2차아파트,충청북도 진천군 덕산면 대하로 195 영무예다음2차아파트,043-533-0371
185,천년나무7단지아파트,충청북도 진천군 덕산면 연미로 131 천년나무7단지아파트,043-532-2663
186,충청북도진천교육지원청,충청북도 진천군 진천읍 상산로 48,043-530-5355
187,벽암휴먼시아,충청북도 진천군 진천읍 문화로 237-19 진천벽암휴먼시아,043-535-5810
188,신정주공아파트(관리사무실 내),충청북도 진천군 진천읍 문화2길 14 진천신정주공아파트 관리사무실,043-537-0450
189,덕산주공아파트(관리사무실),충청북도 진천군 덕산면 용몽1길 11 진천덕산주공아파트 관리사무실,043-537-1052
190,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
191,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
192,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
193,진천소방서,충청북도 진천군 진광로 93 (진천읍),043-539-8154
194,진천군보건소,"충청북도 진천군 진천읍 중앙북1길 11-8, 진천군보건소",043-539-7771
195,진천군종합운동장(의무실 안),충청북도 진천군 진천읍 문화로69-11,043-539-7693
196,진천군청(현관),"충청북도 진천군 진천읍 상산로 13, 진천군청",043-539-3315
197,진천읍사무소(민원실),"충청북도 진천군 진천읍 상산로 65, 진천읍행정복지센터",043-539-8303
