시도,군구,설치기관명,설치기관 주소,설치위치,기관 연락처
인천,미추홀구,한국철도공사1호선주안역,"인천광역시 미추홀구 주안로 95-19, 주안역사 (주안동)",1호선 주안역 지하 역무실,032-865-7787
인천,미추홀구,학익풍림아이원아파트,"인천광역시 미추홀구 매소홀로 340 (학익동, 학익동풍림아이원아파트)",휘트니스센터 입구,032-864-1041
인천,미추홀구,미추홀공원게이트볼장,인천광역시 미추홀구 주승로 7-19 (학익동),게이트볼장 내부,032-880-8726
인천,미추홀구,학익배수지테니스장,인천광역시 미추홀구 햇골길1번길 3-43 (학익동),휴게실내부,032-880-8726
인천,미추홀구,문학레포츠공원족구장,인천광역시 미추홀구 햇골길49번길 63 (학익동),족구장2번코트내부,032-880-8726
인천,미추홀구,인천광역시체육회(문학월드컵경기장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학월드컵경기장 서측 3층 복도 중앙,032-899-5683
인천,미추홀구,인천광역시체육회(문학월드컵경기장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",문학월드컵경기장 서측 2층 로비,032-899-5683
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",119안전센터 펌프차(주안),032-870-3255
인천,미추홀구,힐스테이트숭의역,"인천광역시 미추홀구 제물량로24번길 51, 힐스테이트 숭의역 (숭의동)",1번게이트입구,032-886-9641
인천,미추홀구,학익고가하부테니스장,"인천광역시 미추홀구 노적산로 7, 학익고가테니스장 (학익동)",컨테이너내부,032-880-8726
인천,미추홀구,도화1동행정복지센터,"인천광역시 미추홀구 경인로 295, 도화1동 행정복지센터 (도화동)",1층 민원실,032-728-6284
인천,미추홀구,힐스테이트학익아파트,인천광역시 미추홀구 독배로251번길 24(학익동),정문경비실,032-868-8508
인천,미추홀구,인천광역시체육회,인천광역시 미추홀구 매소홀로 618 문학월드컵경기장 내 3층 관리사무실 (문학동),문학월드컵경기장 서측 지하1층 출입구,032-899-5663
인천,미추홀구,e편한세상도화6-1단지아파트,"인천광역시 미추홀구 숙골로88번길 46 e편한세상도화6-14단지아파트 (도화동, e편한세상)",커뮤니티건물 복도,032-873-6601
인천,미추홀구,용현대우아파트,인천광역시 미추홀구 아암대로29번길 13 관리사무소,제2경비실,032-891-5230
인천,미추홀구,의료법인 아인의료재단,"인천광역시 미추홀구 경인로 372(주안동, 포레나 미추홀)",경인로 372,032-247-2000
인천,미추홀구,인천가정법원,"인천광역시 미추홀구 경원대로 881, 인천가정법원 (주안동)",법원4층,032-620-4528
인천,미추홀구,모아병원,"인천광역시 미추홀구 미추홀대로 730, 고려웨딩홀 (주안동)",병동,032-508-7513
인천,미추홀구,용현자이크레스트관리사무실,"인천광역시 미추홀구 낙섬동로 134, 용현자이크레스트 (용현동, 용현자이크레스트)",관리사무실앞,032-713-8140
인천,미추홀구,미추홀구청(민원여권과),"인천광역시 미추홀구 독정이로 95, 미추홀구청 (숭의동)",종합민원청사 1층(민원여권과 안),032-880-4219
인천,미추홀구,인천광역시체육회,인천광역시 미추홀구 매소홀로 618 문학월드컵경기장 내 3층 관리사무실 (문학동),문학월드컵경기장 서측 1층 출입구,032-899-5663
인천,미추홀구,인천도화물류센터신축공사,인천광역시 미추홀구 염전로143번길 17 (도화동),5번게이트 근로자휴게실,070-4660-2351
인천,미추홀구,의료법인 아인의료재단,"인천광역시 미추홀구 경인로 372(주안동, 포레나 미추홀)",구급차(77서8431),032-247-2000
인천,미추홀구,인천도화물류센터신축공사,인천광역시 미추홀구 염전로143번길 17 (도화동),2번게이트 경비실,070-4660-2351
인천,미추홀구,인천가정법원,"인천광역시 미추홀구 경원대로 881, 인천가정법원 (주안동)",법원5층,032-620-4528
인천,미추홀구,용현3동행정복지센터,"인천광역시 미추홀구 인주대로 133, 용현3동 행정복지센터 (용현동)",출입구,032-728-6203
인천,미추홀구,모아병원,"인천광역시 미추홀구 미추홀대로 730, 고려웨딩홀 (주안동)",구급차(78우4960),032-508-7513
인천,미추홀구,인천구치소,인천광역시 미추홀구 학익소로 30 인천구치소부속의원 (학익동),민원과,032-870-9490
인천,미추홀구,숭의1.3동행정복지센터,"인천광역시 미추홀구 석정로92번길 21-17, 숭의1.3동 행정복지센터 (숭의동)",1층 민원실,032-728-6103
인천,미추홀구,두산건설여의구역,"인천광역시 미추홀구 장천로 87 (숭의동, 골든빌리지)",GATE#2 경비실,032-881-9030
인천,미추홀구,두산건설여의구역,"인천광역시 미추홀구 장천로 87 (숭의동, 골든빌리지)",안전교육장,032-881-9030
인천,미추홀구,인천가정법원,"인천광역시 미추홀구 경원대로 881, 인천가정법원 (주안동)",법원2층,032-620-4528
인천,미추홀구,인천가정법원,"인천광역시 미추홀구 경원대로 881, 인천가정법원 (주안동)",법원1층,032-620-4528
인천,미추홀구,인천가정법원,"인천광역시 미추홀구 경원대로 881, 인천가정법원 (주안동)",법원3층,032-620-4528
인천,미추홀구,인천광역시체육회(수봉궁도장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 문학동 (문학동)",로비,032-899-5687
인천,미추홀구,로뎀요양병원,"인천광역시 미추홀구 주안로 211, 지엔엠빌딩 (주안동)",구급차(724보9882),032-462-0321
인천,미추홀구,인천도화초등학교,인천광역시 미추홀구 경인로 242,신관 2층 체육관 입구,032-874-2585
인천,미추홀구,주안5동행정복지센터,인천광역시 미추홀구 석정로 462 동 주민센터 1층 사무실 내(벽면 거치),석정로461번길 21,032-728-6400
인천,미추홀구,정석항공과학고,인천광역시 미추홀구 인하로 100 정석항공과학고,인천 정석항공과학고 중앙현관,032-867-6242
인천,미추홀구,주안역센트레빌아파트,"인천광역시 미추홀구 염전로 414(주안동, 주안역 센트레빌)",헬스장,032-873-9669
인천,미추홀구,주안캐슬앤더샵에듀포레아파트,"인천광역시 미추홀구 경원대로780번길 22 (주안동, 주안캐슬앤더샵에듀포레아파트)",관리사무소,032-429-8021
인천,미추홀구,인천광역시상수도사업본부,"인천광역시 미추홀구 석정로 225, 행정타운및JST (도화동)",1층 로비,032-720-2514
인천,미추홀구,인천학익4재개발현장,"인천광역시 미추홀구 한나루로 420, 학익동 월드타워 (학익동)",현장 내 안전교육장,2981-1406
인천,미추홀구,문학동행정복지센터,"인천광역시 미추홀구 소성로 339, 문학동 행정복지센터 (문학동)",문학동 행정복지센터 사무실 안 공구함 옆,032-728-6504
인천,미추홀구,주안6동행정복지센터,"인천광역시 미추홀구 경원대로864번길 59, 주안6동 행정복지센터 (주안동)",1층 남자화장실 옆,032-728-6423
인천,미추홀구,인천교통공사(인천종합터미널),"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 (관교동)",인천종합터미널 대합실 수유실앞,032-430-7313
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",1층 로비,032-860-4535
인천,미추홀구,학익여자고등학교,인천광역시 미추홀구 주승로52번길 8 학익여자고등학교,학익여자고등학교 예연관 체육관 앞,032-712-5612
인천,미추홀구,인천광역시여성복지관,"인천광역시 미추홀구 경원대로864번길 24, 여성복지관 (주안동)",2층 로비,032-425-1372
인천,미추홀구,주안파크자이더플래티넘아파트,"인천광역시 미추홀구 인하로222번길 20 (주안동, 주안파크자이더플래티넘)",지상경비실,032-724-8662
인천,미추홀구,인천교통공사(인천지하철2호선),"인천광역시 미추홀구 구월로 지하 19, 석바위시장역 (주안동)",석바위시장역 고객안내센터,032-451-4320
인천,미추홀구,미추홀노인복지관,"인천광역시 미추홀구 학익소로37번길 17, 미추홀구노인복지관 (주안동)",1층 현관,032-861-3001
인천,미추홀구,학익체육관,"인천광역시 미추홀구 햇골길 26, 학익체육관 (학익동)",내부 코트 입구 옆,032-888-7330
인천,미추홀구,용현시장스포츠센터,"인천광역시 미추홀구 독정이로33번길 61, 용현시장 복합문화센터 (용현동)",3층 출입문 옆,032-888-7330
인천,미추홀구,인천교통공사(인천종합터미널),"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 (관교동)",인천종합터미널(매표소 옆),032-430-7313
인천,미추홀구,인천교통공사(인천지하철1호선),"인천광역시 미추홀구 예술로 지하85, 인천터미널역 (관교동)",인천터미널역 역무실,032-430-7313
인천,미추홀구,힐스테이트도화더테라스,"인천광역시 미추홀구 염전로168번길 28, 도화 두손지젤시티 (도화동)",현장 내 안전교육장,032-245-0073
인천,미추홀구,미추홀체육관,"인천광역시 미추홀구 숙골로38번길 111, 미추홀체육관 (도화동)",내부출입문옆,032-888-7330
인천,미추홀구,연경산배드민턴장,"인천광역시 미추홀구 매소홀로446번길 54, 등나무집 (학익동)",내부계단옆,032-888-7330
인천,미추홀구,인천교통공사(인천지하철2호선),"인천광역시 미추홀구 경인로 지하 371, 시민공원역 (주안동)",시민공원역 고객안내센터,032-451-4319
인천,미추홀구,인천구치소,인천광역시 미추홀구 학익소로 30 인천구치소부속의원 (학익동),보안과,032-870-9490
인천,미추홀구,숭의보건지소,"인천광역시 미추홀구 경인로 54, 숭의보건지소 (숭의동)",1층 로비,032-880-5762
인천,미추홀구,힐스테이트도화더테라스,"인천광역시 미추홀구 염전로168번길 28, 도화 두손지젤시티 (도화동)",현장 내 게이트 경비실,032-245-0073
인천,미추홀구,포스코건설용현학익도시개발사업현장(시티오씨엘4단지),"인천광역시 미추홀구 노적산로54번길 1-5, 포스코건설 용현학익도시개발사업현장 (학익동)",현장경비실(2번게이트),4245-5457
인천,미추홀구,포스코건설용현학익도시개발사업현장(시티오씨엘4단지),"인천광역시 미추홀구 노적산로54번길 1-5, 포스코건설 용현학익도시개발사업현장 (학익동)",현장사무실,4245-5457
인천,미추홀구,포스코건설용현학익도시개발사업현장(시티오씨엘4단지),"인천광역시 미추홀구 노적산로54번길 1-5, 포스코건설 용현학익도시개발사업현장 (학익동)",현장내 TBM장(411동 지하층),4245-5457
인천,미추홀구,성모윌병원,"인천광역시 미추홀구 경인로 488, 한국병원 (주안동)",구급차(79조6962),032-421-0075
인천,미추홀구,(주)라인건설미추1구역재개발정비사업,"인천광역시 미추홀구 한나루로586번길 41, (주)라인건설 미추1구역 재개발정비사업 (도화동)",현장사무실 앞(1번게이트),032-875-9662
인천,미추홀구,HDC현대산업개발시티오씨엘3단지현장,"인천광역시 미추홀구 독배로 230, 현대산업개발 시티오씨엘 3단지 현장 (학익동)",2공구 현장 safety gate,032-868-9964
인천,미추홀구,HDC현대산업개발시티오씨엘3단지현장,"인천광역시 미추홀구 독배로 230, 현대산업개발 시티오씨엘 3단지 현장 (학익동)",현장사무실 4층 로비,032-868-9964
인천,미추홀구,HDC현대산업개발시티오씨엘3단지현장,"인천광역시 미추홀구 독배로 230, 현대산업개발 시티오씨엘 3단지 현장 (학익동)",1공구 현장 경비실,032-868-9964
인천,미추홀구,미주유치원,"인천광역시 미추홀구 석정로461번길 19, 미주 (주안동)",2층,032-875-3220
인천,미추홀구,SK에코클랜트(주)학익SKVIEW현장,"인천광역시 미추홀구 매소홀로 388, 유니스프라자 (학익동)",3번 게이트 앞,032-8760-9411
인천,미추홀구,롯데백화점인천점,"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 (관교동)",신관 5층 에스컬레이터,032-242-2968
인천,미추홀구,힐스테이트숭의역,"인천광역시 미추홀구 제물량로24번길 51, 힐스테이트 숭의역 (숭의동)",GATE1 안전교육장,032-886-9641
인천,미추홀구,롯데백화점인천점,"인천광역시 미추홀구 연남로 35, 인천종합터미널,롯데백화점 (관교동)",1층 직원 출입구,032-242-2968
인천,미추홀구,SK에코클랜트(주)학익SKVIEW현장,"인천광역시 미추홀구 매소홀로 388, 유니스프라자 (학익동)",안전교육장 1층 화장실 옆,032-8760-9411
인천,미추홀구,인천문화재단인천공연예술연습공간,"인천광역시 미추홀구 경인로 222, 인천공연예술연습공간 (도화동)",A동 1층,032-868-9163
인천,미추홀구,인천용일초등학교병설유치원,"인천광역시 미추홀구 인주대로 244, 인천용일초등학교 병설유치원 (용현동)",1층 화장실 문 오른쪽,032-629-0873
인천,미추홀구,현대유비스병원,"인천광역시 미추홀구 독배로 503, 현대유비스병원 (숭의동)",2층 7호기 엘리베이터 앞,032-888-7575
인천,미추홀구,도원스타디움센트럴시티,"인천광역시 미추홀구 참외전로 268(숭의동, 스타디움 센트럴시티)",관리동 지하2층 방재실 앞,032-886-8586
인천,미추홀구,현대유비스병원,"인천광역시 미추홀구 독배로 503, 현대유비스병원 (숭의동)",11층 식당 앞,032-888-7575
인천,미추홀구,현대유비스병원,"인천광역시 미추홀구 독배로 503, 현대유비스병원 (숭의동)",B1층 물리치료실 대기실 앞,032-888-7575
인천,미추홀구,금호유치원,"인천광역시 미추홀구 매소홀로 54, 용현2단지금호타운 (용현동)",1층 교사실 출입구 옆,032-891-0188
인천,미추홀구,인천학익초등학교병설유치원,"인천광역시 미추홀구 한나루로403번길 122, 학익초등학교 (학익동)",1층,032-629-0428
인천,미추홀구,하늘유치원,"인천광역시 미추홀구 미추홀대로626번길 47, 하늘유치원 (주안동)",2층 복도,032-439-0071
인천,미추홀구,동아풍림아파트,인천광역시 미추홀구 소성로 120,종합상황실 내,032-875-2973
인천,미추홀구,힐스테이트학익아파트,인천광역시 미추홀구 독배로251번길 24(학익동),커뮤니티센터,032-868-8508
인천,미추홀구,동원유치원,인천광역시 미추홀구 인하로235번길 27(주안동),현관,032-866-2657
인천,미추홀구,용일초등학교,인천광역시 미추홀구 인주대로 244 용일초등학교,강당(해솔관) 2층,032-874-0500
인천,미추홀구,학익여자고등학교,인천광역시 미추홀구 주승로52번길 8 학익여자고등학교,소담관 2층 급식실,032-712-5612
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",미추홀신관 독신자숙소,032-860-4535
인천,미추홀구,인천연학초등학교,인천광역시 미추홀구 주승로 20 인천연학초교,체육관 출입문 옆,032-629-1119
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",미추홀관 독신자숙소,032-860-4535
인천,미추홀구,참빛유치원,인천광역시 미추홀구 수봉로135번길 31(주안동),1층 입구,032-881-9371
인천,미추홀구,승학산배드민턴장,"인천광역시 미추홀구 주승로 152, 승학산 배드민턴장 (관교동)",내부출입문 옆,032-888-7330
인천,미추홀구,인천용현남초등학교,인천광역시 미추홀구 매소홀로 133 인천용현남초등학교,후관 1층 계단 밑,032-884-8467
인천,미추홀구,주안북초등학교,인천광역시 미추홀구 석정로375번길 14 인천주안북초등학교,신관 1층 현관,032-868-5578
인천,미추홀구,학익고등학교,인천광역시 미추홀구 한나루로358번길 23-22 학익고,신관 2층,032-868-4143
인천,미추홀구,인하사대부속중학교,인천광역시 미추홀구 재넘이길123번길 29 인하사대부속중학교,급식실(2층),032-452-9968
인천,미추홀구,인천용현초등학교,인천광역시 미추홀구 낙섬동로 83 용현초등학교,3동 현관 입구,032-629-0679
인천,미추홀구,인천용현초등학교,인천광역시 미추홀구 낙섬동로 83 용현초등학교,5동 현관 입구,032-629-0679
인천,미추홀구,더샵인천스카이타워2단지,"인천광역시 미추홀구 숙골로87번길 5 (도화동, 더샵 인천스카이타워 2단지)",1층 관리사무소 입구,032-862-0117
인천,미추홀구,주안역센트레빌아파트,"인천광역시 미추홀구 염전로 414(주안동, 주안역 센트레빌)",경비실 내,032-873-9669
인천,미추홀구,미추홀구치매안심센터,"인천광역시 미추홀구 경인로34번길 20, 숭의2동 행정복지센터(미추홀구치매안심센터 4~5층 (숭의동)",4층 쉼터,032-728-6602
인천,미추홀구,인천사랑병원,"인천광역시 미추홀구 미추홀대로 726, 인천사랑병원 (주안동)",2층 신경외과 앞,032-457-2000
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",구치감 입구,032-860-4535
인천,미추홀구,인천연학초등학교병설유치원,"인천광역시 미추홀구 주승로 20, 연학초등학교병설유치원 (학익동)",유희실,032-629-1124
인천,미추홀구,수봉공원배드민턴장,"인천광역시 미추홀구 수봉북로 35-44, 수봉공원 배드민턴장 (도화동)",내부출입문 옆,032-888-7330
인천,미추홀구,경원초등학교,인천광역시 미추홀구 경인로 511 경원초등학교,3층 강당 앞,032-438-1692
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",꿈마루 어린이집,032-860-4535
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",구내식당,032-860-4535
인천,미추홀구,주안역센트레빌아파트,"인천광역시 미추홀구 염전로 414(주안동, 주안역 센트레빌)",관리사무실 내,032-873-9669
인천,미추홀구,주안초등학교,인천광역시 미추홀구 남주길69번길 16 (주안동),본관 1층 도서관앞,032-438-1402
인천,미추홀구,인하사대부속중학교,인천광역시 미추홀구 재넘이길123번길 29 인하사대부속중학교,체육관,032-452-9968
인천,미추홀구,인항고등학교,인천광역시 미추홀구 매소홀로 135 인항고등학교,인항관 1층,032-885-3302
인천,미추홀구,인천용정초등학교,"인천광역시 미추홀구 독정안길 26, 용정초등학교 (숭의동)",본관 1층 유치원앞,032-868-2384
인천,미추홀구,인천용정초등학교,"인천광역시 미추홀구 독정안길 26, 용정초등학교 (숭의동)",본관 3층 상상놀이터앞,032-868-2384
인천,미추홀구,미추홀구치매안심센터,"인천광역시 미추홀구 경인로34번길 20, 숭의2동 행정복지센터(미추홀구치매안심센터 4~5층 (숭의동)",5층 로비,032-728-6602
인천,미추홀구,한국전력공사제물포지사,"인천광역시 미추홀구 숙골로87번길 27, 한국전력공사 제물포지사 (도화동)",1층 종합봉사실내,032-880-1211
인천,미추홀구,포레나미추홀아파트,"인천광역시 미추홀구 경인로 372(주안동, 미추홀 포레나)",6층 관리실,032-437-4888
인천,미추홀구,고은여성병원(수술실),"인천광역시 미추홀구 독배로 463, 고은여성병원 (숭의동)",수술실,032-870-5000
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",12층 중앙승강기홀,032-860-4535
인천,미추홀구,인천고등학교,인천광역시 미추홀구 경원대로 804 인천고등학교,체육관 입구,032-451-0680
인천,미추홀구,인천고등학교,인천광역시 미추홀구 경원대로 804 인천고등학교,후관동 2층(3학년 교무실 앞),032-451-0680
인천,미추홀구,인천광역시체육회(수봉궁도장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 문학동 (문학동)",소봉궁도장(로비),032-899-5687
인천,미추홀구,서화초등학교,인천광역시 미추홀구 송림로 250 서화초등학교,후관 1층,032-868-9234
인천,미추홀구,숭의보건지소(미추홀체력인증센터),"인천광역시 미추홀구 경인로42번길 57, 미추홀구 국민체육센터 (숭의동)",체력인증센터 상담실,032-888-1101
인천,미추홀구,인천선인고등학교,인천광역시 미추홀구 석정로 165 인천선인고등학교,3층 홈베이스 탈의실 옆,032-761-6121
인천,미추홀구,인화여자고등학교,"인천광역시 미추홀구 석정로 165, 인화여자고등학교 본관동1층 (도화동)",꿈터 브릿지 3층,032-765-0621
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",8층 중앙승강기홀,032-860-4535
인천,미추홀구,미추홀구청(자동차관리과),"인천광역시 미추홀구 독정이로 95, 미추홀구청 (숭의동)",본관 2청사 1층 로비,032-880-4523
인천,미추홀구,관교중학교,인천광역시 미추홀구 경원대로670번길 19 관교중학교,신관1층 남쪽 현관 입구(펜싱부실 앞),032-629-2900
인천,미추홀구,관교여자중학교,인천광역시 미추홀구 경원대로 691 관교여자중학교,지층 현관,032-438-0277
인천,미추홀구,고은여성병원(구급차),"인천광역시 미추홀구 독배로 463, 고은여성병원 (숭의동)",구급차(73고5407),032-870-5000
인천,미추홀구,서화초등학교,인천광역시 미추홀구 송림로 250 서화초등학교,신관 1층,032-868-9234
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",10층 중앙승강기홀,032-860-4535
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",6층 중앙승강기홀,032-860-4535
인천,미추홀구,인천원광효도요양병원,"인천광역시 미추홀구 경원대로 891, 동산빌딩 (주안동)",구급차(78고7293),032-432-7585
인천,미추홀구,인천교통공사(인천지하철2호선),"인천광역시 미추홀구 주안로 지하 91-1, 인천지하철2호선 주안역 (주안동)",인천 2호선 주안역 고객안내센터,032-451-4318
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",구급차(998나6850),032-870-3213
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",4층 중앙승강기홀,032-860-4535
인천,미추홀구,인천지방검찰청,"인천광역시 미추홀구 소성로163번길 49, 인천지방검찰청 (학익동)",2층 중앙승강기홀,032-860-4535
인천,미추홀구,인천학익초등학교,인천광역시 미추홀구 한나루로403번길 122 학익초등학교,학익초교 강당 2층,032-629-0430
인천,미추홀구,인천학익초등학교,인천광역시 미추홀구 한나루로403번길 122 학익초등학교,학익초교 서관 2층,032-629-0430
인천,미추홀구,용현성원상떼빌아파트,인천광역시 미추홀구 낙섬동로 104,정문 경비실,032-881-0792
인천,미추홀구,방그레병원,"인천광역시 미추홀구 인주대로 472, 방그레병원빌딩 (주안동)",구급차 (70루 2988 내부),032-428-4123
인천,미추홀구,신한대바울요양병원,"인천광역시 미추홀구 경인로 107, 크리스탈빌딩 (숭의동)",구급차(환자칸 우측 캐비넷),032-223-7000
인천,미추홀구,더샵인천스카이타워1단지,"인천광역시 미추홀구 숙골로88번길 12(도화동, 더샵 인천스카이타워 1단지)",108동 1층 관리사무실 입구,032-862-0116
인천,미추홀구,주안8동행정복지센터,"인천광역시 미추홀구 인주대로470번길 24, 주안8동 행정복지센터 (주안동)",주안8동 행정복지센터 1층 사무실,032-728-6464
인천,미추홀구,숭의초등학교,인천광역시 미추홀구 장천로 99 숭의초등학교,본관 1층 중앙현관,032-887-9011
인천,미추홀구,인천광역시체육회(인천스포츠컨디셔닝센터),"인천광역시 미추홀구 매소홀로 618, 문학경기장 문학동 (문학동)",문학월드컵주경기장 1층 인천스포츠컨디셔닝센터 내,032-899-5687
인천,미추홀구,숭의초등학교,인천광역시 미추홀구 장천로 99 숭의초등학교,동관 1층 중앙현관,032-887-9011
인천,미추홀구,바로병원,"인천광역시 미추홀구 인주대로 458, 승현빌딩 (주안동)",구급차 내부(78머 6270),1544-7800
인천,미추홀구,학익2동행정복지센터,"인천광역시 미추홀구 한나루로 444, 학익2동 행정복지센터 (학익동)",학익2동 행정복지센터 정문 옆,032-728-6264
인천,미추홀구,인천고등학교,인천광역시 미추홀구 경원대로 804 인천고등학교,인천고등학교 예지관 1층 현관,032-451-0680
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",관교119구급차(998나6849),032-870-3213
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",특별119구급차 998나6828,032-870-3213
인천,미추홀구,용현2동행정복지센터,"인천광역시 미추홀구 용마루로 56, 용현2동행정복지센터 (용현동)",용현2동 행정복지센터 1층 민원실 입구,032-728-6196
