설치장소,주소,전화번호,출처,데이터기준일자
양산부산대학교병원 (교수연구행정동 1층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (의생명창의연구동 1층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (의생명창의연구동 5층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (재활병원 지하1층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (재활병원 2층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (직업환경의학과 이동검진 버스 내),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (재활병원 1층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (재활병원 지하2층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (중앙진료동 지하1층 전기실 입구),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (뇌신경센터 2층 외래 입구),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (중앙진료동 지하3층 기계실 내부),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교한방병원 (4층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-5730,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교한방병원 (6층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-5730,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교한방병원 (2층 검진센터 앞),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-5730,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교한방병원 (5층),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-5730,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교한방병원 (1층 로비),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-5730,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교한방병원 (3층 통증클리닉 외래 앞),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-5730,중앙응급의료센터(E-Gen),2022-08-05
양산시보건소 (민원실 내),경상남도 양산시 삽량로 169 양산시보건소,055-392-5105,중앙응급의료센터(E-Gen),2022-08-05
양산시시민안전체험관 (민방위 교육장),경상남도 양산시 양산대로 849 (북부동),055-392-2853,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단 (대운산자연휴양림),경상남도 양산시 탑골길 208-124 대운산자연휴양림,055-379-8670,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단(천성산국민체육센터) (천성산국민체육센터 지하1층 로비),"경상남도 양산시 상북면 삼계동길 9, 천성산국민체육센터",055-379-8423,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단공원시설관리팀 (물금리 179-22 미니기차안내소),"경상남도 양산시 물금읍 낙동로 295-19, 황산공원 국민여가캠핑장",055-379-8697,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단공원시설관리팀 (증산리 999 황산파크골프장 관리사무소),"경상남도 양산시 물금읍 낙동로 295-19, 황산공원 국민여가캠핑장",055-379-8697,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단공원시설관리팀 (황산캠핑장),"경상남도 양산시 물금읍 낙동로 295-19, 황산공원 국민여가캠핑장",055-379-8697,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단공원시설관리팀 (가산파크골프장 관리사무소),"경상남도 양산시 물금읍 낙동로 295-19, 황산공원 국민여가캠핑장",055-379-8697,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단웅상체육팀(웅상체육공원) (관리사무실(축구장중앙)),"경상남도 양산시 배움터길 60-19, 웅상체육공원 (평산동)",055-379-8575,중앙응급의료센터(E-Gen),2022-08-05
양산시시설관리공단천성산다목적체육관 (천성산다목적체육관 2층 로비),경상남도 양산시 상북면 봉수대길 29-10,055-379-8423,중앙응급의료센터(E-Gen),2022-08-05
양산시웅상보건지소 (웅상보건지소 입구 근처),"경상남도 양산시 삼호로 164, 웅상보건지소 (삼호동)",055-392-6913,중앙응급의료센터(E-Gen),2022-08-05
양산시육아종합지원센터 (육아종합지원센터 1층 안내데스크),"경상남도 양산시 물금읍 물금로 223, 육아종합지원센터",055-392-5812,중앙응급의료센터(E-Gen),2022-08-05
양산시종합사회복지관 (중앙현관 입구),"경상남도 양산시 물금읍 오봉10길 8, 양산시종합사회복지관",055-365-9544,중앙응급의료센터(E-Gen),2022-08-05
양산시청 (별관1층),"경상남도 양산시 중앙로 39, 양산시청 (남부동)",055-392-3014,중앙응급의료센터(E-Gen),2022-08-05
양산시청소년문화의집 (청소년문화의집 입구 앞),"경상남도 양산시 모래들길 57-57, 4층 (주진동)",055-392-5996,중앙응급의료센터(E-Gen),2022-08-05
양산시청제2청사 (입구),"경상남도 양산시 북안남2길 36, 양산시제2청사 1층 (북부동)",055-392-2286,중앙응급의료센터(E-Gen),2022-08-05
양산시치매안심센터 (양산시치매안심센터 내 북카페),경상남도 양산시 중앙로 7-32 3층 양산시치매안심센터 (다방동),055-392-2114,중앙응급의료센터(E-Gen),2022-08-05
양산신도시LH아파트1단지 (후문 경비실),경상남도 양산시 물금읍 청운로 41 (양산신도시엘에이치아파트1단지),055-383-6200,중앙응급의료센터(E-Gen),2022-08-05
양산신도시LH아파트1단지 (정문 경비실),경상남도 양산시 물금읍 청운로 41 (양산신도시엘에이치아파트1단지),055-383-6200,중앙응급의료센터(E-Gen),2022-08-05
양산주민편익시설 (입구 로비),"경상남도 양산시 동면 강변로 264-1, 주민편익시설",055-379-8629,중앙응급의료센터(E-Gen),2022-08-05
양우내안애2차파크애버뉴아파트 (지하1층 관리사무소 입구),경상남도 양산시 물금읍 물금로 160 관리사무소,055-379-3390,중앙응급의료센터(E-Gen),2022-08-05
우방아이유쉘아파트 (관리사무소입구),경상남도 양산시 신기강변1길 11 우방아이유쉘아파트,055-384-5061,중앙응급의료센터(E-Gen),2022-08-05
웅상도서관 (웅상도서관2층),경상남도 양산시 웅상대로 1009-2,055-392-5959,중앙응급의료센터(E-Gen),2022-08-05
웅상문화체육센터 (지하1층 로비),"경상남도 양산시 모래들길 57-57, 웅상문화체육센터 (주진동)",055-379-8589,중앙응급의료센터(E-Gen),2022-08-05
원동면선리보건진료소 (선리보건진료소),"경상남도 양산시 원동면 배내로 464, 선리보건진료소",055-387-5391,중앙응급의료센터(E-Gen),2022-08-05
원동면행정복지센터 (원동면행정복지센터 민원실),경상남도 양산시 원동면 원동마을길 36 원동면 행정복지센터,055-392-7163,중앙응급의료센터(E-Gen),2022-08-05
원동면화제보건진료소 (대기실),"경상남도 양산시 원동면 화제로 424, 양산시화제보건진료소",055-382-8212,중앙응급의료센터(E-Gen),2022-08-05
원동보건지소 (대기실),경상남도 양산시 원동면 원동로 1604 원동면보건지소,055-392-4863,중앙응급의료센터(E-Gen),2022-08-05
유승한내들아파트 (관리동 2층),경상남도 양산시 삼호로 98,055-365-5597,중앙응급의료센터(E-Gen),2022-08-05
이지더원3차아파트 (아파트 관리실 앞),경상남도 양산시 동면 금오16길 100 이지더원3차아파트,055-363-5061,중앙응급의료센터(E-Gen),2022-08-05
종합운동장 (양산종합운동장 관리사무실),"경상남도 양산시 양산대로 849, 양산종합운동장 (북부동)",055-379-8530,중앙응급의료센터(E-Gen),2022-08-05
중부초등학교 (중부초등학교 본관 중앙현관(숙직실 옆)),경상남도 양산시 양주로 140 중부초등학교 (중부동),055-388-8376,중앙응급의료센터(E-Gen),2022-08-05
통도사휴게소 (안내소 옆),"경상남도 양산시 하북면 경부고속도로 31-1, 경부선 통도사(부산방향)휴게소",055-383-6145,중앙응급의료센터(E-Gen),2022-08-05
통도사휴게소 (편의점 입구),"경상남도 양산시 하북면 경부고속도로 31-1, 경부선 통도사(부산방향)휴게소",055-383-6145,중앙응급의료센터(E-Gen),2022-08-05
평산동행정복지센터 (평산동행정복지센터 민원실),경상남도 양산시 평산로 71 평산동행정복지센터,055-392-6808,중앙응급의료센터(E-Gen),2022-08-05
하북면보건지소 (대기실),"경상남도 양산시 하북면 신평강변5길 12, 하북면사무소",055-392-4846,중앙응급의료센터(E-Gen),2022-08-05
항노화힐링체험관숲애서 (체험동(관리동) 1층),"경상남도 양산시 탑골길 248, 항노화힐링서비스체험관 (용당동)",055-392-5102,중앙응급의료센터(E-Gen),2022-08-05
대방5차노블랜드에듀카운티 (정문초소),경상남도 양산시 물금읍 새실로 115,055-367-8961,중앙응급의료센터(E-Gen),2022-08-05
대방노블랜드7차메가시티아파트 (713동 앞 경비초소 내),경상남도 양산시 물금읍 새실로 11 (양산 대방노블랜드 7차 메가시티),055-367-9751,중앙응급의료센터(E-Gen),2022-08-05
대방노블랜드7차메가시티아파트 (아파트 커뮤니센터 수영장),경상남도 양산시 물금읍 새실로 11 (양산 대방노블랜드 7차 메가시티),055-367-9751,중앙응급의료센터(E-Gen),2022-08-05
대방노블랜드7차메가시티아파트 (커뮤니센터내 관리사무소 옆),경상남도 양산시 물금읍 새실로 11 (양산 대방노블랜드 7차 메가시티),055-367-9751,중앙응급의료센터(E-Gen),2022-08-05
대방노블랜드7차메가시티아파트 (대방노블랜드7차메가시티아파트 717동 앞 경비초소 내),경상남도 양산시 물금읍 새실로 11 (양산 대방노블랜드 7차 메가시티),055-367-9751,중앙응급의료센터(E-Gen),2022-08-05
양산코오롱하늘채아파트 (정문 경비실 택배보관실),경상남도 양산시 물금읍 가촌서로 45 (양산코오롱하늘채),055-366-6460,중앙응급의료센터(E-Gen),2022-08-05
고려수산 (제15고려호),경상남도 사천시 유람선길 176 3층 고려수산 (서동),055-835-2221,중앙응급의료센터(E-Gen),2022-08-05
양산물금한신더휴아파트 (관리사무소 앞),경상남도 양산시 물금읍 가촌서로 11 (양산물금 한신 더휴 아파트),055-363-9631,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (어린이병원 1층 소아청소년과 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (어린이병원 2층 정신건강클리닉 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (중앙진료동 2층 수술환자대기실 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (중앙진료동 3층 소화기내시경실 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (중앙진료동 1층 고객지원센터 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (외래진료동 5층 건강증진센터 내),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (외래진료동 4층 내분비대사내과 입구),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (어린이병원 지하2층 방사선종양학과 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (외래진료동 3층 간센터 입구),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (외래진료동 2층 심혈관센터 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (외래진료동 1층 접수/수납 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (외래진료동 지하1층 핵의학과 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산부산대학교병원 (어린이병원 지하1층 채혈실 옆),"경상남도 양산시 물금읍 금오로 20, 양산부산대학교병원",055-360-1923,중앙응급의료센터(E-Gen),2022-08-05
양산시청 (민원실),"경상남도 양산시 중앙로 39, 양산시청 (남부동)",055-392-2222,중앙응급의료센터(E-Gen),2022-08-05
항노화힐링체험관숲애서 (숲애서 생활관 C),"경상남도 양산시 탑골길 248, 항노화힐링서비스체험관 (용당동)",055-392-5102,중앙응급의료센터(E-Gen),2022-08-05
항노화힐링체험관숲애서 (숲애서 생활관 A),"경상남도 양산시 탑골길 248, 항노화힐링서비스체험관 (용당동)",055-392-5102,중앙응급의료센터(E-Gen),2022-08-05
항노화힐링체험관숲애서 (숲애서 생활관 B),"경상남도 양산시 탑골길 248, 항노화힐링서비스체험관 (용당동)",055-392-5102,중앙응급의료센터(E-Gen),2022-08-05
양산KCC스위첸아파트 (101동 관리사무소),경상남도 양산시 평산회야로 167 (평산동),055-362-8600,중앙응급의료센터(E-Gen),2022-08-05
종합운동장 (실내체육관),경상남도 양산시 중앙로 39-1,055-379-8530,중앙응급의료센터(E-Gen),2022-08-05
주공7단지휴먼시아아파트 (관리사무소 내),경상남도 양산시 양주로 58 양산물금7단지휴먼시아아파트,055-382-0040,중앙응급의료센터(E-Gen),2022-08-05
주공7단지휴먼시아아파트 (경비실(2초소)),경상남도 양산시 양주로 58 양산물금7단지휴먼시아아파트,055-382-0040,중앙응급의료센터(E-Gen),2022-08-05
주공7단지휴먼시아아파트 (경비실(4초소)),경상남도 양산시 양주로 58 양산물금7단지휴먼시아아파트,055-382-0040,중앙응급의료센터(E-Gen),2022-08-05
양산우남퍼스트빌 (경비실),경상남도 양산시 물금읍 신주로 40,055-365-6108,중앙응급의료센터(E-Gen),2022-08-05
양산1차e-편한세상아파트 (관리사무소내),경상남도 양산시 양주로 33,055-386-3202,중앙응급의료센터(E-Gen),2022-08-05
양산신도시효성백년가약아파트 (관리사무실내),경상남도 양산시 물금읍 범어로 33(효성백년가약아파트),055-366-3725,중앙응급의료센터(E-Gen),2022-08-05
이지더원2차그랜드파크아파트 (지하1층 헬스장 입구),경상남도 양산시 물금읍 물금로 75 (이지더원 그랜드파크),055-362-1381,중앙응급의료센터(E-Gen),2022-08-05
양산신도시대동아파트 (관리사무소내),경상남도 양산시 양주로 154,055-383-2501,중앙응급의료센터(E-Gen),2022-08-05
범어대동타운아파트 (관리사무소2층 입구),경상남도 양산시 물금읍 오봉로 165 양산범어대동타운,055-388-4865,중앙응급의료센터(E-Gen),2022-08-05
양산가촌휴먼시아 (관리사무소내),경상남도 양산시 물금읍 가촌로 155,055-366-0989,중앙응급의료센터(E-Gen),2022-08-05
유탑유블레스하늘리에아파트 (경비실),"경상남도 양산시 명곡로 141 (신기동, 양산 유탑 유블레스 하늘리에)",055-384-1230,중앙응급의료센터(E-Gen),2022-08-05
새롬성원네오파트 (경비실),경상남도 양산시 북정서길 16,055-363-6641,중앙응급의료센터(E-Gen),2022-08-05
2차동원로얄듀크 (관리사무소내),경상남도 양산시 동면 금오15길 9,055-363-7557,중앙응급의료센터(E-Gen),2022-08-05
양산신도시LH아파트1단지 (관리사무소),경상남도 양산시 물금읍 청운로 41,055-383-6200,중앙응급의료센터(E-Gen),2022-08-05
양우내안애5리버파크아파트 (관리사무소),경상남도 양산시 물금읍 물금로 41,,중앙응급의료센터(E-Gen),2022-08-05
양우내안애5리버파크아파트 (정문경비실),경상남도 양산시 물금읍 물금로 41,,중앙응급의료센터(E-Gen),2022-08-05
양우내안애5리버파크아파트 (후문경비실),경상남도 양산시 물금읍 물금로 41,,중앙응급의료센터(E-Gen),2022-08-05
양산롯데캐슬아파트 (경비실),경상남도 양산시 진등길 26,055-781-2994,중앙응급의료센터(E-Gen),2022-08-05
반도유보라아이파크5차@ (정문경비실),경상남도 양산시 동면 금오16길 122,055-367-8051,중앙응급의료센터(E-Gen),2022-08-05
동면행정복지센터 (동면행정복지센터 민원실),경상남도 양산시 동면 내송로 37 동면행정복지센터,055-392-7104,중앙응급의료센터(E-Gen),2022-08-05
태원아파트 (관리사무소 입구),경상남도 양산시 신명로 73 태원아파트,055-362-2231,중앙응급의료센터(E-Gen),2022-08-05
코아루아파트 (관리사무소),경상남도 양산시 평산북로 54 양산코아루아파트,055-362-5952,중앙응급의료센터(E-Gen),2022-08-05
일동미라주아파트 (정문 관리사무실내),경상남도 양산시 회현1길 48 일동 미라주 아파트,055-365-3545,중앙응급의료센터(E-Gen),2022-08-05
웅상푸르지오아파트 (관리사무소),"경상남도 양산시 삼호로 74(삼호동, 웅상신도시 푸르지오)",055-363-2660,중앙응급의료센터(E-Gen),2022-08-05
양산시립박물관 (1층 로비),"경상남도 양산시 북정로 78, 양산시립박물관 (북정동)",055-392-3312,중앙응급의료센터(E-Gen),2022-08-05
부산대학교치과병원 (지상1층 치주과 옆),경상남도 양산시 물금읍 금오로 20 부산대학교치과병원,055-360-5028,중앙응급의료센터(E-Gen),2022-08-05
부산대학교치과병원 (지상4층 간호사데스크 옆),경상남도 양산시 물금읍 금오로 20 부산대학교치과병원,055-360-5028,중앙응급의료센터(E-Gen),2022-08-05
부산대학교치과병원 (지상1층 소아치과 옆),경상남도 양산시 물금읍 금오로 20 부산대학교치과병원,055-360-5028,중앙응급의료센터(E-Gen),2022-08-05
부산대학교치과병원 (3층 구강외과 앞),경상남도 양산시 물금읍 금오로 20 부산대학교치과병원,055-360-5028,중앙응급의료센터(E-Gen),2022-08-05
양산금산휴먼시아아파트 (관리사무실 입구),경상남도 양산시 동면 금산2길 12 금산휴먼시아아파트,055-367-9703,중앙응급의료센터(E-Gen),2022-08-05
신창비바패밀리아파트 (아파트 정문 통합경비실내),경상남도 양산시 물금읍 신주로 69 신창비바패밀리아파트,055-383-1248,중앙응급의료센터(E-Gen),2022-08-05
신도시청어람아파트 (관리사무소동 1층),경상남도 양산시 양주로 94 청어람아파트,055-363-8201,중앙응급의료센터(E-Gen),2022-08-05
한신휴플러스아파트 (관리사무소 입구),경상남도 양산시 동면 석산1길 10 석산한신휴플러스아파트,055-367-6945,중앙응급의료센터(E-Gen),2022-08-05
한일유엔아이아파트 (정문 경비실내),경상남도 양산시 평산로 116 한일유앤아이아파트,055-362-1046,중앙응급의료센터(E-Gen),2022-08-05
화성파크드림아파트 (관리사무소 앞),경상남도 양산시 대운5길 7 화성파크드림아파트,055-362-4008,중앙응급의료센터(E-Gen),2022-08-05
신원아침도시아파트 (관리사무소동 1층),경상남도 양산시 대평들5길 16 신원아침도시아파트,055-366-0391,중앙응급의료센터(E-Gen),2022-08-05
신도시주공3단지아파트 (관리사무소 입구),경상남도 양산시 양주로 153 주공3단지아파트,055-363-6628,중앙응급의료센터(E-Gen),2022-08-05
신도시쌍용아파트 (관리사무소동 1층),경상남도 양산시 양주로 97 쌍용아파트,055-363-3036,중앙응급의료센터(E-Gen),2022-08-05
신기주공아파트 (관리사무소 입구(복도)),경상남도 양산시 신기서길 23 신기주공아파트,055-385-2395,중앙응급의료센터(E-Gen),2022-08-05
소주휴먼시아아파트 (관리사무소 앞),경상남도 양산시 번영로 435 소주휴먼시아아파트,055-372-5959,중앙응급의료센터(E-Gen),2022-08-05
상록경남아너스빌아파트 (관리동 1층),경상남도 양산시 양주로 16 경남아너스빌아파트,055-362-7996,중앙응급의료센터(E-Gen),2022-08-05
부영벽산아파트 (아파트정문 경비실내),경상남도 양산시 덕계11길 12 부영벽산아파트,055-388-8959,중앙응급의료센터(E-Gen),2022-08-05
반도유보라아파트 (관리사무소내),경상남도 양산시 물금읍 신주로 16 반도유보라1차아파트,055-365-3801,중앙응급의료센터(E-Gen),2022-08-05
대우마리나아파트 (관리사무소 입구),경상남도 양산시 상북면 감결길 17 대우마리나아파트,055-374-4353,중앙응급의료센터(E-Gen),2022-08-05
대승1차아파트 (아파트 입구 경비실내),경상남도 양산시 웅상대로 866 대승하이아트1차아파트,055-387-1556,중앙응급의료센터(E-Gen),2022-08-05
대동이미지1차아파트 (관리사무소),경상남도 양산시 대운로 354 대동이미지1차아파트,055-362-3197,중앙응급의료센터(E-Gen),2022-08-05
극동아파트 (관리사무실내),경상남도 양산시 동면 계석로 10 양산극동아파트,055-387-4346,중앙응급의료센터(E-Gen),2022-08-05
