순번,설치장소,도로명주소,전화번호,데이터기준일
62,경복궁관리소,서울특별시 종로구 세종로 1-1,02-3700-3928,2024-07-18
63,5호선 광화문역,서울특별시 종로구 세종로 1번지 68호 5호선 광화문역,02-6311-5330,2024-07-18
64,케이티링커스강북본부중앙지사,서울특별시 종로구 이화동 21 풍림빌딩 3층,02-744-1600,2024-07-18
65,서울국제고등학교,서울특별시 종로구 명륜1가 1-27 서울국제고등학교,02-743-9385,2024-07-18
66,지멘스(주),서울특별시 종로구 청진동 246 D타워,,2024-07-18
67,주)석하레저서울스포츠클럽,서울특별시 종로구 연지동 136-74,02-747-9000,2024-07-18
68,서울YMCA사회체육부,서울특별시 종로구 종로2가 9 YMCA,02-735-4612,2024-07-18
69,22경찰경호대,서울특별시 종로구 통인동 10,02-700-8231,2024-07-18
70,창신3동주민센터,서울특별시 종로구 창신동 23-816 창신3동주민센터,02-2148-5452,2024-07-18
71,서울독립문초등학교,서울특별시 종로구 무악동 46-82 독립문초등학교,02-730-4091,2024-07-18
72,서울매동초등학교,서울특별시 종로구 필운동 1-2 매동초등학교,02-737-4263,2024-07-18
73,서울혜화초등학교,서울특별시 종로구 혜화동 13-1 혜화초등학교,02-762-6437,2024-07-18
74,서울효제초등학교,서울특별시 종로구 효제동 255-4 서울효제초등학교,02-741-7461,2024-07-18
75,서울대학교사범대학부속초등학교,서울특별시 종로구 이화동 199-1 서울사대부속초등학교,02-768-1584,2024-07-18
76,상명대학교사범대학부속초등학교,서울특별시 종로구 홍지동 47-1 상명초등학교,02-395-0676,2024-07-18
77,운현초등학교,서울특별시 종로구 운니동 114-7 운현초등학교,02-765-0895,2024-07-18
78,중앙중학교,서울특별시 종로구 계동 4-1 중앙고등학교,02-742-1323,2024-07-18
79,경기상업고등학교,서울특별시 종로구 청운동 89-3 경기상업고등학교,02-737-6490,2024-07-18
80,경복고등학교,서울특별시 종로구 자하문로28가길 9 (청운동),02-397-5399,2024-07-18
81,서울과학고등학교,서울특별시 종로구 명륜1가 1 서울과학고등학교,02-740-6259,2024-07-18
82,경신고등학교,서울특별시 종로구 혜화동 5-119 경신중고등학교,02-762-0393,2024-07-18
83,대동세무고등학교,서울특별시 종로구 계동 35 대동세무고등학교,02-763-1631,2024-07-18
84,덕성여자고등학교,서울특별시 종로구 안국동 37-1 덕성여자고등학교,02-732-4961,2024-07-18
85,배화여자고등학교,서울특별시 종로구 필운동 1-21 배화여자대학,02-724-0356,2024-07-18
86,서울예술고등학교,서울특별시 종로구 평창동 217 서울예술고등학교,02-2287-0474,2024-07-18
87,서일문화예술고등학교,서울특별시 종로구 창신동 13-80 서일국제경영고등학교,02-763-6271,2024-07-18
88,서울농학교,서울특별시 종로구 신교동 1-1 국립서울농학교,02-724-7988,2024-07-18
89,"수도방위사령부제1경비단(인왕중대 인왕1,2초소)",서울특별시 종로구 무악동 산 2-8,02-524-3873,2024-07-18
90,종로공안과의원 구관,서울특별시 종로구 서린동 111-1 인주빌딩,02-733-5111,2024-07-18
91,종로공안과의원 구관,"서울특별시 종로구 종로1가 24 르메이에르종로타운 406,407호",02-733-5111,2024-07-18
92,종로경찰서,서울특별시 종로구 공평동 1 하나빌딩,02-3701-4321,2024-07-18
93,학산도서관,서울특별시 종로구 평창동 466-9,02-396-3916,2024-07-18
94,아름꿈도서관,서울특별시 종로구 숭인동 242-7,02-2237-6644,2024-07-18
95,배화여자대학교,서울특별시 종로구 필운동 12 배화여자대학,02-399-0736,2024-07-18
96,청운문학도서관,서울특별시 종로구 청운동 4-20 청운동 한옥문학 도서관,070-4680-4032,2024-07-18
97,혜성이야기학교,서울특별시 종로구 혜화동 5-55 혜성교회,02-6271-1557,2024-07-18
98,(재)서울기독교청년회,서울특별시 종로구 종로2가 9 YMCA,02-738-7799,2024-07-18
99,청운효자동북카페,서울특별시 종로구 궁정동 12-1 청운효자동주민센터 2층,02-2148-5020,2024-07-18
100,이앤한사회과학도서관재단,서울특별시 종로구 사직동 304-28 한국사회과학자료원,02-767-9504,2024-07-18
101,어린이도서관꿈과쉼,서울특별시 종로구 팔판동 49-1 삼청감리교회,02-734-1094,2024-07-18
102,청파도서관,서울특별시 종로구 종로6가 11-1 중앙성결교회,02-765-1511,2024-07-18
103,경복궁관리소(칠궁),"서울특별시 종로구 궁정동 1-1 냉천정,칠궁,삼락당",02-3700-3928,2024-07-18
104,경복궁관리소,서울특별시 종로구 세종로 1-1,02-3700-3928,2024-07-18
105,혜화경찰서,서울특별시 종로구 인의동 48-57 서울혜화경찰서,02-741-7000,2024-07-18
106,종로장애인복지관,서울특별시 종로구 신교동 66 종로구 장애인복지관 및 푸르메재활센터,02-6395-7061,2024-07-18
107,종로노인종합복지관,서울특별시 종로구 이화동,02-742-9500,2024-07-18
108,르메이에르스포츠,서울특별시 종로구 종로1가 24 르메이에르종로타운 지하2층~지하3층,02-738-5005,2024-07-18
109,YBM종로센터,서울특별시 종로구 종로2가 55-1 YBM,02-2278-0509,2024-07-18
110,북한산국립공원구기분소,서울특별시 종로구 구기동 산3-20,02-379-7043,2024-07-18
111,서울특별시학교보건진흥원,서울특별시 종로구 신문로2가 2-77 서울시교육청 학교보건진흥원,02-399-9673,2024-07-18
112,서울세검정초등학교,서울특별시 종로구 신영동 219-4 서울세검정초등학교 세검정초등학교,02-379-3004,2024-07-18
113,락희거리,서울특별시 종로구 낙원동 236-1 낙원빌딩,02-2148-3693,2024-07-18
114,종로아이들극장,서울특별시 종로구 혜화동 1-21 국민생활관 국민생활관 신관,02-2088-4272,2024-07-18
115,황학정국궁전시관,서울특별시 종로구 사직동 산1-1 황학정 국궁전시관,02-722-1600,2024-07-18
116,한양도성박물관,서울특별시 종로구 종로6가 70-6 서울디자인지원센터 3층,02-724-0290,2024-07-18
117,서울시립청소년이동쉼터(서북권),서울특별시 종로구 인사동 235 YMCA별관 서울YMCA 별관3층,,2024-07-18
118,에프앤유신용정보,서울특별시 종로구 관철동 10-2 삼일빌딩 삼일빌딩 25층,02-2003-3597,2024-07-18
119,종로구청,서울특별시 종로구 수송동 146-12 종로구청,02-2148-1306,2024-07-18
120,서울돈화문국악당,서울특별시 종로구 와룡동 12-2 서울돈화문국악당,02-3210-7014,2024-07-18
121,올림픽기념국민생활관,서울특별시 종로구 혜화동 1-21 국민생활관,02-6048-1282,2024-07-18
122,서울중앙고등학교,"서울특별시 종로구 계동 1 중앙고등학교,중앙중학교",02-742-1321,2024-07-18
123,창덕궁관리소,서울특별시 종로구 와룡동 2-71,02-3668-2345,2024-07-18
124,웰니스센터,서울특별시 종로구 원서동 181-5,02-2148-3615,2024-07-18
125,중부교육지원청,서울특별시 종로구 효제동 255-22 중부교육청,02-708-6574,2024-07-18
126,종로구육아종합지원센터,서울특별시 종로구 명륜3가 147-1 명륜건강증진센터,02-737-0890,2024-07-18
127,종로구민회관,"서울특별시 종로구 창신동 222-8 종로구구민회관, 보건소통합청",02-3672-2530,2024-07-18
128,100주년기념관,서울특별시 종로구 연지동 135 100주년기념관 본관1층 엘리베이터앞,02-744-0103,2024-07-18
129,서울지방국세청,서울특별시 종로구 수송동 104 국세청 1층 당직실,02-2114-2229,2024-07-18
130,서울극장,서울특별시 종로구 관수동 59-7 서울극장 1층로비,02-2278-0341,2024-07-18
131,서울대학교사범대학부설여자중학교,"서울특별시 종로구 이화동 149번지 서울대 사범대학 부설 초등학교,여자중학교",02-762-0608,2024-07-18
132,종로세무서,서울특별시 종로구 낙원동 58번지 8호 종로세무서,02-760-9240,2024-07-18
133,세계은행그룹서울사무소,서울특별시 종로구 서린동 63번지 서울글로벌센터,02-6975-3026,2024-07-18
134,서울청운초등학교,서울특별시 종로구 청운동 123번지 청운초등학교,02-720-3095,2024-07-18
135,대일건설(주),서울특별시 종로구 낙원동 288번지 낙원상가,02-743-6131,2024-07-18
136,서울교육박물관,서울특별시 종로구 화동 2번지,02-2011-5780,2024-07-18
137,(주)동아서울시네마,서울특별시 종로구 낙원동 288번지 낙원상가,02-745-4231,2024-07-18
138,강북삼성병원,서울특별시 종로구 평동 108번지 1호 강북삼성병원,02-2001-2815,2024-07-18
139,세란병원,서울특별시 종로구 무악동 32-2 세란병원,02-737-0181,2024-07-18
140,창덕궁관리소,서울특별시 종로구 와룡동 2-71 창덕궁,02-3668-2345,2024-07-18
141,서울공예박물관,서울특별시 종로구 안국동 175-112 서울공예박물관,02-6450-7034,2024-07-18
142,북한산국립공원구기분소,서울특별시 종로구 구기동 산 3-20,02-379-7043,2024-07-18
143,강북삼성병원,서울특별시 종로구 평동 108-1 강북삼성병원,02-2001-2815,2024-07-18
144,SK텔레콤센트로폴리스,서울특별시 종로구 공평동 17,02-6100-7288,2024-07-18
145,개인정보보호위원회,서울특별시 종로구 세종로 77-6 정부서울청사,02-2100-3015,2024-07-18
146,팬오션,서울특별시 종로구 청진동 128 Tower 8,02-316-5118,2024-07-18
147,종로구보훈회관,서울특별시 종로구 이화동 13-10 종로구 보훈회관,02-3676-0585,2024-07-18
148,한국마사회종로지사,서울특별시 종로구 숭인동 201-18 한국마사회 종로지사,02-6006-5412,2024-07-18
149,정독도서관,서울특별시 종로구 화동 2 정독도서관,02-2011-5712,2024-07-18
150,1호선 동묘앞,서울특별시 종로구 숭인동 117 동묘앞역,02-6110-1271,2024-07-18
151,3호선 안국역,서울특별시 종로구 안국동 73-1 3호선 안국역,02-6110-3281,2024-07-18
152,1호선 종로3가역,서울특별시 종로구 종로3가 10-5 1호선 종로3가역,02-6110-1301,2024-07-18
153,종각역,서울특별시 종로구 종로1가 54 종각지하철역사 대합실,02-6110-1311,2024-07-18
154,4호선 동대문역,서울특별시 종로구 종로6가 287-1 4호선 동대문역,02-6110-4210,2024-07-18
155,(주)재능교육,서울특별시 종로구 혜화동 55-5 재능교육,02-3670-0232,2024-07-18
156,1호선 동대문역,서울특별시 종로구 창신동 492-1 1호선 동대문역,02-6110-1281,2024-07-18
157,3호선 경복궁역,서울특별시 종로구 적선동 81-1 3호선 경복궁역,02-6110-3271,2024-07-18
158,4호선 혜화역,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,02-6110-4201,2024-07-18
159,서대문역 5호선,서울특별시 종로구 평동 210 서대문역,02-6311-5321,2024-07-18
160,ABL생명,서울특별시 종로구 숭인동 1383,02-2252-6309,2024-07-18
161,6호선 창신역,서울특별시 종로구 창신동 20-8 6호선 창신역,02-6311-6371,2024-07-18
162,6호선 동묘앞역,서울특별시 종로구 숭인동 316-3 6호선 동묘앞역,02-6311-6361,2024-07-18
163,5호선 종로3가역,서울특별시 종로구 돈의동 39-1 5호선 종로3가역,02-6311-5340,2024-07-18
164,1호선 종로5가역,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,02-6110-1291,2024-07-18
165,국립서울문화재연구소,서울특별시 종로구 세종로 1-57 국립고궁박물관,02-739-6922,2024-07-18
166,CGV피카디리1958,서울특별시 종로구 돈의동 137 피카디리플러스,02-3674-7737,2024-07-18
167,코리안리재보험(주),서울특별시 종로구 수송동 80 코리안리재보험,02-3702-6000,2024-07-18
168,하나손해보험,서울특별시 종로구 인의동 112-1 하나손해보험빌딩,02-744-4947,2024-07-18
169,서울보증보험주식회사,서울특별시 종로구 연지동 136-74 서울보증보험,02-3671-7261,2024-07-18
170,한국무역보험공사,서울특별시 종로구 서린동 136 한국무역보험공사빌딩,02-399-6005,2024-07-18
171,하나투어,서울특별시 종로구 공평동 1 하나빌딩,02-2127-1344,2024-07-18
172,현대건설KT광화문WEST빌딩리모델링현장,서울특별시 종로구 세종로 100 KT 광화문 빌딩 West,02-739-8210,2024-07-18
173,수도사랑의학교,서울특별시 종로구 사직동 262-57 수도사랑의학교,02-739-9868,2024-07-18
174,종로3가역(3호선),서울특별시 종로구 묘동 20-5 3호선 종로3가역,02-6110-3291,2024-07-18
175,종로문화체육센터,"서울특별시 종로구 인왕산로1길 21, 종로문화체육센터 (사직동)",02-732-9392,2024-07-18
176,다정이네,서울특별시 종로구 신영동 179-2,02-395-5397,2024-07-18
177,서울특별시립돈의동쪽방상담소,서울특별시 종로구 돈의동 106 새뜰집,02-747-9074,2024-07-18
178,힐스주야간보호센터,서울특별시 종로구 이화동 125,02-3676-5509,2024-07-18
179,서울특별시종로구의회,서울특별시 종로구 공평동 144 94빌딩,02-2148-3858,2024-07-18
180,명륜와룡공영주차장,서울특별시 종로구 명륜3가 1-21 명륜동 와룡공영주차장 및 문화센터,02-745-0445,2024-07-18
181,삼청공원,서울특별시 종로구 삼청동 산 2-2 삼청공원,02-2148-4150,2024-07-18
182,낙원상가,서울특별시 종로구 낙원동 288 낙원상가,02-742-4020,2024-07-18
183,아름다운뜰안에요양원,서울특별시 종로구 평창동 523-38,02-396-0461,2024-07-18
184,아름다운실버홈,서울특별시 종로구 평창동 552-7,,2024-07-18
185,보현데이케어센터,서울특별시 종로구 평창동 562-14,02-394-5511,2024-07-18
186,종로구치매안심센터,서울특별시 종로구 평창동 235-2 종로구치매안심센터,02-3675-9001,2024-07-18
187,세종마을음식문화거리,서울특별시 종로구 체부동 57,02-3210-2003,2024-07-18
188,세운상가가동건물관리회,서울특별시 종로구 장사동 116-4 세운상가,02-2267-6371,2024-07-18
189,종로신진시장,서울특별시 종로구 종로5가 194-1 구두수선대,02-2272-6001,2024-07-18
190,신설종합시장(주),서울특별시 종로구 숭인동 206-9 신설종합시장,02-2234-7151,2024-07-18
191,종로구시설관리공단 동부여성문화센터,서울특별시 종로구 창신동 596-2 동부여성문화센터,02-3675-5861,2024-07-18
192,동대문종합시장D동상가,서울특별시 종로구 종로6가 262-1 동대문종합시장,02-2279-8751,2024-07-18
193,평창경로문화센터,서울특별시 종로구 평창동 235-2 평창경로당,02-2148-3672,2024-07-18
194,서울관광재단,서울특별시 종로구 관철동 10-2 삼일빌딩,02-378-0800,2024-07-18
195,GS25계동중앙점,서울특별시 종로구 계동 86,02-743-3827,2024-07-18
196,청운효자동주민센터,서울특별시 종로구 궁정동 12-1 청운효자동주민센터,02-2148-5002,2024-07-18
197,종로문화재단고희동미술관,서울특별시 종로구 원서동 16 고희동 가옥,02-741-8424,2024-07-18
198,종로문화재단상촌재,서울특별시 종로구 옥인동 19-16 상촌재,02-6013-1142,2024-07-18
199,세븐일레븐혜화점,서울특별시 종로구 혜화동 111-7,02-3284-8111,2024-07-18
200,세븐일레븐종로재동점,서울특별시 종로구 재동 12,02-3284-8111,2024-07-18
201,CU명륜성대점,서울특별시 종로구 명륜4가 187 이화빌딩,,2024-07-18
202,CU종로햇살점,서울특별시 종로구 효제동 248-1,,2024-07-18
203,창신골목시장,서울특별시 종로구 창신동 138-20,02-745-8878,2024-07-18
204,종로구시설관리공단인사동문화지구,서울특별시 종로구 인사동 43-2,02-730-7282,2024-07-18
205,오디세이학교,서울특별시 종로구 숭인동 242-1 오디세이학교,02-2256-4120,2024-07-18
206,종로아이존,서울특별시 종로구 신교동 66 종로구 장애인복지관 및 푸르메재활센터,02-6395-7045,2024-07-18
207,한식진흥원,서울특별시 종로구 재동 54-5,02-6320-8482,2024-07-18
208,동대문종합시장(주식회사동승),서울특별시 종로구 종로6가 262-1 동대문종합시장,02-2262-0214,2024-07-18
209,동대문종합시장(주식회사동승),서울특별시 종로구 종로6가 289-57 동대문종합시장 신관,02-2262-0214,2024-07-18
210,종로구정신건강복지센터,서울특별시 종로구 명륜1가 5-14 명륜1가공영주차장,02-745-0199,2024-07-18
211,GS25마로니에점,서울특별시 종로구 동숭동 1-100,02-766-2535,2024-07-18
212,무악공원,서울특별시 종로구 무악동 74,02-2148-4149,2024-07-18
213,종묘광장공원,서울특별시 종로구 훈정동 1-2 종묘공원,02-2148-4155,2024-07-18
214,이마트24R종로대호점,서울특별시 종로구 연지동 136-73 세림빌딩,,2024-07-18
215,창경궁관리소,서울특별시 종로구 와룡동 2-1 창경궁,02-2172-0107,2024-07-18
216,서울대학교사범대학부속초등학교,"서울특별시 종로구 이화동 149 서울대 사범대학 부설 초등학교,여자중학교",02-768-1584,2024-07-18
217,서울시설공단,서울특별시 종로구 서린동 63 서울글로벌센터,02-739-6805,2024-07-18
218,현대건설,서울특별시 종로구 계동 140-2 현대빌딩,02-746-2476,2024-07-18
219,현대차증권(종로지점),서울특별시 종로구 경운동 70 라이온스회관354A,02-3787-2615,2024-07-18
220,평창파출소,서울특별시 종로구 평창동 273-3,02-379-6356,2024-07-18
221,금강파크빌리지,서울특별시 종로구 평창동 170 금강주택,02-379-4403,2024-07-18
222,혜화경찰서 대학로파출소,서울특별시 종로구 동숭동 201-10 대학로파출소,02-3158-7313,2024-07-18
223,금강하이츠빌라,서울특별시 종로구 평창동 64-3 금강하이츠빌라,02-394-3225,2024-07-18
224,옥인파출소,서울특별시 종로구 옥인동 45-16 옥인파출소,02-732-1067,2024-07-18
225,올림픽기념국민생활관,서울특별시 종로구 혜화동 1-21,02-6048-1282,2024-07-18
226,배화여자중학교,"서울특별시 종로구 필운동 12 배화여자대학교,배화여자중,고등학교",02-725-6456,2024-07-18
227,상명대학교사범대학부속여자중학교,서울특별시 종로구 홍지동 7-1,,2024-07-18
228,숭인1동주민센터,서울특별시 종로구 숭인동 55-2 숭인제1동주민센터,02-2148-5483,2024-07-18
229,대신중학교,서울특별시 종로구 행촌동 171-1 대신중고등학교,02-736-0317,2024-07-18
230,삼청동주민센터,서울특별시 종로구 삼청동 105-1 삼청동주민센터,02-2148-5063,2024-07-18
231,서울맹학교,서울특별시 종로구 신교동 1-4 국립서울맹학교,02-731-6680,2024-07-18
232,경신중학교,서울특별시 종로구 혜화동 5-119 경신중고등학교,02-762-0386,2024-07-18
233,광화문우체국,서울특별시 종로구 서린동 154-1 광화문우체국,02-3703-9001,2024-07-18
234,동성중학교,"서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관",02-3671-9128,2024-07-18
235,종로데이케어센터,서울특별시 종로구 창신동 23-344 종로종합사회복지관,02-741-4904,2024-07-18
236,서울지방경찰청1기동단창신기동대,서울특별시 종로구 창신동 23-373,02-765-7124,2024-07-18
237,좋은공연안내센터 마로니에공원,서울특별시 종로구 동숭동 1-124,02-2115-4158,2024-07-18
238,사직파출소,서울특별시 종로구 필운동 139-1,02-735-8410,2024-07-18
239,서울다솜관광고등학교,서울특별시 종로구 숭인동 242-1 서울다솜관광고등학교,070-8685-7785,2024-07-18
240,서울특별시어린이도서관,서울특별시 종로구 사직동 1-28 어린이도서관,02-731-2362,2024-07-18
241,서울명신초등학교,서울특별시 종로구 창신동 7-40 서울명신초등학교,02-766-1415,2024-07-18
242,종로문화체육센터,서울특별시 종로구 사직동 284-1 종로문화체육센터,02-732-9392,2024-07-18
243,"종로1,4가동주민센터",서울특별시 종로구 익선동 99 종로1.2.3.4가동 주민센터,02-2148-5243,2024-07-18
244,청운중학교,서울특별시 종로구 청운동 89-143 청운중학교,02-737-0582,2024-07-18
245,청운효자동자치회관,"서울특별시 종로구 옥인동 45-30 종로구보건소, 청운효자동자치회관",02-2148-5012,2024-07-18
246,덕성여자중학교,서울특별시 종로구 송현동 34 덕성여자중학교,02-732-4965,2024-07-18
247,관수파출소,서울특별시 종로구 관철동 11-19 hk빌딩,02-2285-4248,2024-07-18
248,종로노인종합복지관무악센터,서울특별시 종로구 무악동 60-2 종로노인종합복지관 무악센터,02-742-9904,2024-07-18
249,명륜아남1차아파트,서울특별시 종로구 명륜2가 4 아남아파트,02-747-9717,2024-07-18
250,효제파출소,서울특별시 종로구 종로6가 238-16 서울혜화경찰서 효제파출소,02-762-8485,2024-07-18
251,명륜파출소,서울특별시 종로구 명륜1가 27-55 서울혜화경찰서 명륜파출소,02-762-1120,2024-07-18
252,종로3가치안센터,서울특별시 종로구 묘동 59-5 종로3가치안센터,02-742-0112,2024-07-18
253,혜화경찰서 덕산파출소,서울특별시 종로구 창신동 640-137 덕산파출소,02-763-6843,2024-07-18
254,창신파출소,서울특별시 종로구 창신동 23-875 창신파출소,02-763-4200,2024-07-18
255,혜화파출소,서울특별시 종로구 혜화동 92-1 혜화파출소,02-762-0811,2024-07-18
256,동묘파출소,"서울특별시 종로구 숭인동 242-7 동묘파출소, 아름꿈도서관",02-2252-0547,2024-07-18
257,종로구립박노수미술관,서울특별시 종로구 옥인동 168-2 박노수 가옥,02-2148-4171,2024-07-18
258,종로5가파출소,서울특별시 종로구 종로5가 138-1 종로5가지구대,02-2267-2287,2024-07-18
259,삼청테니스장,서울특별시 종로구 삼청동 산 2-1,02-2148-4068,2024-07-18
260,숭인2동주민센터,서울특별시 종로구 숭인동 178-167 숭인제2동주민센터,02-2148-5512,2024-07-18
261,사직단출장소,서울특별시 종로구 사직동 1-28,02-2739-7205,2024-07-18
262,이화동주민센터,서울특별시 종로구 이화동 149-1 이화동주민센터,02-2148-5302,2024-07-18
263,평창동주민센터,서울특별시 종로구 평창동 186-9 평창동 주민센터,02-2148-5123,2024-07-18
264,오피스텔월드,서울특별시 종로구 운니동 65-1 오피스텔월드,02-747-2511,2024-07-18
265,경복궁관리소,서울특별시 종로구 세종로 1-1 경복궁,02-3700-3928,2024-07-18
266,동성고등학교,"서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관",02-3671-9209,2024-07-18
