순서,설치기관명,설치기관 주소,관할보건소,설치장소 주소,설치위치
50,공음실내체육관,"전라북도 고창군 공음면 왕제산로 73, 공음실내체육관",고창군보건소,"전라북도 고창군 공음면 왕제산로 73, 공음실내체육관",공음실내체육관
51,공음면기쁨목욕탕,전라북도 고창군 공음면 용덕로 632,고창군보건소,전라북도 고창군 공음면 용덕로 632,공음 작은목욕탕
52,대산파출소,전라북도 고창군 대산면 고산성로 4 대산파출소,고창군보건소,전라북도 고창군 대산면 고산성로 4 대산파출소,대산파출소
53,남성재경로당,"전라북도 고창군 대산면 공음대산로 936-10, 대산면경로당",고창군보건소,"전라북도 고창군 대산면 공음대산로 936-10, 대산면경로당",남성재경로당
54,대산면보건지소,"전라북도 고창군 대산면 공음대산로 936-9, 보건지소",고창군보건소,"전라북도 고창군 대산면 공음대산로 936-9, 보건진료소",현관
55,대산면 작은행복목욕탕,"전라북도 고창군 대산면 대산시장길 19-2, 대산면작은목욕탕",고창군보건소,"전라북도 고창군 대산면 대산시장길 19-2, 대산면작은목욕탕",대산면 작은목욕탕
56,대산면사무소,전라북도 고창군 대산면 대성로 273 대산면사무소,고창군보건소,전라북도 고창군 대산면 대성로 273 대산면사무소,대산면사무소
57,대산면농어민체육센터,"전라북도 고창군 대산면 사거1길 49-10, 농어민문화체육센타",고창군보건소,"전라북도 고창군 대산면 사거1길 49-10, 농어민문화체육센타",대산면 농어민 체육센터
58,대산면성동보건진료소,"전라북도 고창군 대산면 성동길 9-4, 성동보건진료소",고창군보건소,"전라북도 고창군 대산면 성동길 9-4, 성동보건진료소",보건진료소내 현관
59,대산면해룡보건진료소,"전라북도 고창군 대산면 해룡로 95, 해룡보건진료소",고창군보건소,"전라북도 고창군 대산면 해룡로 95, 해룡보건진료소",보건진료소내 현관
60,무장면사무소,전라북도 고창군 무장면 녹두로 8 무장면사무소,고창군보건소,전라북도 고창군 무장면 녹두로 8 무장면사무소,면사무소 민원실
61,무장파출소,전라북도 고창군 무장면 무장남북로 20-8 무장파출소,고창군보건소,전라북도 고창군 무장면 무장남북로 20-8 무장파출소,무장파출소
62,무장면강남보건진료소,"전라북도 고창군 무장면 석곡로 65, 강남보건진료소",고창군보건소,"전라북도 고창군 무장면 석곡로 65, 강남보건진료소",보건진료소내 현관
63,남극관경로당,전라북도 고창군 무장면 성내길 5,고창군보건소,전라북도 고창군 무장면 성내길 5,남극관경로당
64,무장면작은목욕탕,"전라북도 고창군 무장면 영선길 8-1, 무장면작은목욕탕",고창군보건소,"전라북도 고창군 무장면 영선길 8-1, 무장면작은목욕탕",무장면 작은목욕탕
65,무장면보건지소,전라북도 고창군 무장면 청보리로 1544,고창군보건소,전라북도 고창군 무장면 청보리로 1544,현관
66,무장체육문화센터,전라북도 고창군 무장면 청보리로 1550 무장체육문화센터,고창군보건소,전라북도 고창군 무장면 청보리로 1550 무장체육문화센터,체육문화센터 체육관
67,부안면보건지소,"전라북도 고창군 부안면 난산1길 17, 부안면보건지소",고창군보건소,"전라북도 고창군 부안면 난산1길 17, 부안면보건지소",현관
68,부안파출소,전라북도 고창군 부안면 복분자로 873 부안파출소,고창군보건소,전라북도 고창군 부안면 복분자로 873 부안파출소,부안파출소
69,용현경로당,"전라북도 고창군 부안면 용현2길 4-3, 용현노인회관",고창군보건소,"전라북도 고창군 부안면 용현2길 4-3, 용현노인회관",용현경로당
70,부안면사무소,전라북도 고창군 부안면 인촌로 1246 부안면사무소,고창군보건소,전라북도 고창군 부안면 인촌로 1246 부안면사무소,부안면사무소
71,부안면상암보건진료소,"전라북도 고창군 부안면 인촌로 534, 상암보건진료소",고창군보건소,"전라북도 고창군 부안면 인촌로 534, 상암보건진료소",보건진료소내 현관
72,부안면작은목욕탕,전라북도 고창군 부안면 중흥서당촌길 34-17 작은목욕탕,고창군보건소,전라북도 고창군 부안면 중흥서당촌길 34-17 작은목욕탕,부안면작은목욕탕
73,부안면건강증진센터,"전라북도 고창군 부안면 중흥서당촌길 34-66, 부안면건강증진센터",고창군보건소,"전라북도 고창군 부안면 중흥서당촌길 34-66, 부안면건강증진센터",부안면 건강증진센터
74,선운보건진료소,전라북도 고창군 부안면 질마재로 29-20,고창군보건소,전라북도 고창군 부안면 질마재로 29-20,보건진료소내 운동실 앞
75,상하면작은목욕탕,전라북도 고창군 상하면 명동2길 14,고창군보건소,"전라북도 고창군 상하면 명동2길 16, 작은목욕탕",상하면 작은목욕탕
76,상하경로제,"전라북도 고창군 상하면 명동2길 16, 경로제",고창군보건소,"전라북도 고창군 상하면 명동2길 16, 경로제",상하경로제
77,상하치안센터,전라북도 고창군 상하면 상하로 84 상하치안센터,고창군보건소,전라북도 고창군 상하면 상하로 84 상하치안센터,상하치안센터
78,상하면사무소,전라북도 고창군 상하면 상하로 84-11 상하면사무소,고창군보건소,전라북도 고창군 상하면 상하로 84-11 상하면사무소,면사무소 민원실
79,상하보건진료소,전라북도 고창군 상하면 상하로 86,고창군보건소,전라북도 고창군 상하면 상하로 86,환자대기실
80,상하실내체육관,"전라북도 고창군 상하면 선운대로 810, 실내체육관",고창군보건소,전라북도 고창군 상하면 선운대로 810 실내체육관,상하실내체육관
81,상하면장호보건진료소,"전라북도 고창군 상하면 용사길 5, 장호보건진료소",고창군보건소,"전라북도 고창군 상하면 용사길 5, 장호보건진료소",현관
82,상하면자룡보건진료소,"전라북도 고창군 상하면 진암구시포로 344, 자룡보건진료소",고창군보건소,"전라북도 고창군 상하면 진암구시포로 344, 자룡보건진료소",보건진료소내 현관
83,성내면덕산보건진료소,"전라북도 고창군 성내면 근촌로 274-12, 덕산보건진료소",고창군보건소,"전라북도 고창군 성내면 근촌로 274-12, 덕산보건진료소",보건진료소내 현관
84,성내면작은목욕탕,전라북도 고창군 성내면 낙산로 433-9,고창군보건소,전라북도 고창군 성내면 낙산로 433-9,성내 작은목욕탕
85,성내보건지소,"전라북도 고창군 성내면 시기1길 43, 성내면보건지소",고창군보건소,"전라북도 고창군 성내면 시기1길 43, 성내면보건지소",보건지소내 현관
86,성내치안센터,전라북도 고창군 성내면 시기1길 76 성내치안센터,고창군보건소,전라북도 고창군 성내면 시기1길 76 성내치안센터,성내치안센터
87,시기남자경로당,"전라북도 고창군 성내면 시기2길 16, 성내경로당",고창군보건소,전라북도 고창군 성내면 시기2길 16 시기남자경로당,성내면시기남자경로당
88,성내면사무소,"전라북도 고창군 성내면 시기2길 6, 성내면사무소",고창군보건소,전라북도 고창군 성내면 시기2길 6 성내면사무소,성내면사무소
89,성내면낙산보건진료소,"전라북도 고창군 성내면 은낙길 71, 낙산보건진료소",고창군보건소,"전라북도 고창군 성내면 은낙길 71, 낙산보건진료소",보건진료소내 현관
90,성송면관동보건진료소,"전라북도 고창군 성송면 관동로 234, 관동보건진료소",고창군보건소,"전라북도 고창군 성송면 관동로 223, 관동보건진료소",현관
91,성송보건지소,"전라북도 고창군 성송면 대성로 763-4, 성송면보건지소",고창군보건소,"전라북도 고창군 성송면 대성로 763-4, 성송면보건지소",보건지소 내
92,성송체육회관,전라북도 고창군 성송면 대성로 763-8 성송체육관,고창군보건소,전라북도 고창군 성송면 대성로 763-8 성송체육관,성송체육회관 사무실
93,성송면작은목욕탕,"전라북도 고창군 성송면 대성로 763-8, 성송체육관",고창군보건소,"전라북도 고창군 성송면 대성로 763-8, 성송체육관",성송 작은목욕탕
94,성송면사무소,"전라북도 고창군 성송면 대성로 770, 성송면사무소",고창군보건소,전라북도 고창군 성송면 대성로 770 면사무소,성송면사무소
95,성송파출소,전라북도 고창군 성송면 대성로 777 성송파출소,고창군보건소,전라북도 고창군 성송면 대성로 777 성송파출소,성송파출소
96,성송경로당,"전라북도 고창군 성송면 치동길 12-1, 성송면노인회",고창군보건소,"전라북도 고창군 성송면 치동길 12-1, 성송면노인회",성송경로당
97,신림면가평보건진료소,"전라북도 고창군 신림면 가평로 478, 가평보건진료소",고창군보건소,"전라북도 고창군 신림면 가평로 478, 가평보건진료소",현관
98,고인돌휴게소(목포),"전라북도 고창군 신림면 서해안고속도로 81, 고창고인돌휴게소",고창군보건소,"전라북도 고창군 신림면 서해안고속도로 81, 고창고인돌휴게소",본 건물 내 1층 중앙식권판매대 옆
99,신림면사무소,전라북도 고창군 신림면 신림로 136 신림면사무소,고창군보건소,전라북도 고창군 신림면 신림로 136 신림면사무소,신림면사무소
100,임리여자경로당,"전라북도 고창군 신림면 신림로 153, 임리마을회관",고창군보건소,"전라북도 고창군 신림면 신림로 153, 임리마을회관",임리여자경로당
101,신림면복지회관,"전라북도 고창군 신림면 신림로 158, 신림면종합복지회관",고창군보건소,전라북도 고창군 신림면 신림로 158 신림면복지회관,신림면복지회관
102,신림치안센터,전라북도 고창군 신림면 신림로 178 신림치안센터,고창군보건소,전라북도 고창군 신림면 신림로 178 신림치안센터,신림치안센터
103,신림보건지소,"전라북도 고창군 신림면 임리1길 9, 신림면보건지소",고창군보건소,"전라북도 고창군 신림면 임리1길 9, 신림면보건지소",보건지소 내
104,심원면정동보건진료소,"전라북도 고창군 심원면 고전로 256, 정동보건진료소",고창군보건소,"전라북도 고창군 심원면 고전로 256, 정동보건진료소",현관
105,심원면하전보건진료소,전라북도 고창군 심원면 동전길 30-14,고창군보건소,전라북도 고창군 심원면 동전길 30-14,보건진료소내 환자대기실
106,심원경로당,"전라북도 고창군 심원면 심원로 179, 노인복지회관",고창군보건소,"전라북도 고창군 심원면 심원로 179, 노인복지회관",심원경로당
107,심원치안센터,전라북도 고창군 심원면 심원로 207 심원치안센터,고창군보건소,전라북도 고창군 심원면 심원로 207 심원치안센터,심원치안센터
108,심원보건지소,"전라북도 고창군 심원면 심원로 209, 심원면보건지소",고창군보건소,"전라북도 고창군 심원면 심원로 209, 심원면보건지소",보건지소 내
109,심원면사무소,"전라북도 고창군 심원면 심원로 211, 심원면사무소",고창군보건소,전라북도 고창군 심원면 심원로 211 심원면사무소,심원면사무소
110,심원면 국민체육센터,전라북도 고창군 심원면 연화1길 12,고창군보건소,전라북도 고창군 심원면 연화1길 12,심원면 국민체육센터
111,심원면작은목욕탕,"전라북도 고창군 심원면 연화1길 13-1, 심원게이트볼장",고창군보건소,"전라북도 고창군 심원면 연화1길 13-1, 심원게이트볼장",심원면 작은목욕탕
112,상갑경로당,"전라북도 고창군 아산면 갑평2길 25, 상갑리회관",고창군보건소,"전라북도 고창군 아산면 갑평2길 25, 상갑리회관",상갑경로당
113,아산면보건지소,"전라북도 고창군 아산면 녹두로 763, 아산면 보건지소",고창군보건소,"전라북도 고창군 아산면 녹두로 763, 아산면 보건지소",현관
114,아산면민회관,전라북도 고창군 아산면 녹두로 786 아산면민회관,고창군보건소,전라북도 고창군 아산면 녹두로 786 아산면민회관,아산면민회관
115,아산면사무소,전라북도 고창군 아산면 녹두로 786 아산면사무소,고창군보건소,전라북도 고창군 아산면 녹두로 786 아산면사무소,면사무소 민원실
116,아산파출소,전라북도 고창군 아산면 녹두로 796 아산파출소,고창군보건소,전라북도 고창군 아산면 녹두로 796 아산파출소,아산파출소
117,선운산도립공원,"전라북도 고창군 아산면 선운사로 158-6, 선운산도립공원관리사무소",고창군보건소,"전라북도 고창군 아산면 선운사로 158-6, 선운산도립공원관리사무소",선운산도립공원 관리사무소
118,아산면반암보건진료소,"전라북도 고창군 아산면 인천강변로 656, 반암보건진료소",고창군보건소,"전라북도 고창군 아산면 인천강변로 656, 반암보건진료소",보건진료소내 현관
119,해리면금평보건진료소,"전라북도 고창군 해리면 금평1길 17, 금평보건진료소",고창군보건소,"전라북도 고창군 해리면 금평1길 17, 금평보건진료소",현관
120,해리면사반보건진료소,"전라북도 고창군 해리면 봉수로 669, 사반보건진료소",고창군보건소,"전라북도 고창군 해리면 봉수로 669, 사반보건진료소",현관
121,해리면체육관,"전라북도 고창군 해리면 청해1길 15, 해리면체육관",고창군보건소,"전라북도 고창군 해리면 청해1길 15, 해리면체육관",체육관내
122,해리면사무소,전라북도 고창군 해리면 청해2길 38 해리면사무소,고창군보건소,전라북도 고창군 해리면 청해2길 38 해리면사무소,면사무소 민원실
123,해리면건강목욕탕,전라북도 고창군 해리면 해리중앙로 130 복지회관 목욕탕,고창군보건소,전라북도 고창군 해리면 해리중앙로 130 해리건강목욕탕,해리면 건강목욕탕
124,해리면 통합보건지소,"전라북도 고창군 해리면 해리중앙로 174, 해리통합보건지소",고창군보건소,"전라북도 고창군 해리면 해리중앙로 174, 해리통합보건지소",보건지소 내
125,해리파출소,전라북도 고창군 해리면 해리중앙로 49 해리파출소,고창군보건소,전라북도 고창군 해리면 해리중앙로 49 해리파출소,해리파출소
126,노성사경로당,"전라북도 고창군 해리면 해리중앙로 53-4, 해리면노성사",고창군보건소,"전라북도 고창군 해리면 해리중앙로 53-4, 해리면노성사",노성사경로당
127,흥덕면사무소,전라북도 고창군 흥덕면 문화2길 27 흥덕면사무소,고창군보건소,전라북도 고창군 흥덕면 문화2길 27 흥덕면사무소,흥덕면사무소
128,흥덕나눔목욕탕,"전라북도 고창군 흥덕면 선운대로 3718-1, 흥덕면작은목욕탕",고창군보건소,"전라북도 고창군 흥덕면 선운대로 3718-1, 흥덕면작은목욕탕",흥덕나눔목욕탕
129,흥덕파출소,전라북도 고창군 흥덕면 선운대로 3759 흥덕파출소,고창군보건소,전라북도 고창군 흥덕면 선운대로 3759 흥덕파출소,흥덕파출소
130,흥덕면용반보건진료소,"전라북도 고창군 흥덕면 용반안길 63, 용반보건진료소",고창군보건소,"전라북도 고창군 흥덕면 용반안길 63, 용반보건진료소",보건진료소내 현관
131,후포보건진료소,전라북도 고창군 흥덕면 후포후동길 3-10,고창군보건소,전라북도 고창군 흥덕면 후포후동길 3-10,후포보건진료소
132,흥덕보건지소,"전라북도 고창군 흥덕면 흥덕초등길 16, 흥덕면보건지소",고창군보건소,"전라북도 고창군 흥덕면 흥덕초등길 16, 흥덕면보건지소",보건지소 내
133,흥덕경로당,"전라북도 고창군 흥덕면 흥동1길 8, 흥덕경로당",고창군보건소,"전라북도 고창군 흥덕면 흥동1길 8, 흥덕경로당",흥덕경로당
134,현대스틸산업(주),전라남도 광양시 광양읍 율촌산단5로 177,군산시보건소,전라북도 군산시 임해로 442 (소룡동),백마14호
135,(주)에이치엘해운,전라남도 진도군 임회면 진도항길 91,군산시보건소,전라북도 군산시 임해로 442 (소룡동),한림페리7호 조타실
136,(주)에이치엘해운,전라남도 진도군 임회면 진도항길 91,군산시보건소,전라북도 군산시 임해로 442 (소룡동),한림페리3호 여객실
137,세주수산,전라북도 고창군 상하면 구시포해변길 76 세주수산,군산시보건소,전라북도 군산시 임해로 440 (소룡동),해양엑스포
138,해동12호,전라북도 군산시 개정면 개정문화길 85,군산시보건소,전라북도 군산시 개정면 개정문화길 85,해동12호
139,경암동부향하나로아파트,"전라북도 군산시 경촌1길 56 (경암동, 경암동부향하나로아파트)",군산시보건소,"전라북도 군산시 경촌1길 56 (경암동, 경암동부향하나로아파트)",관리사무소 내
140,29만복호,전라북도 군산시 경포천동길 64 (경암동),군산시보건소,전라북도 군산시 경포천동길 64 (경암동),29만복호 내
141,미장휴먼시아아파트,전라북도 군산시 경포천로 34,군산시보건소,"전라북도 군산시 경포천로 34 (미장동, 군산미장휴먼시아)",관리사무소내
142,미장휴먼시아아파트,전라북도 군산시 경포천로 34,군산시보건소,전라북도 군산시 경포천로 34,경비실
143,미장휴먼시아아파트,전라북도 군산시 경포천로 34,군산시보건소,전라북도 군산시 경포천로 34,미장휴먼시아아파트 경로당 내
144,수송공원삼성쉐르빌,"전라북도 군산시 경포천로 66 (미장동, 수송공원 삼성쉐르빌)",군산시보건소,전라북도 군산시 경포천로 66,관리사무실 내부
145,지곡쌍용예가아파트,전라북도 군산시 계산로 71,군산시보건소,전라북도 군산시 계산로 71,관리사무소 입구
146,지곡동엠코타운,"전라북도 군산시 계산로 90 (지곡동, 지곡동 엠코타운)",군산시보건소,전라북도 군산시 계산로 90,서문경비실 내(해나지오아파트 정문 맞은편)
147,갈릴리호,"전라북도 군산시 계산로 90 107동 301호 (지곡동, 지곡동 엠코타운)",군산시보건소,군산시 내항2길,갈릴리호 선장실
148,타워써미트아파트,"전라북도 군산시 공단대로 54 (조촌동, 타워써미트)",군산시보건소,"전라북도 군산시 공단대로 54 (조촌동, 타워써미트)",관리사무실 입구
149,(주)삼성종합물류,전라북도 군산시 공항로 262 (산북동),군산시보건소,전라북도 군산시 내항2길 149 (금동),아리울유람선호
150,(주)이마트군산점,전라북도 군산시 구암3.1로 137 이마트 (경암동),군산시보건소,전라북도 군산시 구암3.1로 137 이마트 (경암동),1층 고객만족센터
151,현대메트로타워2차아파트,전라북도 군산시 구암3.1로 30,군산시보건소,전라북도 군산시 구암3.1로 30,관리동 1층
152,김향화,"전라북도 군산시 군산창2길 9 602호 (금동, 금강맨션)",군산시보건소,"전라북도 군산시 군산창2길 9 (금동, 금강맨션)",오양호
153,(주)전진통선,"전라북도 군산시 군산창2길 9 602호 (금동, 금강맨션)",군산시보건소,"전라북도 군산시 군산창2길 9 (금동, 금강맨션)",제11전진호
154,김향화,"전라북도 군산시 군산창2길 9 602호 (금동, 금강맨션)",군산시보건소,"전라북도 군산시 군산창2길 9 (금동, 금강맨션)",전진101호
155,(유)제일준설,전라북도 군산시 군산창길 20 104호 (금동),군산시보건소,전라북도 군산시 군산창길 20 (금동),준설에이-4호
156,군산구암휴먼시아,전라북도 군산시 궁멀길 55-8,군산시보건소,전라북도 군산시 궁멀길 55-8,104동 1층 현관
157,디오션시티푸르지오,"전라북도 군산시 궁포2로 20 (조촌동, 군산 디오션시티 푸르지오)",군산시보건소,전라북도 군산시 궁포2로 20 (조촌동),관리사무실
158,디오션시티푸르지오,"전라북도 군산시 궁포2로 20 (조촌동, 군산 디오션시티 푸르지오)",군산시보건소,전라북도 군산시 궁포2로 20 (조촌동),관리사무실
159,디오션시티푸르지오,"전라북도 군산시 궁포2로 20 (조촌동, 군산 디오션시티 푸르지오)",군산시보건소,전라북도 군산시 궁포2로 20 (조촌동),관리사무실
160,e편한세상디오션시티1차,"전라북도 군산시 궁포2로 25 (조촌동, e편한세상 디오션시티)",군산시보건소,"전라북도 군산시 궁포2로 25 (조촌동, e편한세상 디오션시티)",1차 후문경비실
161,e편한세상디오션시티1차,"전라북도 군산시 궁포2로 25 (조촌동, e편한세상 디오션시티)",군산시보건소,"전라북도 군산시 궁포2로 25 (조촌동, e편한세상 디오션시티)",1차 정문경비실
162,나운삼성아파트,"전라북도 군산시 나운3길 9 (나운동, 삼성아파트)",군산시보건소,"전라북도 군산시 나운3길 9 (나운동, 삼성아파트)",정문 경비실 내
163,군산시보건소,전라북도 군산시 나운동 153-10,군산시보건소,전라북도 군산시 수송동로 58,군산시보건소 이동진료차
164,나운현대2차아파트,전라북도 군산시 나운로 39,군산시보건소,전라북도 군산시 나운로 39,204동 6라인
165,나운4차현대아파트,전라북도 군산시 나운안1길 24,군산시보건소,전라북도 군산시 나운안1길 24,405동 경비실
166,태경산업(주)군산(서울)휴게소,"전라북도 군산시 나포면 서해안고속도로 148, 군산휴게소",군산시보건소,"전라북도 군산시 나포면 서해안고속도로 148, 군산휴게소",휴게소 매장 내 중앙계산대 맞은편
167,군산시보건소,전라북도 군산시 나포면 옥곤리 452,군산시보건소,전라북도 군산시 회현면 대정리 23,회현면보건지소 대기실
168,군산시보건소,전라북도 군산시 나포면 옥곤리 452,군산시보건소,전라북도 군산시 성산면 동군산로 36,성산면보건지소 대기실
169,군산시보건소,전라북도 군산시 나포면 옥곤리 452,군산시보건소,전라북도 군산시 서수면 항쟁로 237,서수면보건지소 대기실
