번호,상세 위치,설치 위치,도로명주소,위도,경도,전화번호,latitude,longitude
49,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
50,롯데글로벌로지스,,충청북도 진천군 초평면 은암산단로 246,,,070-7176-7408,36.79236119,127.5305204
51,토우건설,,"충청북도 진천군 문백면 농다리로 310, 진천 메가폴리스 일반산업단지 조성사업장",,,043-854-4147,36.78097306,127.4694801
52,용덕보건진료소,,"충청북도 진천군 백곡면 용진길 93, 용덕보건진료소",,,043-539-7496,36.90057959,127.3638166
53,(주)풍림푸드,,충청북도 진천군 이월면 궁동길 51-21,,,043-530-4312,36.90242175,127.4343776
54,혁신도시센텀클래스아파트,,충청북도 진천군 덕산읍 연미로 63 (충북혁신도시센텀클래스),,,043-537-1326,36.90207242,127.5267598
55,진천군보건소,,"충청북도 진천군 진천읍 중앙북1길 11-8, 진천군보건소",,,043-539-7771,36.86061054,127.4396598
56,진천군보건소,,"충청북도 진천군 진천읍 중앙북1길 11-8, 진천군보건소",,,043-539-7771,36.86061054,127.4396598
57,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
58,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
59,생거진천종합사회복지관,,"충청북도 진천군 진천읍 중앙북1길 11-10, 생거진천종합사회복지관",,,043-539-3387,36.86106948,127.4394347
60,신월보건진료소,,충청북도 진천군 이월면 신정길 55,,,043-539-7497,36.92551055,127.4669547
61,(주)면사랑,,"충청북도 진천군 이월면 궁동길 51-24, (주)면사랑",,,043-531-8251,36.90199233,127.4324901
62,선옥보건진료소,,"충청북도 진천군 덕산읍 기전2길 7, 선옥보건진료소",,,043-539-7492,36.89419177,127.5314357
63,사양보건진료소,,"충청북도 진천군 문백면 농다리로 1215, 사양보건진료소",,,043-539-7495,36.83653754,127.4738974
64,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
65,오갑보건진료소,,"충청북도 진천군 초평면 영주원1길 22-12, 오갑보건진료소",,,043-539-7493,36.86068891,127.5116745
66,생거진천종합사회복지관,,"충청북도 진천군 진천읍 중앙북1길 11-10, 생거진천종합사회복지관",,,043-539-3387,36.86106948,127.4394347
67,문백보건지소(민원실),,"충청북도 진천군 문백면 옥성1길 21, 문백면행정복지센터",,,043-539-7450,36.78443443,127.4372442
68,용산보건진료소,,"충청북도 진천군 초평면 원댕이길 10, 용산보건진료소",,,043-838-3001,36.78087213,127.5366451
69,충북체육중학교,,"충청북도 진천군 문백면 도하3길 120, 충북체육중학교",,,043-534-8421,36.76308637,127.4347297
70,진천중앙시장,,충청북도 진천군 진천읍 중앙동6길 18-17,,,043-533-8966,36.85781271,127.4425293
71,의료법인진천의료재단진천효병원,,"충청북도 진천군 이월면 반지길 54, 진천효병원",,,043-537-0035,36.88513705,127.4374642
72,의료법인진천의료재단진천효병원,,"충청북도 진천군 이월면 반지길 54, 진천효병원",,,043-537-0035,36.88513705,127.4374642
73,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
74,의료법인노은의료재단도은병원,,"충청북도 진천군 문백면 문진로 88-56, 도은병원",,,043-930-2000,36.75851222,127.4484767
75,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
76,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
77,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
78,의료법인노은의료재단도은병원,,"충청북도 진천군 문백면 문진로 88-56, 도은병원",,,043-930-2000,36.75851222,127.4484767
79,의료법인노은의료재단도은병원,,"충청북도 진천군 문백면 문진로 88-56, 도은병원",,,043-930-2000,36.75851222,127.4484767
80,의료법인가은의료재단혁신성모병원,,"충청북도 진천군 덕산읍 자안로 9, 삼영프라자 2층",,,043-533-1000,36.90415877,127.5345921
81,의료법인건명의료재단중앙제일병원,,"충청북도 진천군 진천읍 중앙북로 36, 진천성모병원",,,043-533-1711,36.85844453,127.4405234
82,의료법인노은의료재단도은병원,,"충청북도 진천군 문백면 문진로 88-56, 도은병원",,,043-930-2000,36.75851222,127.4484767
83,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
84,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
85,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
86,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
87,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
88,진천장관2차부영아파트관리소,,충청북도 진천군 진천읍 진광로 97-13 장관사랑으로부영2차아파트,,,043-533-9733,36.87368517,127.4397775
89,진천장관부영1차아파트,,충청북도 진천군 진천읍 장관2길 139 부영1차아파트,,,043-533-1047,36.87186216,127.4379986
90,진천군청산림녹지과,,"충청북도 진천군 진천읍 문진로 1433, 진천군 산림녹지과",,,043-539-3576,36.85439954,127.4298571
91,진천종합스포츠타운,,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",,,043-531-1930,36.84193782,127.4444313
92,한국야금,,"충청북도 진천군 광혜원면 광혜원산단2길 54, 한국야금(주)",,,043-535-0141,36.98285723,127.4375057
93,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
94,한솔테크닉스,,"충청북도 진천군 덕산읍 한삼로 55, 한솔테크닉스",,,043-530-8890,36.91707388,127.5030141
95,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
96,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
97,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
98,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
99,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
100,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
101,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
102,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
103,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
104,현대모비스진천공장,,"충청북도 진천군 문백면 사양2길 95, 현대모비스",,,043-539-9111,36.84190677,127.4623565
105,한솔테크닉스,,"충청북도 진천군 덕산읍 한삼로 55, 한솔테크닉스",,,043-530-8890,36.91707388,127.5030141
106,충북체육고등학교,,"충청북도 진천군 문백면 도하3길 120, 충북체육고등학교",,,043-531-8019,36.76308637,127.4347297
107,충북체육고등학교,,"충청북도 진천군 문백면 도하3길 120, 충북체육고등학교",,,043-531-8019,36.76308637,127.4347297
108,충북체육고등학교,,"충청북도 진천군 문백면 도하3길 120, 충북체육고등학교",,,043-531-8019,36.76308637,127.4347297
109,체육진흥지원단,,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",,,043-539-7697,36.84193782,127.4444313
110,진천군청산림녹지과,,"충청북도 진천군 진천읍 문진로 1433, 진천군 산림녹지과",,,043-539-3576,36.85439954,127.4298571
111,치유의숲,,"충청북도 진천군 이월면 송림2길 81-200, 치유의 숲",,,043-539-4386,36.92902568,127.4033762
112,치유의숲,,"충청북도 진천군 이월면 송림2길 81-200, 치유의 숲",,,043-539-4386,36.92902568,127.4033762
113,체리부로,,"충청북도 진천군 이월면 생거진천로 1770, 체리부로",,,043-530-3272,36.89989253,127.4494113
114,한국국토정보공사진천지사,,"충청북도 진천군 진천읍 문화로 163, 한국국토정보공사",,,043-753-4900,36.85558557,127.4340692
115,(주)오토닉스,,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",,,043-539-6700,36.91729899,127.5005158
116,(주)오토닉스,,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",,,043-539-6700,36.91729899,127.5005158
117,(주)선일다이파스,,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",,,043-530-1700,36.97987914,127.4376119
118,(주)현대에버다임,,"충청북도 진천군 진천읍 부영길 49, 에버다임",,,043-530-3372,36.8747572,127.4367473
119,씨제이제일제당(주)진천공장,,"충청북도 진천군 광혜원면 광혜원산단2길 112, CJ제일제당",,,043-531-1119,36.9884113,127.4371845
120,(주)선일다이파스,,"충청북도 진천군 광혜원면 광혜원산단2길 14, 선일다이파스 2공장",,,043-530-1700,36.97987914,127.4376119
121,(주)오토닉스,,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",,,043-539-6700,36.91729899,127.5005158
122,(주)오토닉스,,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",,,043-539-6700,36.91729899,127.5005158
123,(주)오토닉스,,"충청북도 진천군 덕산읍 한삼로 69-23, (주)오토닉스",,,043-539-6700,36.91729899,127.5005158
124,리슈빌 아파트 관리사무소,,충청북도 진천군 덕산면 연미로 128 (충북혁신리슈빌아파트),,,043-532-8873,36.90597483,127.5312152
125,진천광혜원LH2단지아파트,,"충청북도 진천군 광혜원면 화랑길 29, 관리사무소",,,043-537-8788,36.99440748,127.4407035
126,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
127,진천광혜원LH2단지아파트,,"충청북도 진천군 광혜원면 화랑길 29, 관리사무소",,,043-537-8788,36.99440748,127.4407035
128,(주)면사랑,,"충청북도 진천군 이월면 궁동길 51-24, (주)면사랑",,,043-531-8251,36.90199233,127.4324901
129,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
130,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
131,BGF로지스진천센터,,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일 중앙물류센터",,,043-753-8200,36.89950502,127.4831949
132,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
133,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
134,BGF로지스진천센터,,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일 중앙물류센터",,,043-753-8200,36.89950502,127.4831949
135,BGF로지스진천센터,,"충청북도 진천군 덕산읍 산수산단3로 66, BGF리테일 중앙물류센터",,,043-753-8200,36.89950502,127.4831949
136,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
137,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
138,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
139,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
140,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
141,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
142,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
143,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
144,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
145,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
146,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
147,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
148,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
149,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
150,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
151,씨제이 제일제당(진천점),,"충청북도 진천군 진천읍 씨제이로 110, CJ제일제당(주)",,,043-531-0599,36.87832542,127.4608062
152,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
153,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
154,한화큐셀(주)진천사업장,,"충청북도 진천군 이월면 산수산단2로 202, 한화큐셀 진천사업장",,,043-531-7272,36.90511747,127.4777757
155,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
156,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
157,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
158,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
159,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
160,진천체력인증센터,,"충청북도 진천군 초평면 용정길 6, 초평생활체육공원",,,043-534-5689,36.84381205,127.5109162
161,진천종합스포츠타운,,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",,,043-531-1930,36.84193782,127.4444313
162,신정주공아파트(관리사무실 내),,충청북도 진천군 진천읍 문화2길 14 진천신정주공아파트 관리사무실,,,043-537-0450,36.85191008,127.4468152
163,덕산건강생활지원센터,,"충청북도 진천군 덕산읍 연미로 31, 건강생활지원센터",,,043-539-7422,36.89951531,127.5286264
164,체육진흥지원단,,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",,,043-539-7697,36.84193782,127.4444313
165,진천경찰서,,"충청북도 진천군 진천읍 덕금로 165, 진천경찰서",,,043-531-5352,36.8717272,127.465468
166,진천성석행복주택관리사무소,,충청북도 진천군 진천읍 문화로 394 (진천성석 행복주택),,,043-537-8340,36.85885693,127.4519796
167,체육진흥지원단,,"충청북도 진천군 진천읍 원덕로 166, 진천종합스포츠타운",,,043-539-7697,36.84193782,127.4444313
168,혁신도시센텀클래스아파트,,충청북도 진천군 덕산읍 연미로 63 (충북혁신도시센텀클래스),,,043-537-1326,36.90207242,127.5267598
169,혁신도시센텀클래스아파트,,충청북도 진천군 덕산읍 연미로 63 (충북혁신도시센텀클래스),,,043-537-1326,36.90207242,127.5267598
170,진천군종합운동장(의무실 안),,충청북도 진천군 진천읍 문화로69-11,,,043-539-7693,36.84826546,127.4411069
171,진천군청소년수련원,,"충청북도 진천군 초평면 평화로 403-132, 청소년수련원",,,043-539-3813,36.82986553,127.5041329
172,천년나무4단지아파트,,충청북도 진천군 덕산면 연미로 87 관리사무소,,,043-536-0013,36.90408296,127.5280309
173,진천군청소년수련원,,"충청북도 진천군 초평면 평화로 403-132, 청소년수련원",,,043-539-3813,36.82986553,127.5041329
174,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
175,천년나무4단지아파트,,충청북도 진천군 덕산면 연미로 87 관리사무소,,,043-536-0013,36.90408296,127.5280309
176,우미린스테이아파트,,충청북도 진천군 덕산면 대하로 150 (뉴스테이 우미린 아파트),,,043-537-8830,36.90371588,127.5365722
177,(주)풍림푸드,,충청북도 진천군 이월면 궁동길 51-21,,,043-530-4312,36.90242175,127.4343776
178,건영아모리움양우내안애아파트,,충청북도 진천군 덕산읍 대하로 114 (아모리움 내안애),,,043-535-8009,36.90137518,127.5336793
179,모아엘가 더 테라스 아파트,,충청북도 진천군 덕산면 대월로 127 관리사무소 (모아엘가 더 테라스),,,043-533-9401,36.90451579,127.5430156
180,진천화랑관,,충청북도 진천군 진천읍 문화로 69-4,,,043-539-7694,36.84955096,127.4401378
181,진천군 치매안심센터,,"충청북도 진천군 덕산읍 연미로 29, 진천군 치매안심센터",,,043-539-8782,36.89921785,127.5288313
182,만뢰산자연생태공원,,충청북도 진천군 진천읍 김유신길 340-38,,,043-539-3448,36.84991493,127.3657207
183,생거진천 자연휴양림,,충청북도 진천군 백곡면 명암길 435-135 (생거진천자연휴양림),,,043-539-3553,36.92399609,127.3902346
184,진천참숯테마공원,,충청북도 진천군 백곡면 백곡로 966,,,043-539-3734,36.87975646,127.3822239
185,진천종합버스터미널,,충청북도 진천군 진천읍 중앙북1길 3,,,043-534-5165,36.85962807,127.4384158
186,진천종박물관,,충청북도 진천군 진천읍 백곡로 1504-12,,,043-539-3642,36.87002892,127.4131749
187,진천군립도서관,,충청북도 진천군 진천읍 포석길 37-6,,,043-539-7717,36.85654242,127.4385437
188,진천교성주공아파트,,충청북도 진천군 진천읍 중앙서로 89 진천교성주공아파트,,,043-534-4621,36.85148864,127.4413876
189,진천영무예다음1차아파트,,충청북도 진천군 덕산면 대하로 87 영무예다음1차아파트,,,043-537-8017,36.90234832,127.5304277
190,영무예다음2차아파트,,충청북도 진천군 덕산면 대하로 195 영무예다음2차아파트,,,043-533-0371,36.90641306,127.5396852
191,천년나무7단지아파트,,충청북도 진천군 덕산면 연미로 131 천년나무7단지아파트,,,043-532-2663,36.90586012,127.5297005
192,충청북도진천교육지원청,,충청북도 진천군 진천읍 상산로 48,,,043-530-5355,36.85431725,127.439278
193,벽암휴먼시아,,충청북도 진천군 진천읍 문화로 237-19 진천벽암휴먼시아,,,043-535-5810,36.86099416,127.4373804
194,신정주공아파트(관리사무실 내),,충청북도 진천군 진천읍 문화2길 14 진천신정주공아파트 관리사무실,,,043-537-0450,36.85191008,127.4468152
195,덕산주공아파트(관리사무실),,충청북도 진천군 덕산면 용몽1길 11 진천덕산주공아파트 관리사무실,,,043-537-1052,36.91254224,127.5106595
196,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
197,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
198,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
199,진천소방서,,충청북도 진천군 진광로 93 (진천읍),,,043-539-8154,36.87266746,127.4411419
200,진천군보건소,,"충청북도 진천군 진천읍 중앙북1길 11-8, 진천군보건소",,,043-539-7771,36.86061054,127.4396598
201,진천군종합운동장(의무실 안),,충청북도 진천군 진천읍 문화로69-11,,,043-539-7693,36.84826546,127.4411069
202,진천군청(현관),,"충청북도 진천군 진천읍 상산로 13, 진천군청",,,043-539-3315,36.85489255,127.4357642
203,진천읍사무소(민원실),,"충청북도 진천군 진천읍 상산로 65, 진천읍행정복지센터",,,043-539-8303,36.85498297,127.4412737
204,체육관 로비,정선종합경기장 실내체육관,정선읍 애산로 60,37.377055,128.674682,033-560-3443,37.37705836,128.6747444
205,로비 입구,정선종합경기장 주경기장,정선읍 애산로 60,37.575941,128.676762,033-560-3433,37.37705836,128.6747444
206,1층 로비,정선골프연습장,정선읍 애산로 60,37.374524,128.676093,033-560-3495,37.37705836,128.6747444
207,로비,정선국민체육센터,정선읍 녹송4길 51,37.384372,128.67295,033-560-3440,37.38442757,128.6721775
208,화암약수 야영장,화암약수,화암면 화암약수길1330,37.328051,128.785322,033-560-3412,37.3292434,128.7858269
209,알파인플라자 1층,가리왕산케이블카,북평면 중봉길 41-35,37.474113,128.609818,033-560-3486,37.47420241,128.6097272
210,숙암역,가리왕산케이블카,북평면 중봉길 41-35,37.473677,128.610233,033-560-3486,37.47420241,128.6097272
211,가리왕산역,가리왕산케이블카,북평면 중봉길 41-35,37.444691,128.597875,033-560-3486,37.47420241,128.6097272
212,관리사무실,회동솔향캠핑장,정선읍 가리왕산로 670-6,37.412048,128.585583,033-560-3453,,
213,화암동굴 출구,화암동굴,화암면 화암동굴길 50,37.350752,128.791367,033-560-3430,,
214,화암공원,화암동굴,화암면 화암동굴길50,37.352449,128.790535,033-560-3427,,
