보유기관지역코드,담당부서명,담당자전화번호,대피장소내용,대피가능인원수,대피장소응급시설내용,최초등록일시,최초등록자아이디,최종수정일시,최종수정자아이디,비고,연번,대피소주소,대피장소순번
3000000,도시녹지과,02-2148-2855,종로노인종합복지관,109,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,15,종로구 율곡로19길 17-8,15
3000000,도시녹지과,02-2148-2855,혜화동자치회관,78,임시 구호 세트,2023-06-14,master,2023-06-14,master,북한산,16,종로구 혜화로 12,16
3000000,도시녹지과,02-2148-2855,서울과학고등학교,184,임시 구호 세트,2023-06-14,master,2023-06-14,master,북악산,17,종로구 혜화로 63,17
3000000,도시녹지과,02-2148-2855,종로구민회관,289,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,18,종로구 지봉로5길 7-5,18
3000000,도시녹지과,02-2148-2855,창신제3동주민센터,39,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,19,종로구 지봉로 87,19
3000000,도시녹지과,02-2148-2855,숭인상록경로당,74,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,20,종로구 지봉로 86,20
3000000,도시녹지과,02-2148-2855,숭인제1동주민센터,233,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,21,종로구 지봉로 86,21
3000000,도시녹지과,02-2148-2855,아름꿈도서관,193,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,22,종로구 종로58가길 19,22
3000000,도시녹지과,02-2148-2855,청운효자동자치회관,43,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 인왕산",23,종로구 자하문로19길 36,23
3000000,도시녹지과,02-2148-2855,사직동주민센터,37,임시 구호 세트,2023-06-14,master,2023-06-14,master,인왕산,24,종로구 사직로9길 1,24
3000000,도시녹지과,02-2148-2855,삼청동주민센터,46,임시 구호 세트,2023-06-14,master,2023-06-14,master,북악산,25,종로구 삼청로 107,25
3000000,도시녹지과,02-2148-2855,부암동주민센터,156,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 인왕산",26,종로구 창의문로 145,26
3000000,도시녹지과,02-2148-2855,세검정초등학교,136,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북한산, 북악산",27,종로구 세검정로9길 1,27
3000000,도시녹지과,02-2148-2855,서울예술고등학교,148,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북한산, 북악산",28,종로구 평창문화로 70,28
3000000,도시녹지과,02-2148-2855,대신고등학교,1413,임시 구호 세트,2023-06-14,master,2023-06-14,master,"인왕산, 안산",29,종로구 사직로 9,29
3000000,도시녹지과,02-2148-2855,가회동주민센터,40,임시 구호 세트,2023-06-14,master,2023-06-14,master,북악산,30,종로구 북촌로 35,30
3000000,도시녹지과,02-2148-2855,교동초등학교,120,임시 구호 세트,2023-06-14,master,2023-06-14,master,북악산,31,종로구 삼일대로 446,31
3000000,도시녹지과,02-2148-2855,효제초등학교,175,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 낙산",32,종로구 대학로 12,32
3000000,도시녹지과,02-2148-2855,서울복음교회,65,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,33,종로구 율곡로 264,33
3000000,도시녹지과,02-2148-2855,이화동주민센터,84,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,34,종로구 이화장길 33,34
3000000,도시녹지과,02-2148-2855,서울사대부설여중,78,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 낙산",35,종로구 대학로 64,35
3000000,도시녹지과,02-2148-2855,올림픽기념국민생활관,349,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 성북근린공원",36,종로구 성균관로 91,36
3000000,도시녹지과,02-2148-2855,혜화초등학교,450,임시 구호 세트,2023-06-14,master,2023-06-14,master,"북악산, 낙산",37,종로구 혜화로 32,37
3000000,도시녹지과,02-2148-2855,창신제1동주민센터,60,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,38,종로구 지봉로 8-6,38
3000000,도시녹지과,02-2148-2855,창신초등학교,200,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,39,종로구 지봉로 73,39
3000000,도시녹지과,02-2148-2855,창신제2동주민센터,53,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,40,종로구 창신길 62,40
3000000,도시녹지과,02-2148-2855,창신제일교회,50,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,41,종로구 창신7길 7,41
3000000,도시녹지과,02-2148-2855,서일국제경영고등학교,153,임시 구호 세트,2023-06-14,master,2023-06-14,master,낙산,42,종로구 지봉로17길 49,42
3000000,도시녹지과,02-2148-2855,숭인제2동주민센터,77,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,43,종로구 종로65길 10,43
3000000,도시녹지과,02-2148-2855,도담도담도서관,32,임시 구호 세트,2023-06-14,master,2023-06-14,master,숭인근린공원,44,종로구 숭인동길 43,44
3010000,공원녹지과,02-3396-5872,약수교회,150,구급함,2023-06-14,master,2023-06-14,master,응봉근린공원,45,중구 다산로8길 32 ,45
3020000,공원녹지과,02-2199-7623,한남초등학교,1497,"임시 구호 세트, 응급구호함, AED",2023-06-14,master,2023-06-14,master,매봉산,46,용산구 한남대로 112,46
3030000,공원녹지과,02-2286-5672,옥수동주민센터,50,무,2023-06-14,master,2023-06-14,master,매봉산,47,성동구 독서당로 203,47
3030000,공원녹지과,02-2286-5672,응봉초등학교,672,무,2023-06-14,master,2023-06-14,master,응봉산,48,성동구 독서당로62길 28,48
3030000,공원녹지과,02-2286-5672,응봉동주민센터,312,무,2023-06-14,master,2023-06-14,master,대현산,49,성동구 독서당로 424 ,49
3040000,공원녹지과,02-450-7791,중곡4동주민센터,200,"심폐소생기(1대), 구급함",2023-06-14,master,2023-06-14,master,아차산,50,광진구 긴고랑로 131,50
3040000,공원녹지과,02-450-7791,동의초등학교,150,구급함,2023-06-14,master,2023-06-14,master,아차산,51,광진구 영화사로 111 ,51
3040000,공원녹지과,02-450-7791,중곡문화체육센터,80,"심폐소생기(2대), 구급함",2023-06-14,master,2023-06-14,master,아차산,52,광진구 능동로 433,52
3050000,공원녹지과,02-2127-4609,휘경중학교,30,구급함,2023-06-14,master,2023-06-14,master,배봉산,53,동대문구 망우로18나길 20,53
3060000,공원녹지과,02-2094-2396,면일초등학교,300,"구급함 5, 자동심장충격기 1",2023-06-14,master,2023-06-14,master,용마산,54,중랑구 용마산로100길 13,54
3060000,공원녹지과,02-2094-2396,중곡초등학교,580,제세동기 등 비치,2023-06-14,master,2023-06-14,master,용마산,55,중랑구 면목로23길 20,55
3060000,공원녹지과,02-2094-2396,면남초등학교,140,"구급함 1, 제세동기 1",2023-06-14,master,2023-06-14,master,용마산,56,중랑구 면목로30나길 38,56
3060000,공원녹지과,02-2094-2396,봉화 중학교,270,무,2023-06-14,master,2023-06-14,master,망우산,57,중랑구 망우로70길 89,57
3060000,공원녹지과,02-2094-2396,망우초등학교,330,무,2023-06-14,master,2023-06-14,master,망우산,58,중랑구 망우로72길 49,58
3060000,공원녹지과,02-2094-2396,면중초등학교,300,"구급함 5, 심폐측정기 1",2023-06-14,master,2023-06-14,master,용마산,59,중랑구 용마산로70길 43,59
3060000,공원녹지과,02-2094-2396,동원중학교,234,무,2023-06-14,master,2023-06-14,master,망우산,60,중랑구 양원역로 32,60
3060000,공원녹지과,02-2094-2396,신현중학교,143,무,2023-06-14,master,2023-06-14,master,봉화산,61,중랑구 봉화산로 162 ,61
3060000,공원녹지과,02-2094-2396,신현고등학교,141,무,2023-06-14,master,2023-06-14,master,봉화산,62,중랑구 봉화산로 174,62
3060000,공원녹지과,02-2094-2396,상봉초등학교,202,무,2023-06-14,master,2023-06-14,master,봉화산,63,중랑구 동일로 126가길 11,63
3060000,공원녹지과,02-2094-2396,상봉중학교,162,무,2023-06-14,master,2023-06-14,master,봉화산,64,중랑구 상봉중앙로8나길 28,64
3060000,공원녹지과,02-2094-2396,중랑중학교 체육관,500,"AED,응급가방키트, 들것, 휠체어, 암부백",2023-06-14,master,2023-06-14,master,봉화산,65,중랑구 동일로140길 33,65
3070000,공원녹지과,2241-3703,숭인초등학교,522,무,2023-06-14,master,2023-06-14,master,월곡산(오동공원),66,성북구 오패산로16길 37,66
3070000,공원녹지과,2241-3703,성북초등학교,949,무,2023-06-14,master,2023-06-14,master,"북악산, 와룡공원",67,성북구 성북로 102-10,67
3070000,공원녹지과,2241-3703,정수초등학교,646,무,2023-06-14,master,2023-06-14,master,북한산,68,성북구 정릉로 24길58,68
3080000,공원녹지과,02-901-6932,미양초등학교,648,"응급구호함, AED",2023-06-14,master,2023-06-14,master,북한산,69,강북구 솔샘로 195(미아동),69
3080000,공원녹지과,02-901-6932,우이초등학교,452,"응급구호함, AED",2023-06-14,master,2023-06-14,master,북한산,70,강북구 삼양로99길 36,70
3080000,공원녹지과,02-901-6932,강북청소년수련관,229,"응급구호함, AED",2023-06-14,master,2023-06-14,master,북한산,71,강북구 4.19로 74,71
3080000,공원녹지과,02-901-6932,우이제일교회,206,"응급구호함, AED",2023-06-14,master,2023-06-14,master,북한산,72,강북구 삼양로163길 74,72
3080000,공원녹지과,02-901-6932,서울유현초등학교,100,"응급구호함, AED",2023-06-14,master,2023-06-14,master,북한산,73,강북구 인수봉로37길 24,73
3080000,공원녹지과,02-901-6932,인수초등학교,235,"응급구호함, AED",2023-06-14,master,2023-06-14,master,북한산,74,강북구 인수봉로 269,74
3080000,공원녹지과,02-901-6932,번동중학교,325,"응급구호함, AED",2023-06-14,master,2023-06-14,master,오패산,75,강북구 오현로 35길 87,75
3080000,공원녹지과,02-901-6932,번동초등학교,1982,"응급구호함, AED",2023-06-14,master,2023-06-14,master,오패산,76,강북구 오현로 204,76
3090000,공원여가과,02-2091-3763,방아골종합사회복지관(2층 강당),30,"자동심장충격기, 상비약",2023-06-14,master,2023-06-14,master,북한산,77,도봉구 시루봉로17길 42,77
3090000,공원여가과,02-2091-3763,안골경로당,30,상비약,2023-06-14,master,2023-06-14,master,북한산,78,도봉구 도봉로191길 88,78
3090000,공원여가과,02-2091-3763,도봉초등학교(2층 체육관),100,"자동심장충격기, 상비약",2023-06-14,master,2023-06-14,master,북한산,79,도봉구 도봉로173길 96,79
3090000,공원여가과,02-2091-3763,오봉초등학교(강당),100,"자동심장충격기, 상비약",2023-06-14,master,2023-06-14,master,북한산,80,도봉구 시루봉로 285,80
3090000,공원여가과,02-2091-3763,초당초등학교(강당),100,"자동심장충격기, 상비약",2023-06-14,master,2023-06-14,master,북한산,81,도봉구 해등로32길 11,81
3090000,공원여가과,02-2091-3763,숭미초등학교,100,상비약,2023-06-14,master,2023-06-14,master,쌍문근린공원,82,도봉구 노해로 179,82
3100000,푸른도시과,02-2116-3931,"상계3,4동 주민센터",50,응급구호함,2023-06-14,master,2023-06-14,master,"수락산, 불암산",83,노원구 덕릉로 859,83
3100000,푸른도시과,02-2116-3931,월계2동 주민센터,50,응급구호함,2023-06-14,master,2023-06-14,master,"초안산, 영축산",84,노원구 초안산로5길 28,84
3100000,푸른도시과,02-2116-3931,서울신상계초등학교,50,응급구호함,2023-06-14,master,2023-06-14,master,"수락산, 불암산",85,노원구 상계로 267,85
3100000,푸른도시과,02-2116-3931,계상초등학교,50,응급구호함,2023-06-14,master,2023-06-14,master,수락산,86,노원구 한글비석로41가길 24,86
3100000,푸른도시과,02-2116-3931,상계5동 주민센터,50,응급구호함,2023-06-14,master,2023-06-14,master,수락산,87,노원구 한글비석로 434,87
3100000,푸른도시과,02-2116-3931,서울온곡초등학교,50,응급구호함,2023-06-14,master,2023-06-14,master,수락산,88,노원구 한글비석로52길 59,88
3110000,공원녹지과,02-351-8023,은평통일로스포츠센터,200,"AED, 구급약, 응급구호키트",2023-06-14,master,2023-06-14,master,물푸레근린공원,89,은평구 통일로 1045,89
3110000,공원녹지과,02-351-8023,신도고등학교,260,"AED, 구급약, 응급구호키트",2023-06-14,master,2023-06-14,master,물푸레근린공원,90,은평구 통일로 961,90
3110000,공원녹지과,02-351-8023,불광중학교,250,"AED, 구급약, 응급구호키트",2023-06-14,master,2023-06-14,master,북한산,91,은평구 불광로 180,91
3110000,공원녹지과,02-351-8023,은평초등학교,200,"AED, 구급약, 응급구호키트",2023-06-14,master,2023-06-14,master,백련산,92,은평구 은평로 239,92
3120000,푸른도시과,02-330-8733,홍제초등학교(강당),200,"AED, 구급약",2023-06-14,master,2023-06-14,master,북한산,93,서대문구 홍은중앙로 13,93
3120000,푸른도시과,02-330-8733,대신초등학교(체육관),100,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산:봉원사뒤,94,서대문구 이화여대2길 27,94
3120000,푸른도시과,02-330-8733,한성과학고등학교(체육관),600,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산:독립문파크빌,95,서대문구 통일로 279-79,95
3120000,푸른도시과,02-330-8733,홍은초등학교(강당),200,"AED, 구급약",2023-06-14,master,2023-06-14,master,북한산,96,서대문구 세검정로 105,96
3120000,푸른도시과,02-330-8733,고은초등학교(강당),90,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산:모랫재어린이공원,97,서대문구 모래내로 441,97
3120000,푸른도시과,02-330-8733,홍연초등학교(강당),200,"AED, 구급약",2023-06-14,master,2023-06-14,master,백련산:한국회관,98,서대문구 백련사길 55 ,98
3120000,푸른도시과,02-330-8733,감리교신학대학교(운동장),700,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산:복수천약수터,99,서대문구 독립문로 56,99
3120000,푸른도시과,02-330-8733,연북중학교(강당),350,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산:군부대진지 인근,100,서대문구 연희로36길 32,100
3120000,푸른도시과,02-330-8733,신연중학교(체육관),300,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산,101,서대문구 모래내로 408,101
3120000,푸른도시과,02-330-8733,서연중학교(운동장),500,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산,102,서대문구 연희로11마길 9-6,102
3120000,푸른도시과,02-330-8733,연세대학교,100,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산:숲속무대 인근,103,서대문구 연세로 50 ,103
3120000,푸른도시과,02-330-8733,안산초등학교(강당),300,"AED, 구급약",2023-06-14,master,2023-06-14,master,안산,104,서대문구 통일로 321,104
3120000,푸른도시과,02-330-8733,명지전문대학교(운동장),350,"AED, 구급약",2023-06-14,master,2023-06-14,master,백련산:백련사입구,105,서대문구 가좌로 134,105
3120000,푸른도시과,02-330-8733,명지고등학교(다목적관),800,"AED, 구급약",2023-06-14,master,2023-06-14,master,백련산:10번 마을버스 종점,106,서대문구 명지2길 56,106
3120000,푸른도시과,02-330-8733,정원여자중학교(체육관),250,"AED, 구급약",2023-06-14,master,2023-06-14,master,백련산:정원단지상부,107,서대문구 연희로37안길 51 ,107
3120000,푸른도시과,02-330-8733,명지중학교(다목적관),800,"AED, 구급약",2023-06-14,master,2023-06-14,master,백련산(백련사뒤),108,서대문구 명지2길 56,108
3120000,푸른도시과,02-330-8733,홍은중학교(강당),200,"AED, 구급약",2023-06-14,master,2023-06-14,master,인왕산:쌈지공원,109,서대문구 연희로41길 94,109
3120000,푸른도시과,02-330-8733,인왕중학교(강당),200,"AED, 구급약",2023-06-14,master,2023-06-14,master,인왕산:환희사입구,110,서대문구 세검정로4길 69,110
3130000,공원녹지과,02-3153-9592,성산1동주민센터,30,심폐소생기 1대 구급함 1개,2023-06-14,master,2023-06-14,master,성미산,111,마포구 성산로4길 15,111
3130000,공원녹지과,02-3153-9592,상암동주민센터,100,심폐소생기 1대 구급함 1개,2023-06-14,master,2023-06-14,master,"매봉산, 상암산",112,마포구 상암동 1616,112
3140000,공원녹지과,02-2620-3587,목동문화체육센터,1500,"AED, 구급약",2023-06-14,master,2023-06-14,master,달마을공원,113,양천구 목동중앙본로 73,113
3140000,공원녹지과,02-2620-3587,강월초등학교 체육관,250,"AED, 구급약",2023-06-14,master,2023-06-14,master,지양산,114,양천구 신월로 97,114
3140000,공원녹지과,02-2620-3587,신정 숲속마을,600,무,2023-06-14,master,2023-06-14,master,지양산,115,양천구 신정로 110,115
3140000,공원녹지과,02-2620-3587,금옥중학교,200,"AED, 구급약",2023-06-14,master,2023-06-14,master,매봉산,116,양천구 신정로 213,116
3140000,공원녹지과,02-2620-3587,양천중학교,200,"AED, 구급약",2023-06-14,master,2023-06-14,master,지양산,117,양천구 지양로7길 32,117
3140000,공원녹지과,02-2620-3587,양천어르신종합복지관,48,무,2023-06-14,master,2023-06-14,master,"계남근린공원, 갈산",118,양천구 목동로3길 106,118
3140000,공원녹지과,02-2620-3587,월촌초등학교 체육관,207,"AED, 구급약",2023-06-14,master,2023-06-14,master,용왕산,119,양천구 목동중앙로 132,119
3150000,공원녹지과,02-2600-4184,서울등촌초등학교,1038,"심장충격기, 구급함, 간이침대, 휠체어 ",2023-06-14,master,2023-06-14,master,봉제산,120,강서구  등촌로39길 71 (등촌동),120
3150000,공원녹지과,02-2600-4184,개화초등학교,509,"심장충격기, 구급함",2023-06-14,master,2023-06-14,master,개화산,121,강서구 양천로11,121
3160000,공원녹지과,02-860-3094,오류남초등학교,100,유,2023-06-14,master,2023-06-14,master,개웅산,122,구로구 서해안로24길  22,122
3160000,공원녹지과,02-860-3094,개웅중학교(체육관),100,유,2023-06-14,master,2023-06-14,master,개웅산,123,구로구 개봉로11길 81,123
3160000,공원녹지과,02-860-3094,개명초등학교(체육관),100,유,2023-06-14,master,2023-06-14,master,개웅산,124,구로구 개봉로1다길 16-9,124
3160000,공원녹지과,02-860-3094,푸른수목원,20,유,2023-06-14,master,2023-06-14,master,천왕산,125,구로구 연동로 240,125
3160000,공원녹지과,02-860-3094,개봉초등학교,100,유,2023-06-14,master,2023-06-14,master,개웅산,126,구로구 개봉로16길 30-11,126
3170000,공원녹지과,02-2627-1662,하누리주간보호센터,100,유,2023-06-14,master,2023-06-14,master,관악산,127, 금천구 시흥대로2길 57,127
3170000,공원녹지과,02-2627-1662,한울중학교,100,유,2023-06-14,master,2023-06-14,master,관악산,128,금천구 독산로50길 60,128
3170000,공원녹지과,02-2627-1662,탑동초등학교,100,유,2023-06-14,master,2023-06-14,master,관악산,129,금천구 탑골로 47-3 ,129
3170000,공원녹지과,02-2627-1662,신흥초등학교,100,유,2023-06-14,master,2023-06-14,master,관악산,130,금천구 독산로36나길 21,130
3190000,공원녹지과,02-820-1766,본동초등학교,245,유,2023-06-14,master,2023-06-14,master,고구동산,131,동작구 노량진로26길16-40,131
3190000,공원녹지과,02-820-1766,강현중학교,261,유,2023-06-14,master,2023-06-14,master,용마산,132,동작구 상도로13라길 22,132
3190000,공원녹지과,02-820-1766,숭실대학교,327,유,2023-06-14,master,2023-06-14,master,서달산,133,동작구 상도로 369,133
3190000,공원녹지과,02-820-1766,동작중학교,207,유,2023-06-14,master,2023-06-14,master,서달산,134,동작대로39가길 83,134
3190000,공원녹지과,02-820-1766,사당종합체육관,959,유,2023-06-14,master,2023-06-14,master,서달산,135,동작구 사당동 산21-9,135
3190000,공원녹지과,02-820-1766,은로초등학교,213,유,2023-06-14,master,2023-06-14,master,서달산,136,동작구 서달로 115,136
3190000,공원녹지과,02-820-1766,국사봉중학교,348,유,2023-06-14,master,2023-06-14,master,국사봉,137,동작구 양녕로20길 20,137
3190000,공원녹지과,02-820-1766,상도초등학교,261,유,2023-06-14,master,2023-06-14,master,국사봉,138,동작구 성대로21길 62,138
3190000,공원녹지과,02-820-1766,신상도초등학교,203,유,2023-06-14,master,2023-06-14,master,국사봉,139,동작구 장승배기로 14,139
3190000,공원녹지과,02-820-1766,동작고등학교,1246,유,2023-06-14,master,2023-06-14,master,까치산,140,동작구 솔밭로 51,140
3190000,공원녹지과,02-820-1766,남성중학교,456,유,2023-06-14,master,2023-06-14,master,까치산,141,동작구 남부순환로269길 166,141
3200000,공원녹지과,"02-879-6541,6542",관악산관리사무소,50,유,2023-06-14,master,2023-06-14,master,관악산:성주암,142,관악구 신림로 23,142
3200000,공원녹지과,"02-879-6541,6542",대학동주민센터,50,유,2023-06-14,master,2023-06-14,master,"관악산, 청능산",143,관악구 신림로 111,143
3200000,공원녹지과,"02-879-6541,6542",서원동주민센터,50,유,2023-06-14,master,2023-06-14,master,장군봉공원,144,관악구 신림로 282,144
3200000,공원녹지과,"02-879-6541,6542",남현동주민센터,50,유,2023-06-14,master,2023-06-14,master,"남현3길 34, 관악산",145,관악구 남현1가길 29,145
3200000,공원녹지과,"02-879-6541,6542",미성동주민센터,50,유,2023-06-14,master,2023-06-14,master,관악산,146,관악구 난곡로 249,146
3200000,공원녹지과,"02-879-6541,6542",서림동주민센터,50,유,2023-06-14,master,2023-06-14,master,신림중학교 뒤,147,관악구 신림로29길6,147
3200000,공원녹지과,"02-879-6541,6542",난곡동주민센터,50,유,2023-06-14,master,2023-06-14,master,"신림근린공원, 목골산",148,관악구 난곡로30길40,148
3200000,공원녹지과,"02-879-6541,6542",난향동주민센터,50,유,2023-06-14,master,2023-06-14,master,"신림근린공원, 청능산",149,관악구 난곡로67,149
3200000,공원녹지과,"02-879-6541,6542",인헌동주민센터,50,유,2023-06-14,master,2023-06-14,master,"관악산, 까치산",150,관악구 남부순환로246가길 20,150
3200000,공원녹지과,"02-879-6541,6542",낙성대동주민센터,50,유,2023-06-14,master,2023-06-14,master,관악산,151,관악구 낙성대로4가길 5,151
3200000,공원녹지과,"02-879-6541,6542",청룡동주민센터,50,유,2023-06-14,master,2023-06-14,master,장군봉공원,152,관악구 쑥고개로 44,152
3200000,공원녹지과,"02-879-6541,6542",신원동주민센터,50,유,2023-06-14,master,2023-06-14,master,신림근린공원,153,관악구 신원로3길 13,153
3200000,공원녹지과,"02-879-6541,6542",삼성동주민센터,50,유,2023-06-14,master,2023-06-14,master,"신림근린공원, 관악산",154,관악구 호암로 589,154
3200000,공원녹지과,"02-879-6541,6542",보라매동주민센터,50,유,2023-06-14,master,2023-06-14,master,상도근린공원,155,관악구 봉천로 279-8,155
3210000,공원녹지과,02-2155-6870,능안마을경로당,11,무,2023-06-14,master,2023-06-14,master,"구룡산, 인릉산",156,서초구 능안말2길  13,156
3210000,공원녹지과,02-2155-6870,신흥마을경로당,9,구급약,2023-06-14,master,2023-06-14,master,"구룡산, 인릉산",157,서초구 내곡동 1-1125(도로명주소X),157
3210000,공원녹지과,02-2155-6870,홍씨마을경로당,15,무,2023-06-14,master,2023-06-14,master,인릉산,158,서초구 홍씨마을길 25,158
3210000,공원녹지과,02-2155-6870,안골마을경로당,9,구급약,2023-06-14,master,2023-06-14,master,구룡산,159,서초구 내곡동 192-3(도로명주소X),159
3210000,공원녹지과,02-2155-6870,다니엘학교,10,무,2023-06-14,master,2023-06-14,master,헌인릉,160,서초구 헌릉로468길  21-16,160
3210000,공원녹지과,02-2155-6870,언남초등학교,50,무,2023-06-14,master,2023-06-14,master,"인릉산, 안산",161,서초구 헌릉로8길  42,161
3210000,공원녹지과,02-2155-6870,내곡동주민센터,19,무,2023-06-14,master,2023-06-14,master,"구룡산, 안산",162,서초구 염곡말길 9,162
3210000,공원녹지과,02-2155-6870,청룡마을경로당,22,무,2023-06-14,master,2023-06-14,master,인릉산,163,서초구 청룡마을4길  15,163
3210000,공원녹지과,02-2155-6870,방배중학교,239,무,2023-06-14,master,2023-06-14,master,서리풀공원,164,서초구 동광로  144,164
3210000,공원녹지과,02-2155-6870,서울전자고등학교,212,무,2023-06-14,master,2023-06-14,master,우면산,165,서초구 과천대로 852-23,165
3210000,공원녹지과,02-2155-6870,방배3동주민센터,45,무,2023-06-14,master,2023-06-14,master,방배근린공원,166,서초구 방배로10길10-20,166
3210000,공원녹지과,02-2155-6870,동덕여자중고등학교,200,무,2023-06-14,master,2023-06-14,master,방배근린공원,167,서초구 효령로2길  123-5,167
3210000,공원녹지과,02-2155-6870,서울고등학교,98,무,2023-06-14,master,2023-06-14,master,서리풀공원,168,서초구 효령로 197,168
3210000,공원녹지과,02-2155-6870,서울우면초등학교,21,무,2023-06-14,master,2023-06-14,master,우면산,169,서초구 태봉로  59,169
3210000,공원녹지과,02-2155-6870,송동마을 경로당,10,무,2023-06-14,master,2023-06-14,master,우면산,170,서초구 송동길  27,170
3210000,공원녹지과,02-2155-6870,서울우암초등학교,100,무,2023-06-14,master,2023-06-14,master,우면산,171,서초구 바우뫼로7길  38,171
3210000,공원녹지과,02-2155-6870,서울양재초등학교,100,무,2023-06-14,master,2023-06-14,master,말죽거리공원,172,서초구 바우뫼로18길  14,172
3210000,공원녹지과,02-2155-6870,식유촌마을경로당,10,무,2023-06-14,master,2023-06-14,master,우면산,173,서초구 우면동 652-7 (가건물),173
3210000,공원녹지과,02-2155-6870,새원마을경로당,80,무,2023-06-14,master,2023-06-14,master,안산,174,서초구 새원3길 8,174
3220000,세곡동주민센터,02-3423-8682,세곡동주민센터,150,"응급구호함, AED",2023-06-14,master,2023-06-14,master,"대모산, 돌산",175,강남구 밤고개로 286,175
3220000,행정실,02-2226-3716,대모초등학교,300,"응급구호함, AED",2023-06-14,master,2023-06-14,master,대모산,176,강남구 광평로20길 27,176
3220000,행정실,02-6926-2732,언주초등학교,300,"응급구호함, AED",2023-06-14,master,2023-06-14,master,"도곡근린공원, 말죽거리공원",177,강남구 남부순환로363길 19,177
