"본부명","지사명","표준시설코드","시설명","대피소명","소재지","전화번호","수용가능인원"
"경북","영덕.울진","4777010054","도천","봉전1리 마을회관","경상북도 영덕군 남정면 봉전리","054-734-1272","33"
"경북","영덕.울진","4777010054","도천","장사마을회관","경상북도 영덕군 남정면 장사리","","47"
"경북","영덕.울진","4777010054","도천","남정초등학교","경상북도 영덕군 남정면 장사리","054-732-5213","478"
"제주","본부직할","4971010002","수산","애월읍사무소","제주특별자치도 제주시 애월읍 애월리","064-728-8892",""
"제주","본부직할","4971010002","수산","제주도청","제주특별자치도 제주시 연동","064-710-3671",""
"제주","본부직할","4971010002","수산","번대동회관","제주특별자치도 제주시 애월읍 하귀2리","","30"
"제주","본부직할","4971010002","수산","구엄리민회관","제주특별자치도 제주시 애월읍 구엄리","064-713-3130","100"
"전남","영암","4683010001","대동","영암군청","전라남도 영암군 영암읍 동무리","061-470-2619",""
"전남","영암","4683010001","대동","영암군청","전라남도 영암군 영암읍 동무리","061-470-2619",""
"전남","영암","4683010001","대동","재난안전 대책본부","전라남도 영암군","061-470-2519",""
"전남","영암","4683010001","대동","영암고등학교","전라남도 영암군 영암읍 회문리","061-473-2030","1196"
"전남","영암","4683010001","대동","신기노인복지회관","전라남도 영암군 영암읍 송평리","061-471-6622","20"
"전남","영암","4683010001","대동","영암초등학교","전라남도 영암군 영암읍 회문리","061-473-0799","2038"
"전남","영암","4683010196","춘동","미암서초등학교","전라남도 영암군 미암면 호포리","061-472-6562","350"
"전남","영암","4683010196","춘동","영암경찰서","전라남도 영암군 영암읍 서남리","061-470-0261",""
"전남","영암","4683010196","춘동","미암면사무소","전라남도 영암군 미암면 춘동리","061-470-6460",""
"전남","영암","4683010196","춘동","미암초등학교","전라남도 영암군 미암면 선황리","061-472-9590","629"
"전남","영암","4683010196","춘동","미암면사무소","전라남도 영암군 미암면 춘동리","061-470-6453",""
"전남","영암","4683010130","성양","영암군청","전라남도 영암군 영암읍 동무리","061-470-2619",""
"전남","영암","4683010130","성양","구림중학교","전라남도 영암군 군서면 모정리","061-472-9014","425"
"전남","영암","4683010130","성양","구림공업고등학교","전라남도 영암군 군서면 양장리","061-471-6311","962"
"전남","영암","4683010130","성양","구림초등학교","전라남도 영암군 군서면 동호리","061-472-0017","300"
"전남","영암","4683010004","사자","영암군청","전라남도 영암군 영암읍 동무리","061-470-2619",""
"전남","영암","4683010004","사자","영암군보건소","전라남도 영암군 영암읍 춘양리","061-470-6524",""
"전남","영암","4683010004","사자","영암군 실내체육관","전라남도 영암군 영암읍 교동리","061-470-2567","1221"
"전남","영암","4683010004","사자","백운마을회관","전라남도 영암군 영암읍 농덕리","","300"
"경남","고성.통영.거제","4882010188","봉암","동해면사무소","경상남도 고성군 동해면 장기리","055-670-5601",""
"경남","고성.통영.거제","4882010188","봉암","고성군소방서","경상남도 고성군 고성읍 송학리","055-670-9254",""
"경남","고성.통영.거제","4882010188","봉암","초등학교","경상남도 고성군 동해면 양촌리","055-672-5045",""
"경남","고성.통영.거제","4882010188","봉암","고성군보건소","경상남도 고성군","055-670-4001",""
"전남","영암","4683010119","성산","도포면사무소","전라남도 영암군 도포면 구학리","061-470-6300",""
"전남","영암","4683010119","성산","도포중학교","전라남도 영암군 도포면 구학리","061-472-3044","573"
"전남","영암","4683010119","성산","도포초등학교","전라남도 영암군 도포면 덕화리","061-472-9041","646"
"전남","영암","4683010119","성산","도포초등학교 수산분교","전라남도 영암군 도포면 수산리","061-472-3175","200"
"전남","영암","4683010119","성산","도포중학교","전라남도 영암군 도포면","061-472-3042","573"
"전남","영암","4683010119","성산","도포면사무소","전라남도 영암군 도포면 구학리","061-470-6292",""
"전남","영암","4683010119","성산","도포초등학교","전라남도 영암군 도포면","061-472-3016","646"
"전남","영암","4683010119","성산","도포중학교","전라남도 영암군 도포면 구학리","061-472-3044","573"
"전남","영암","4683010119","성산","도포초등학교 수산분교","전라남도 영암군 도포면 덕화리","061-472-3016","50"
"경북","예천","4790010065","죽안","예천문화회관","경상북도 예천군 예천읍","054-650-8252","592"
"경북","예천","4790010065","죽안","유천초등학교","경상북도 예천군 유천면","054-653-4611","160"
"경북","예천","4790010065","죽안","예천문화회관","경상북도 예천군 예천읍","054-650-8252",""
"경북","예천","4790010065","죽안","유천초등학교","경상북도 예천군 유천면","054-653-4611",""
"경북","예천","4790010065","죽안","경상북도청","경상북도 안동시 풍천면 갈전리","054-880-2358",""
"경북","예천","4790010065","죽안","성평교회","경상북도 예천군 유천면 성평리","054-654-4500","200"
"경북","예천","4790010065","죽안","고림회관","경상북도 예천군 유천면 고림리","054-655-2010","100"
"경북","예천","4790010065","죽안","새마을회관","경상북도 예천군 유천면 송전리","054-655-6610","100"
"경북","예천","4790010065","죽안","유천면","경상북도 예천군 유천면 가리","054-650-6608",""
"경북","예천","4790010065","죽안","화지노인회관","경상북도 예천군 유천면 화지리","054-653-8859","150"
"경북","예천","4790010065","죽안","상금3리회관","경상북도 예천군 유천면","054-655-2844","20"
"경북","예천","4790010065","죽안","고림노인회관","경상북도 예천군 유천면","054-655-2010","20"
"경북","예천","4790010065","죽안","가1리노인회관","경상북도 예천군 유천면","054-653-1125","20"
"경북","예천","4790010065","죽안","송지노인회관","경상북도 예천군 유천면","054-653-5357","20"
"경북","예천","4790010065","죽안","수심경로당","경상북도 예천군 유천면","054-652-4735","20"
"경북","예천","4790010065","죽안","고평노인정","경상북도 예천군 예천읍","054-652-5375","20"
"경북","예천","4790010065","죽안","유천초등학교","경상북도 예천군 유천면","054-653-4611","100"
"경북","예천","4790010065","죽안","남부초등학교","경상북도 예천군 예천읍","054-654-2353","120"
"경북","예천","4790010065","죽안","동부초등학교","경상북도 예천군 예천읍","054-652-2045","280"
"경북","예천","4790010065","죽안","예천경찰서","경상북도 예천군","054-652-9112",""
"경북","예천","4790010065","죽안","경상북도","경상북도 안동시","054-880-2358",""
"경북","예천","4790010065","죽안","유천초등학교 ","경상북도 예천군 유천면","054-653-4611","100"
"경북","예천","4790010065","죽안","수심경로당 ","경상북도 예천군 유천면","054-652-4735","20"
"경북","예천","4790010065","죽안","송지노인회관 ","경상북도 예천군 유천면","054-653-5357","20"
"경북","예천","4790010065","죽안","상금3리회관 ","경상북도 예천군 유천면","054-655-2844","20"
"경북","예천","4790010065","죽안","고림노인회관 ","경상북도 예천군 유천면","054-655-2010","20"
"경북","예천","4790010065","죽안","가1리노인회관 ","경상북도 예천군 유천면","054-653-1125","20"
"경북","예천","4790010065","죽안","동부초등학교 ","경상북도 예천군 예천읍","054-652-2045","280"
"경북","예천","4790010065","죽안","남부초등학교 ","경상북도 예천군 예천읍","054-654-2353","120"
"경북","예천","4790010065","죽안","고평노인정 ","경상북도 예천군 예천읍","054-652-5375","20"
"경북","영덕.울진","4777010048","양성","남정면사무소","경상북도 영덕군 남정면 장사리","054-730-7302",""
"경북","영덕.울진","4777010048","양성","영덕국유림관리소","경상북도 영덕군 영해면 벌영리","054-732-1601",""
"금강사업단","본부직할","4513090007","금강하구둑","서천중학교","충청남도 서천군 서천읍 군사리","041-953-0102","200"
"금강사업단","본부직할","4513090007","금강하구둑","서천역","충청남도 서천군 서천읍 화금리","041-953-7788","100"
"금강사업단","본부직할","4513090007","금강하구둑","삼산1리 경로당","충청남도 서천군 서천읍 삼산리","041-953-4821","30"
"금강사업단","본부직할","4513090007","금강하구둑","동강중학교","충청남도 서천군 기산면 두북리","041-951-4395","200"
"금강사업단","본부직할","4513090007","금강하구둑","장선초등학교","충청남도 서천군 마서면 신포리","041-953-3003","50"
"금강사업단","본부직할","4513090007","금강하구둑","신포교회","충청남도 서천군 마서면 신포리","041-956-1251","50"
"금강사업단","본부직할","4513090007","금강하구둑","원도삼마을회관","충청남도 서천군 마서면 도삼리","041-951-4179","30"
"금강사업단","본부직할","4513090007","금강하구둑","신기마을경로당","충청남도 서천군 마서면 도삼리","041-951-2027","30"
"금강사업단","본부직할","4513090007","금강하구둑","금당교회당","충청남도 서천군 화양면 금당리","041-951-9992","50"
"금강사업단","본부직할","4513090007","금강하구둑","화양초등학교","충청남도 서천군 화양면 봉명리","041-951-1515","150"
"금강사업단","본부직할","4513090007","금강하구둑","화양교회","충청남도 서천군 화양면 옥포리","041-951-1520","30"
"금강사업단","본부직할","4513090007","금강하구둑","성덕교회","전라북도 군산시 성산면 성덕리","063-453-0261","50"
"전남","영암","4683010147","학파1","구림중학교","전라남도 영암군 군서면 동구림리","061-472-9014","425"
"전남","영암","4683010147","학파1","서호중학교","전라남도 영암군 삼호읍 서호리","061-472-7044","403"
"전남","영암","4683010147","학파1","장천초등학교","전라남도 영암군 서호면 쌍풍리","061-472-7054","840"
"전남","영암","4683010147","학파1","영암군청","전라남도 영암군 영암읍 동무리","061-470-2619",""
"전남","영암","4683010155","학파2","서호면사무소","전라남도 영암군 서호면 장천리","061-470-6380",""
"제주","본부직할","4971010003","용수","한경면사무소","제주특별자치도 제주시 한경면 신창리","064-728-1525",""
"제주","본부직할","4971010003","용수","용수리사무소","제주특별자치도 제주시 한경면 용수리","",""
"제주","본부직할","4971010003","용수","제주시청","제주특별자치도 제주시 이도이동","064-728-3755",""
"충남","세종.대전.금산","3017010004","봉곡","서구 흑석2동 경로당","대전광역시 서구 흑석동","042-583-3633","30"
"충남","공주","3017010004","봉곡","복수초등학교","대전광역시 서구 복수동","042-580-3100","863"
"충남","공주","3017010004","봉곡","정림초등학교","대전광역시 서구 정림동","042-585-6309","628"
"충남","공주","3017010004","봉곡","가수원중학교","대전광역시 서구 가수원동","042-541-0145","54"
"충남","공주","3017010004","봉곡","괴곡경로당","대전광역시 서구 괴곡동","042-583-8493","30"
"충남","공주","3017010004","봉곡","괴곡동마을회관","대전광역시 서구 괴곡동","042-582-7515","30"
"충남","공주","3017010004","봉곡","기성중학교","대전광역시 서구 흑석동","042-585-5303","54"
"충남","공주","3017010004","봉곡","가수원초등학교","대전광역시 서구 가수원동","042-541-1334","145"
"충남","공주","3017010004","봉곡","서구흑석2동경로당","대전광역시 서구 흑석동","042-583-3633","30"
"충남","공주","3017010004","봉곡","기성초등학교","대전광역시 서구 매노동","042-585-4611","27"
"전남","영암","4683010003","쌍정","영암읍사무소","전라남도 영암군 영암읍 동무리","061-470-6021",""
"전남","영암","4683010003","쌍정","영암중학교","전라남도 영암군 영암읍 회문리","061-473-2462","1198"
"전남","영암","4683010003","쌍정","영암군청","전라남도 영암군 영암읍 동무리","061-470-2619",""
"전남","영암","4683010003","쌍정","영암군 실내체육관","전라남도 영암군 영암읍 교동리","061-471-0337","1221"
"전남","영암","4683010003","쌍정","영암초등학교","전라남도 영암군 영암읍 회문리","061-472-9908","2038"
"전남","영암","4683010003","쌍정","영암고등학교","전라남도 영암군 영암읍 회문리","061-473-2030","1196"
"경북","영덕.울진","4777010057","대곡","고곡1리(갈밭목)경로당","경상북도 영덕군 축산면 고곡리","054-732-4586","10"
"경북","영덕.울진","4777010057","대곡","고곡1리마을회관","경상북도 영덕군 축산면 고곡리","054-732-4791","20"
"경북","영덕.울진","4777010057","대곡","도곡1리마을회관","경상북도 영덕군 축산면 도곡리","054-733-7024","30"
"경북","영덕.울진","4777010057","대곡","축산중학교","경상북도 영덕군 축산면 도곡리","054-732-4238","100"
"경북","영덕.울진","4777010057","대곡","도곡2리경로당","경상북도 영덕군 축산면 도곡리","054-732-4766","20"
"경북","영덕.울진","4777010057","대곡","상원리마을회관","경상북도 영덕군 축산면 상원리","054-732-4393","30"
"경북","영덕.울진","4777010057","대곡","상원4리마을회관","경상북도 영덕군 축산면 상원리","054-732-2938","10"
"경북","영덕.울진","4777010057","대곡","부곡리마을회관","경상북도 영덕군 축산면 부곡리","054-732-4943","20"
"경북","영덕.울진","4777010057","대곡","기암2리마을회관","경상북도 영덕군 축산면 기암리","054-732-5138","30"
"경북","영덕.울진","4777010057","대곡","대곡2리(꽃밭)마을회관","경상북도 영덕군 축산면 대곡리","054-732-4822","20"
"강원","강릉","4223010001","미로","사천중학교","강원특별자치도 강릉시 사천면 석교리","033-650-1821","1500"
"강원","강릉","4223010001","미로","미로초등학교","강원특별자치도 삼척시 미로면 하거노리","033-572-0005","358"
"강원","강릉","4223010003","기곡","세계유기농수산 연구교육관","강원특별자치도 삼척시 원덕읍 산양리","033-572-6726","100"
"강원","강릉","4223010003","기곡","산양1리 마을회관","강원특별자치도 삼척시 원덕읍 산양리","033-573-6599","10"
"강원","강릉","4215010007","오봉","초당초등학교","강원특별자치도 강릉시 초당동 ","033-650-5400","600"
"강원","강릉","4215010007","오봉","송양초등학교","강원특별자치도 강릉시 성산면 위촌리","033-644-8976","0"
"강원","강릉","4215010007","오봉","동명중학교","강원특별자치도 강릉시 송정동 ","033-610-8802","560"
"강원","강릉","4215010007","오봉","포남초등학교","강원특별자치도 강릉시 포남동 ","033-610-1005","580"
"강원","강릉","4215010007","오봉","율곡중학교","강원특별자치도 강릉시 교동 ","033-610-5205","560"
"강원","강릉","4215010007","오봉","교1동 주민센터","강원특별자치도 강릉시 교동 ","033-660-3773","697"
"강원","강릉","4215010007","오봉","교동초등학교","강원특별자치도 강릉시 교동 ","033-644-4275","200"
"강원","강릉","4215010007","오봉","강릉명륜고교","강원특별자치도 강릉시 교동 ","033-644-4012","500"
"강원","강릉","4215010007","오봉","강릉제일고교","강원특별자치도 강릉시 교동 ","033-650-0120","500"
"강원","강릉","4215010007","오봉","경포초등학교","강원특별자치도 강릉시 교동 ","033-640-3700","200"
"강원","강릉","4215010007","오봉","강릉초등학교","강원특별자치도 강릉시 홍제동 ","033-650-2604","300"
"강원","강릉","4215010007","오봉","관동중학교","강원특별자치도 강릉시 교동 ","033-650-4600","560"
"강원","강릉","4215010007","오봉","노암초등학교","강원특별자치도 강릉시 노암동 ","033-641-1413","2260"
"강원","강릉","4215010007","오봉","경포중학교","강원특별자치도 강릉시 노암동 ","033-650-7892","178"
"강원","강릉","4215010007","오봉","제비2리마을회관","강원특별자치도 강릉시 구정면 제비리","033-644-7980","60"
"강원","강릉","4215010006","향호","강릉시청","강원특별자치도 강릉시 홍제동 ","033-640-4119",""
"강원","강릉","4215010006","향호","강원지역본부","강원특별자치도 춘천시 우두동 ","033-244-7814",""
"강원","강릉","4215010006","향호","강릉지사","강원특별자치도 강릉시 사천면 미노리","033-650-3277",""
"강원","강릉","4215010006","향호","주문진읍 주민센터","강원특별자치도 강릉시 주문진읍 주문리","033-660-3410",""
"강원","강릉","4215010006","향호","강원도 교직원수련원","강원특별자치도 강릉시 주문진읍 향호리","033-661-3891","300"
"강원","강릉","4215010006","향호","강릉시 청소년해양수련원","강원특별자치도 강릉시 주문진읍 향호리","033-622-0911","300"
"강원","강릉","4215010006","향호","신영초등학교","강원특별자치도 강릉시 주문진읍 주문리","033-660-6091","770"
"강원","강릉","4215010006","향호","신영초등학교","강원특별자치도 강릉시 주문진읍 향호리","033-660-6091","770"
"강원","강릉","4215010006","향호","주영초등학교","강원특별자치도 강릉시 주문진읍 주문리","033-660-7333","260"
"강원","홍천.춘천","4211010021","월송(서상)","강원도청소년수련관","강원특별자치도 춘천시 사농동 ","033-243-3111","379"
