지진옥외대피소명,유형 구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,운영상태,전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
아울뜰 근린공원,공원,세종특별자치시 세종시 보람동 733,,36.474508,127.282675,8000,9697,Y,044-301-3622,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
보람고등학교 운동장,학교운동장,세종특별자치시 세종시 한누리대로 2176,,36.4772141,127.2841859,3352,4063,Y,044-999-7120,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
보람중학교 운동장,학교운동장,세종특별자치시 세종시 남세종로 423,,36.47723567,127.2928816,3352,4063,Y,044-999-6403,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
보람초등학교 운동장,학교운동장,세종특별자치시 세종시 남세종로 416,,36.47939239,127.2939867,2800,3393,Y,044-903-0375,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
여울초등학교 운동장,학교운동장,세종특별자치시 세종시 보람1길 9,,36.47588,127.2855,883,1070,Y,044-999-6171,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
대평뜰 근린공원,공원,세종특별자치시 세종시 대평동 268-6,,36.46913386,127.2753113,11500,13939,Y,044-860-7927,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
두레뜰 근린공원,공원,세종특별자치시 세종시 대평동 673,,36.473494,127.274187,10000,12121,Y,044-301-3623,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
금호중학교 운동장,학교운동장,세종특별자치시 세종시 대평로 27,,36.47004475,127.2805703,2664,3229,Y,044-850-0400,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
대평초등학교 운동장,학교운동장,세종특별자치시 세종시 대평1길 17,,36.46971689,127.2795242,1500,1818,Y,044-902-4100,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
나리꽃 어린이공원,공원,세종특별자치시 세종시 한솔동 985-0,,36.47563559,127.2511808,5002,6063,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
아침뜰 근린공원(1),공원,세종특별자치시 세종시 누리로 96,,36.47927694,127.2516837,8000,9697,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
아침뜰 근린공원(2),공원,세종특별자치시 세종시 한솔동 1246-0,,36.47739622,127.2545725,8000,9697,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
초롱꽃 어린이공원,공원,세종특별자치시 세종시 한솔동 945-0,,36.48021989,127.2598081,6550,7939,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
미르초등학교 운동장,학교운동장,세종특별자치시 세종시 나리로 26-10 ,,36.47190833,127.2540915,2088,2530,Y,044-960-2900,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
참샘초등학교 운동장,학교운동장,세종특별자치시 세종시 노을1로 27,,36.4789528,127.2589581,1632,1978,Y,044-868-3781,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
한솔고등학교 운동장,학교운동장,세종특별자치시 세종시 누리로 34,,36.47789563,127.2530025,1718,2082,Y,044-410-4102,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
한솔중학교 운동장,학교운동장,세종특별자치시 세종시 나리로 43,,36.47545849,127.2551268,1647,1996,Y,044-868-1731,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
한솔초등학교 운동장,학교운동장,세종특별자치시 세종시 누리로 32,,36.47682589,127.2525734,1300,1575,Y,044-410-4303,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
빛가람 수변공원,공원,세종특별자치시 세종시 나성동 828-0,,36.4928046,127.2594273,12189,14774,Y,044-860-7917,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
나성중학교 운동장,학교운동장,세종특별자치시 세종시 갈매로 298,,36.49074435,127.2634041,3009,3647,Y,044-902-0800,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
나성초등학교 운동장,학교운동장,세종특별자치시 세종시 갈매로 294,,36.48997237,127.2636992,2569,3113,Y,044-902-8600,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
가득초등학교 운동장,학교운동장,세종특별자치시 세종시 세종로 933,,36.48705687,127.2441566,2920,3539,Y,044-999-7600,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새뜸중학교 운동장,학교운동장,세종특별자치시 세종시 새롬중앙로 62-12 ,,36.48640561,127.2523695,3204,3883,Y,044-999-5905,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새뜸초등학교 운동장,학교운동장,세종특별자치시 세종시 새롬남로 75,,36.48523679,127.2538608,3150,3818,Y,044-999-7405,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새롬고등학교 운동장,학교운동장,세종특별자치시 세종시 새롬서로 68,,36.48610802,127.2492152,3178,3852,Y,044-999-6303,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새롬중학교 운동장,학교운동장,세종특별자치시 세종시 어울로 41,,36.48099263,127.2495103,3942,4778,Y,044-998-2656,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새롬초등학교 운동장,학교운동장,세종특별자치시 세종시 새롬서로 56,,36.48505564,127.248888,810,981,Y,044-999-5606,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
달님뜰 근린공원,공원,세종특별자치시 세종시 다정동 927-0,,36.49451885,127.2522524,14786,17922,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
도란뜰 근린공원,공원,세종특별자치시 세종시 다정동 947-0,,36.49452677,127.247419,10000,12121,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
다정중학교 운동장,학교운동장,세종특별자치시 세종시 다정서로 52,,36.49390552,127.2456104,2700,3272,Y,044-902-1805,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
다정초등학교 운동장,학교운동장,세종특별자치시 세종시 다정남로 33,,36.49361227,127.2446179,2500,3030,Y,044-902-3805,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새움중학교 운동장,학교운동장,세종특별자치시 세종시 다정서로 12,,36.49086511,127.247268,3234,3920,Y,044-999-6504,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새움초등학교 운동장,학교운동장,세종특별자치시 세종시 다정남로 91,,36.49361658,127.2515219,2400,2909,Y,044-902-3205,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
한결초등학교 운동장,학교운동장,세종특별자치시 세종시 다정북로 137,,36.49646283,127.2453743,3000,3636,Y,044-902-3405,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
어진뜰 근린공원,공원,세종특별자치시 세종시 어진동 598-0,,36.49793982,127.2624774,9085,11012,Y,044-301-3623,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
호수 제2주차장,주차장(옥외),세종특별자치시 세종시 어진동 621,,36.50031,127.26896,9659,11707,Y,044-860-7992,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종대성고등학교 운동장,학교운동장,세종특별자치시 세종시 다솜로 22,,36.49629033,127.2560334,4940,5987,Y,044-860-3702,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
어진중학교 운동장,학교운동장,세종특별자치시 세종시 다솜로 10,,36.49766671,127.2547884,4345,5266,Y,044-410-0703,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연세초등학교 운동장,학교운동장,세종특별자치시 세종시 다솜로 291,,36.50535453,127.2712415,2729,3307,Y,044-860-6503,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연양초등학교 운동장,학교운동장,세종특별자치시 세종시 도움3로 37,,36.50294844,127.2567201,2600,3151,Y,044-998-4205,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
제천뜰 근린공원,공원,세종특별자치시 세종시 종촌동 676-0,,36.50367165,127.2468477,12000,14545,Y,044-301-3613,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
다빛초등학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 5,,36.50007871,127.2437735,2660,3224,Y,044-903-3500,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
종촌고등학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 60,,36.50424,127.24565,4050,4909,Y,044-903-2109,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
종촌중학교 운동장,학교운동장,세종특별자치시 세종시 도움1로 126,,36.5024,127.24549,2845,3448,Y,044-903-3220,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
종촌초등학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 60,,36.5041848,127.2456729,2880,3490,Y,044-903-3607,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
대롱꽃 어린이공원,공원,세종특별자치시 세종시 고운동 1623-0,,36.5081855,127.2333481,6005.5,7279,Y,044-300-3224,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
가락초등학교 운동장,학교운동장,세종특별자치시 세종시 마음로 208,,36.51543,127.23041,2603,3155,Y,044-903-1270,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
고운고등학교 운동장,학교운동장,세종특별자치시 세종시 마음안로 93,,36.50979138,127.2327787,3200,3878,Y,044-903-2304,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
고운중학교 운동장,학교운동장,세종특별자치시 세종시 만남로 65,,36.50513,127.2379,3210,3890,Y,044-903-3318,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
고운초등학교 운동장,학교운동장,세종특별자치시 세종시 만남로 45,,36.50379791,127.2368342,2509,3041,Y,044-903-4306,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
두루고등학교 운동장,학교운동장,세종특별자치시 세종시 마음안1로 53,,36.51580162,127.2274894,3280,3975,Y,044-903-2204,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
두루중학교 운동장,학교운동장,세종특별자치시 세종시 만남로 211,,36.5179702,127.2389209,2730,3309,Y,044-903-3116,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
두루초등학교 운동장,학교운동장,세종특별자치시 세종시 만남로 223,,36.51914716,127.2382075,2480,3006,Y,044-903-2706,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종누리학교 운동장,학교운동장,세종특별자치시 세종시 고운동 473-0,,36.52507046,127.2427458,880,1066,Y,044-410-2117,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
온빛초등학교 운동장,학교운동장,세종특별자치시 세종시 만남로 170,,36.51452977,127.2399777,2280,2763,Y,044-903-3700,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
으뜸초등학교 운동장,학교운동장,세종특별자치시 세종시 마음로 130,,36.50937746,127.2315878,2400,2909,Y,044-903-2507,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
나래초등학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 108,,36.5088855,127.247114,2452,2972,Y,044-867-8062,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종과학예술영재학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 265,,36.52249254,127.2481692,4968,6021,Y,044-903-1015,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종국제고등학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 251,,36.52117984,127.2465545,4460,5406,Y,044-410-0502,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
아름고등학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 151,,36.51333981,127.2446877,4014,4865,Y,044-902-6463,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
아름중학교 운동장,학교운동장,세종특별자치시 세종시 달빛1로 167,,36.51413312,127.2446877,3545,4296,Y,044-902-1000,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
아름초등학교 운동장,학교운동장,세종특별자치시 세종시 달빛로 174,,36.51418126,127.2513016,3112,3772,Y,044-715-1706,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
도담 싱싱장터 주차장,주차장(옥외),세종특별자치시 세종시 보듬6로 16,,36.51572833,127.2596222,10000,12121,Y,044-866-4905,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
늘봄초등학교 운동장,학교운동장,세종특별자치시 세종시 다솜1로 183,,36.51353,127.25481,2504,3035,Y,044-903-3430,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
도담고등학교 운동장,학교운동장,세종특별자치시 세종시 보듬4로 41,,36.51371491,127.2635436,3566,4322,Y,044-410-0308,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
도담중학교 운동장,학교운동장,세종특별자치시 세종시 보람로 80,,36.51528785,127.2630925,2322,2814,Y,044-410-0205,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
도담초등학교 운동장,학교운동장,세종특별자치시 세종시 보람로 33,,36.51177544,127.263089,3603,4367,Y,044-410-0103,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
양지고등학교 운동장,학교운동장,세종특별자치시 세종시 갈매로 518,,36.50926966,127.2684574,1458,1767,Y,044-903-2004,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
양지중학교 운동장,학교운동장,세종특별자치시 세종시 갈매로 512,,36.50816,127.26887,2337,2832,Y,044-903-3019,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
양지초등학교 운동장,학교운동장,세종특별자치시 세종시 보듬8로 11,,36.5182763,127.2597939,2925,3545,Y,044-867-9053,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
6-4생활권 체육공원,공원,세종특별자치시 세종시 해밀동 산10,,36.52655,127.269415,10000,12121,Y,044-301-3532,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
해밀초등학교 운동장,학교운동장,세종특별자치시 세종시 해밀1로 73,,36.52550585,127.2682589,3560,4315,Y,044-902-9900,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
새나루뜰 근린공원,공원,세종특별자치시 세종시 집현동 785-97,,36.49073466,127.3242136,27077,32820,Y,044-300-3224,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
나루초등학교 운동장,학교운동장,세종특별자치시 세종시 집현서로 90,,36.49538041,127.3232684,2157,2614,Y,044-960-9614,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
집현중학교 운동장,학교운동장,세종특별자치시 세종시 집현동 883-58,,36.4909643,127.3225254,2814,3410,Y,044-902-9600,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
집현초등학교 운동장,학교운동장,세종특별자치시 세종시 집현동 883-106,,36.48875831,127.3200658,2150,2606,Y,044-902-6700,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원 문화정원,공원,세종특별자치시 세종시 조치원읍 수원지길 49,,36.60665537,127.2999412,9396,11389,Y,044-300-3432,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
제1호 어린이공원,공원,세종특별자치시 세종시 조치원읍 새내14길 42,,36.60315691,127.3000853,2245,2721,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종중학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 새내로 160,,36.6066529,127.2976345,1980,2400,Y,044-864-2071,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원교동초등학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 새내18길 21,,36.60542761,127.2986552,7463,9046,Y,044-902-4800,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원명동초등학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 조치원10길 35,,36.60074016,127.3047423,4814,5835,Y,044-865-2245,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
제3호 어린이공원,공원,세종특별자치시 세종시 조치원읍 산책2길 23,,36.59504929,127.3006004,1610,1951,Y,044-301-3633,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원신봉초등학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 서북부로 10,,36.60339298,127.288118,5104,6186,Y,044-902-1400,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원청사 주차장,주차장(옥외),세종특별자치시 세종시 조치원읍 군청로 95,,36.59311278,127.2930104,5867,7111,Y,044-300-3224,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원대동초등학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 대동학교길 11,,36.59604582,127.2937828,6374,7726,Y,044-861-4603,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
조치원중학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 대첩로 90,,36.59544285,127.2867125,3375,4090,Y,044-320-6182,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종고등학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 조치원중고길 10,,36.6106148,127.2995919,7481,9067,Y,044-320-6704,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종여자고등학교 운동장,학교운동장,세종특별자치시 세종시 조치원읍 봉산로 16,,36.60691559,127.2874957,8512,10317,Y,044-862-1082,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연남초등학교 운동장,학교운동장,세종특별자치시 세종시 연기면 연기길 2,,36.5434293,127.2780016,5181,6280,Y,044-863-4504,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
수왕초등학교 운동장,학교운동장,세종특별자치시 세종시 연기면 눌왕길 8-45,,36.54400561,127.2523963,4285,5193,Y,044-863-4164,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연동중학교 운동장,학교운동장,세종특별자치시 세종시 연동면 내판로 10-13,,36.55355116,127.330749,6800,8242,Y,044-864-7021,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연동초등학교 운동장,학교운동장,세종특별자치시 세종시 연동면 청연로 606-36,,36.55968672,127.326657,5258,6373,Y,044-864-9380,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
부강중학교 운동장,학교운동장,세종특별자치시 세종시 부강면 부강로 25-7,,36.52691547,127.365768,5806,7037,Y,044-275-4081,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
부강초등학교 운동장,학교운동장,세종특별자치시 세종시 부강면 부강로 15,,36.52704676,127.3667803,6300,7636,Y,044-902-1672,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종미래고등학교 운동장,학교운동장,세종특별자치시 세종시 부강면 문곡달미길 6,,36.5269672,127.3827302,6058,7343,Y,044-275-4092,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
대평전통시장 주차장,주차장(옥외),세종특별자치시 세종시 금남면 용포로 76,,36.46546052,127.2814492,1350,1636,Y,044-300-4133,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
