"지진해일대피소명","지진해일대피소구분","지진해일대피소유형","지진해일대피소유형구분","소재지도로명주소","소재지지번주소","위도","경도","수용가능면적","최대수용인원수","지진해일대피소운영상태","지진해일대피소전화번호","부대편의시설","주민대피지구명","주민대피지구내가구수","주민대피지구내거주인수","주민대피지구내재해약자수","내진적용여부","내진설계등급","해안선이격거리","해발높이","지진대피안내표지판수","긴급대피장소안내표지판수","지진대피로안내표지판수","관리기관명","관리기관전화번호","데이터기준일자"
"봉은중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 영동대로128길 59","","37.518975","127.062388","3715","1126","Y","02-3423-7809","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"경기고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 영동대로 643","","37.515969","127.055179","18668","5657","Y","02-3423-7809","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"삼성목련공원","지진대피소","옥외대피소","공원","서울특별시 강남구 삼성동 55-1","","37.518527","127.053862","1641","497","Y","02-3423-7809","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"삼성까치공원","지진대피소","옥외대피소","공원","서울특별시 강남구 삼성동 85","","37.518337","127.060572","1463","443","Y","02-3423-7809","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"강남구청 주차장","지진대피소","옥외대피소","기타","서울특별시 강남구 학동로 426","","37.517740","127.046850","5176","1568","Y","02-3423-6946","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"보건소 주차장","지진대피소","옥외대피소","기타","서울특별시 강남구 선릉로 668","","37.516318","127.042314","1097","332","Y","02-3423-7013","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"삼릉초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 봉은사로63길 22","","37.513260","127.046949","4408","1336","Y","02-3423-8206","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"언주중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로116길 57","","37.513898","127.047398","7448","2257","Y","02-3423-8206","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"삼성은행나무근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 삼성동 14 외 1필지","","37.516655","127.045700","1500","455","Y","02-3423-8206","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"배꽃근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 삼성동 11-3","","37.516277","127.044578","1593","483","Y","02-3423-8206","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"반달근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 삼성동 7-4","","37.516216","127.042848","679","206","Y","02-3423-8206","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"샘터근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 삼성동 16-4","","37.515413","127.047441","1800","545","Y","02-3423-8206","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대왕초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 헌릉로618길 8","","37.464620","127.105591","1836","556","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"세명초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 자곡로 55","","37.468858","127.091076","1365","414","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"율현초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 밤고개로21길 15","","37.474623","127.107787","300","91","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"자곡초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 자곡로 150","","37.472191","127.099602","1870","567","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"세곡중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 자곡로 81","","37.471980","127.091886","2433","737","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"풍문고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 자곡로 152","","37.471337","127.099964","2392","725","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"세곡동 근린공원1","지진대피소","옥외대피소","공원","서울특별시 강남구 세곡동 525-1","","37.460374","127.103383","10310","3124","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"LH보금자리 근린공원2호","지진대피소","옥외대피소","공원","서울특별시 강남구 자곡동 625","","37.469202","127.090249","5237","1587","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"LH보금자리 근린공원5호","지진대피소","옥외대피소","공원","서울특별시 강남구 자곡동 607","","37.473128","127.098613","21561","6534","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"LH보금자리 근린공원7호","지진대피소","옥외대피소","공원","서울특별시 강남구 자곡동 627 외 1","","37.470359","127.092361","12093","3665","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"윗반고개공원","지진대피소","옥외대피소","공원","서울특별시 강남구 세곡동 99-6 외 11","","37.465690","127.109124","1250","379","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"못골공원","지진대피소","옥외대피소","공원","서울특별시 강남구 자곡동 447-23 외 1","","37.473587","127.100158","749","227","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"윗방죽마을공원","지진대피소","옥외대피소","공원","서울특별시 강남구 율현동 308-29","","37.470289","127.104677","935","283","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"세곡천공원","지진대피소","옥외대피소","공원","서울특별시 강남구 세곡동 522-1","","37.463188","127.101258","2645","802","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대왕공원","지진대피소","옥외대피소","공원","서울특별시 강남구 세곡동 526-2","","37.462337","127.104562","2633","798","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"도담공원","지진대피소","옥외대피소","공원","서울특별시 강남구 세곡동 548","","37.467313","127.098607","4283","1298","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"행복공원","지진대피소","옥외대피소","공원","서울특별시 강남구 세곡동 546","","37.467281","127.097140","2484","753","Y","02-3423-8656","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"수서초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 광평로51길 46","","37.491152","127.101583","7774","2356","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"왕북초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 광평로31길 74","","37.486328","127.086055","3074","932","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대왕중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 광평로20길 7","","37.483274","127.087779","9069","2748","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"수서중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 광평로59길 57","","37.491206","127.102381","2728","827","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"세종고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 광평로51길 36","","37.490390","127.102798","10500","3182","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대진디자인고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 광평로39길 93","","37.490429","127.095980","2952","895","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"탄천근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 수서동 722","","37.487449","127.106454","10011","3034","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"수서개나리공원","지진대피소","옥외대피소","공원","서울특별시 강남구 수서동 723-1","","37.487532","127.105396","1500","455","Y","02-3423-8554","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"신구초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로18길 28","","37.523361","127.023993","12986","3935","Y","02-3423-7307","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"신구중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로36길 17","","37.527276","127.032374","6332","1919","Y","02-3423-7307","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"신사근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 압구정동 422","","37.526738","127.021575","6800","2061","Y","02-3423-7307","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"신사은행나무공원","지진대피소","옥외대피소","공원","서울특별시 강남구 신사동 558","","37.520575","127.026025","1240","376","Y","02-3423-7307","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"압구정초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로39길 29","","37.531740","127.030842","10986","3329","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"신사중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로 123","","37.524697","127.021191","7980","2418","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"압구정중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로 225","","37.530242","127.033002","8496","2575","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"압구정고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로39길 20","","37.530811","127.033611","7977","2417","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"청담고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로 419","","37.528145","127.043769","6208","1881","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"현대고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 압구정로 127","","37.524715","127.022930","12230","3706","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"갈매기근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 압구정동 480","","37.530957","127.034397","7732","2343","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"신사무궁화공원","지진대피소","옥외대피소","공원","서울특별시 강남구 신사동 625-5","","37.524144","127.031915","1642","498","Y","02-3423-7607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"역삼초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 강남대로66길 21","","37.492559","127.033355","5600","1697","Y","02-3423-8607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"역삼까치공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 824-10 외 1","","37.497238","127.030723","987","299","Y","02-3423-8607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"역삼소나무공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 836-21","","37.490975","127.033682","987","299","Y","02-3423-8607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"역삼은행나무공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 611","","37.505422","127.031207","1647","499","Y","02-3423-8607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"충현공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 666-2 외 2","","37.504714","127.036477","1538","466","Y","02-3423-8607","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"도성초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 역삼로 313","","37.501461","127.048871","11452","3470","Y","02-3423-7357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"역삼중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 도곡로43길 10","","37.495935","127.048891","6824","2068","Y","02-3423-7357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"진선여자중학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 선릉로85길 27","","37.501519","127.046190","6816","2065","Y","02-3423-7357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"언주근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 754-7 외 1필지","","37.498689","127.047526","1111","337","Y","02-3423-7357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"길섶근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 757-1","","37.497580","127.048878","1581","479","Y","02-3423-7357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"역삼장미공원","지진대피소","옥외대피소","공원","서울특별시 강남구 역삼동 780-25","","37.495332","127.044717","1637","496","Y","02-3423-7357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대청초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 양재대로55길 28","","37.493148","127.087767","6357","1926","Y","02-3423-8357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"영희초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 일원로 21","","37.492301","127.081133","10545","3195","Y","02-3423-8357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"중동고등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 일원로 7","","37.493715","127.080912","10419","3157","Y","02-3423-8357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대청근린공원","지진대피소","옥외대피소","공원","서울특별시 강남구 일원동 621","","37.492538","127.082671","14089","4269","Y","02-3423-8357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"일원까치공원","지진대피소","옥외대피소","공원","서울특별시 강남구 일원동 712-4","","37.492073","127.088194","1476","447","Y","02-3423-8357","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"대진초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 개포로109길 74","","37.497013","127.078081","6555","1986","Y","02-3423-8457","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
"일원초등학교 운동장","지진대피소","옥외대피소","운동장","서울특별시 강남구 영동대로4길 20","","37.489789","127.076326","6881","2085","Y","02-3423-8457","","별도 지구지정사항 없음","","","","미적용","","","","","","","서울특별시 강남구청","","2018-04-06"
