대피소명,소재지,전화번호,수용가능인원
영암군청,전라남도 영암군 영암읍 동무리,061-470-2619,
재난안전 대책본부,전라남도 영암군,061-470-2519,
영암고등학교,전라남도 영암군 영암읍 회문리,061-473-2030,1196
신기노인복지회관,전라남도 영암군 영암읍 송평리,061-471-6622,20
영암초등학교,전라남도 영암군 영암읍 회문리,061-473-0799,2038
미암서초등학교,전라남도 영암군 미암면 호포리,061-472-6562,350
영암경찰서,전라남도 영암군 영암읍 서남리,061-470-0261,
미암면사무소,전라남도 영암군 미암면 춘동리,061-470-6460,
미암초등학교,전라남도 영암군 미암면 선황리,061-472-9590,629
미암면사무소,전라남도 영암군 미암면 춘동리,061-470-6453,
영암군청,전라남도 영암군 영암읍 동무리,061-470-2619,
구림중학교,전라남도 영암군 군서면 모정리,061-472-9014,425
구림공업고등학교,전라남도 영암군 군서면 양장리,061-471-6311,962
구림초등학교,전라남도 영암군 군서면 동호리,061-472-0017,300
영암군청,전라남도 영암군 영암읍 동무리,061-470-2619,
영암군보건소,전라남도 영암군 영암읍 춘양리,061-470-6524,
영암군 실내체육관,전라남도 영암군 영암읍 교동리,061-470-2567,1221
백운마을회관,전라남도 영암군 영암읍 농덕리,,300
동해면사무소,경상남도 고성군 동해면 장기리,055-670-5601,
고성군소방서,경상남도 고성군 고성읍 송학리,055-670-9254,
초등학교,경상남도 고성군 동해면 양촌리,055-672-5045,
고성군보건소,경상남도 고성군,055-670-4001,
도포면사무소,전라남도 영암군 도포면 구학리,061-470-6300,
도포중학교,전라남도 영암군 도포면 구학리,061-472-3044,573
도포초등학교,전라남도 영암군 도포면 덕화리,061-472-9041,646
도포초등학교 수산분교,전라남도 영암군 도포면 수산리,061-472-3175,200
도포중학교,전라남도 영암군 도포면,061-472-3042,573
도포면사무소,전라남도 영암군 도포면 구학리,061-470-6292,
도포초등학교,전라남도 영암군 도포면,061-472-3016,646
도포중학교,전라남도 영암군 도포면 구학리,061-472-3044,573
도포초등학교 수산분교,전라남도 영암군 도포면 덕화리,061-472-3016,50
예천문화회관,경상북도 예천군 예천읍,054-650-8252,592
유천초등학교,경상북도 예천군 유천면,054-653-4611,160
예천문화회관,경상북도 예천군 예천읍,054-650-8252,
유천초등학교,경상북도 예천군 유천면,054-653-4611,
경상북도청,경상북도 안동시 풍천면 갈전리,054-880-2358,
성평교회,경상북도 예천군 유천면 성평리,054-654-4500,200
고림회관,경상북도 예천군 유천면 고림리,054-655-2010,100
새마을회관,경상북도 예천군 유천면 송전리,054-655-6610,100
유천면,경상북도 예천군 유천면 가리,054-650-6608,
화지노인회관,경상북도 예천군 유천면 화지리,054-653-8859,150
상금3리회관,경상북도 예천군 유천면,054-655-2844,20
고림노인회관,경상북도 예천군 유천면,054-655-2010,20
가1리노인회관,경상북도 예천군 유천면,054-653-1125,20
송지노인회관,경상북도 예천군 유천면,054-653-5357,20
수심경로당,경상북도 예천군 유천면,054-652-4735,20
고평노인정,경상북도 예천군 예천읍,054-652-5375,20
유천초등학교,경상북도 예천군 유천면,054-653-4611,100
남부초등학교,경상북도 예천군 예천읍,054-654-2353,120
동부초등학교,경상북도 예천군 예천읍,054-652-2045,280
예천경찰서,경상북도 예천군,054-652-9112,
경상북도,경상북도 안동시,054-880-2358,
유천초등학교 ,경상북도 예천군 유천면,054-653-4611,100
수심경로당 ,경상북도 예천군 유천면,054-652-4735,20
송지노인회관 ,경상북도 예천군 유천면,054-653-5357,20
상금3리회관 ,경상북도 예천군 유천면,054-655-2844,20
고림노인회관 ,경상북도 예천군 유천면,054-655-2010,20
가1리노인회관 ,경상북도 예천군 유천면,054-653-1125,20
동부초등학교 ,경상북도 예천군 예천읍,054-652-2045,280
남부초등학교 ,경상북도 예천군 예천읍,054-654-2353,120
고평노인정 ,경상북도 예천군 예천읍,054-652-5375,20
남정면사무소,경상북도 영덕군 남정면 장사리,054-730-7302,
영덕국유림관리소,경상북도 영덕군 영해면 벌영리,054-732-1601,
서천중학교,충청남도 서천군 서천읍 군사리,041-953-0102,200
서천역,충청남도 서천군 서천읍 화금리,041-953-7788,100
삼산1리 경로당,충청남도 서천군 서천읍 삼산리,041-953-4821,30
동강중학교,충청남도 서천군 기산면 두북리,041-951-4395,200
장선초등학교,충청남도 서천군 마서면 신포리,041-953-3003,50
신포교회,충청남도 서천군 마서면 신포리,041-956-1251,50
원도삼마을회관,충청남도 서천군 마서면 도삼리,041-951-4179,30
신기마을경로당,충청남도 서천군 마서면 도삼리,041-951-2027,30
금당교회당,충청남도 서천군 화양면 금당리,041-951-9992,50
화양초등학교,충청남도 서천군 화양면 봉명리,041-951-1515,150
화양교회,충청남도 서천군 화양면 옥포리,041-951-1520,30
성덕교회,전라북도 군산시 성산면 성덕리,063-453-0261,50
구림중학교,전라남도 영암군 군서면 동구림리,061-472-9014,425
서호중학교,전라남도 영암군 삼호읍 서호리,061-472-7044,403
장천초등학교,전라남도 영암군 서호면 쌍풍리,061-472-7054,840
영암군청,전라남도 영암군 영암읍 동무리,061-470-2619,
서호면사무소,전라남도 영암군 서호면 장천리,061-470-6380,
한경면사무소,제주특별자치도 제주시 한경면 신창리,064-728-1525,
용수리사무소,제주특별자치도 제주시 한경면 용수리,,
제주시청,제주특별자치도 제주시 이도이동,064-728-3755,
서구 흑석2동 경로당,대전광역시 서구 흑석동,042-583-3633,30
복수초등학교,대전광역시 서구 복수동,042-580-3100,863
정림초등학교,대전광역시 서구 정림동,042-585-6309,628
가수원중학교,대전광역시 서구 가수원동,042-541-0145,54
괴곡경로당,대전광역시 서구 괴곡동,042-583-8493,30
괴곡동마을회관,대전광역시 서구 괴곡동,042-582-7515,30
기성중학교,대전광역시 서구 흑석동,042-585-5303,54
가수원초등학교,대전광역시 서구 가수원동,042-541-1334,145
서구흑석2동경로당,대전광역시 서구 흑석동,042-583-3633,30
기성초등학교,대전광역시 서구 매노동,042-585-4611,27
영암읍사무소,전라남도 영암군 영암읍 동무리,061-470-6021,
영암중학교,전라남도 영암군 영암읍 회문리,061-473-2462,1198
영암군청,전라남도 영암군 영암읍 동무리,061-470-2619,
영암군 실내체육관,전라남도 영암군 영암읍 교동리,061-471-0337,1221
영암초등학교,전라남도 영암군 영암읍 회문리,061-472-9908,2038
영암고등학교,전라남도 영암군 영암읍 회문리,061-473-2030,1196
고곡1리(갈밭목)경로당,경상북도 영덕군 축산면 고곡리,054-732-4586,10
고곡1리마을회관,경상북도 영덕군 축산면 고곡리,054-732-4791,20
도곡1리마을회관,경상북도 영덕군 축산면 도곡리,054-733-7024,30
축산중학교,경상북도 영덕군 축산면 도곡리,054-732-4238,100
도곡2리경로당,경상북도 영덕군 축산면 도곡리,054-732-4766,20
상원리마을회관,경상북도 영덕군 축산면 상원리,054-732-4393,30
상원4리마을회관,경상북도 영덕군 축산면 상원리,054-732-2938,10
부곡리마을회관,경상북도 영덕군 축산면 부곡리,054-732-4943,20
기암2리마을회관,경상북도 영덕군 축산면 기암리,054-732-5138,30
대곡2리(꽃밭)마을회관,경상북도 영덕군 축산면 대곡리,054-732-4822,20
사천중학교,강원특별자치도 강릉시 사천면 석교리,033-650-1821,1500
미로초등학교,강원특별자치도 삼척시 미로면 하거노리,033-572-0005,358
세계유기농수산 연구교육관,강원특별자치도 삼척시 원덕읍 산양리,033-572-6726,100
산양1리 마을회관,강원특별자치도 삼척시 원덕읍 산양리,033-573-6599,10
초당초등학교,강원특별자치도 강릉시 초당동 ,033-650-5400,600
송양초등학교,강원특별자치도 강릉시 성산면 위촌리,033-644-8976,0
동명중학교,강원특별자치도 강릉시 송정동 ,033-610-8802,560
포남초등학교,강원특별자치도 강릉시 포남동 ,033-610-1005,580
율곡중학교,강원특별자치도 강릉시 교동 ,033-610-5205,560
교1동 주민센터,강원특별자치도 강릉시 교동 ,033-660-3773,697
교동초등학교,강원특별자치도 강릉시 교동 ,033-644-4275,200
강릉명륜고교,강원특별자치도 강릉시 교동 ,033-644-4012,500
강릉제일고교,강원특별자치도 강릉시 교동 ,033-650-0120,500
경포초등학교,강원특별자치도 강릉시 교동 ,033-640-3700,200
강릉초등학교,강원특별자치도 강릉시 홍제동 ,033-650-2604,300
관동중학교,강원특별자치도 강릉시 교동 ,033-650-4600,560
노암초등학교,강원특별자치도 강릉시 노암동 ,033-641-1413,2260
경포중학교,강원특별자치도 강릉시 노암동 ,033-650-7892,178
제비2리마을회관,강원특별자치도 강릉시 구정면 제비리,033-644-7980,60
강릉시청,강원특별자치도 강릉시 홍제동 ,033-640-4119,
강원지역본부,강원특별자치도 춘천시 우두동 ,033-244-7814,
강릉지사,강원특별자치도 강릉시 사천면 미노리,033-650-3277,
주문진읍 주민센터,강원특별자치도 강릉시 주문진읍 주문리,033-660-3410,
강원도 교직원수련원,강원특별자치도 강릉시 주문진읍 향호리,033-661-3891,300
강릉시 청소년해양수련원,강원특별자치도 강릉시 주문진읍 향호리,033-622-0911,300
신영초등학교,강원특별자치도 강릉시 주문진읍 주문리,033-660-6091,770
신영초등학교,강원특별자치도 강릉시 주문진읍 향호리,033-660-6091,770
주영초등학교,강원특별자치도 강릉시 주문진읍 주문리,033-660-7333,260
강원도청소년수련관,강원특별자치도 춘천시 사농동 ,033-243-3111,379
서상1리마을회관,강원특별자치도 춘천시 서면 서상리,033-244-5618,61
춘천시,강원특별자치도 춘천시 교동 ,033-250-3319,
서상초등학교,강원특별자치도 춘천시 서면 서상리,033-244-2177,303
월송1리마을회관,강원특별자치도 춘천시 서면 월송리,033-244-8966,45
신매1리마을회관,강원특별자치도 춘천시 서면 신매리,033-244-2243,61
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
강성1구마을회관,전라남도 화순군 이양면 강성리,061-373-2172,12
금능마을회관,전라남도 화순군 이양면 금능리,061-372-3320,26
도암중학교,전라남도 화순군 도암면 천태리,061-373-0586,200
천태초등학교,전라남도 화순군 도암면 천태리,061-373-0513,500
천태초등학교,전라남도 화순군 도암면 천태리,061-373-0513,
도암중학교,전라남도 화순군 도암면 원천리,061-373-0586,
도암중학교,전라남도 화순군 도암면 원천리,061-373-0585,200
대흥초등학교,경상남도 고성군 대가면 유흥리,055-672-4205,
대가면사무소,경상남도 고성군 대가면 암전리,055-670-3071,
장전마을회관,경상남도 고성군 대가면,,25
송계마을회관,경상남도 고성군 대가면,,23
대가면 복지회관,경상남도 고성군 대가면 유흥리,,
참전2마을회관,경상남도 고성군 대가면,,20
참전1마을회관,경상남도 고성군 대가면,,29
봉밭1마을회관,경상남도 고성군 대가면,,18
봉밭2마을회관,경상남도 고성군 대가면,,25
신전마을회관,경상남도 고성군 대가면 신전리,055-673-0514,100
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
능주초등학교,전라남도 화순군 한천면 모산리,061-372-4586,390
능주중학교,전라남도 화순군 춘양면 부곡리,061-372-1191,180
금곡마을회관,전라남도 화순군 능주면 잠정리,061-373-7525,30
무학리마을회관,경기도 강화군 교동면 무학리,,20
교동중학교,경기도 강화군 교동면 대룡리,032-932-4026,40
난정초등학교,경기도 강화군 교동면 난정리,032-934-9377,70
교동초등학교,경기도 강화군 교동면 대룡리,032-932-4021,98
지석초등학교,경기도 강화군 교동면 삼선리,032-934-5643,100
도곡초등학교,전라남도 화순군 도곡면 천암리,061-372-4028,500
동면초등학교,전라남도 화순군 동면 장동리,061-372-8005,300
중앙교회,전라남도 화순군 능주면 석고리,061-372-1155,100
능주초등학교,전라남도 화순군 능주면 잠정리,061-372-4586,
도곡교회,전라남도 화순군 도곡면 효산리,061-372-4315,100
도곡초등학교,전라남도 화순군 도곡면 천암리,061-372-4028,
동면초등학교,전라남도 화순군 동면 장동리,061-372-8005,
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
아산초등학교,전라남도 화순군 북면 이천리,061-372-5091,1500
중앙교회,전라남도 화순군 능주면 석고리,061-372-1155,100
도곡교회,전라남도 화순군 도곡면 효산리,061-372-4315,0
도곡초등학교,전라남도 화순군 도곡면 천암리,061-372-4028,500
동면초등학교,전라남도 화순군 동면 장동리,061-372-8005,300
춘양면복지회관,전라남도 화순군 춘양면 석정리,061-372-9468,468
도산초등학교,경상남도 통영시 도산면 법송리,055-643-9008,100
도산중학교,경상남도 통영시 도산면 법송리,055-646-4109,100
도산면사무소,경상남도 통영시 도산면 법송리,055-650-3540,50
도산면사무소,경상남도 통영시 도산면 법송리,055-650-3540,
도산초등학교,경상남도 통영시 도산면 법송리,055-645-8252,
광도초등학교,경상남도 통영시 광도면 노산리,055-641-6033,
석교초등학교용등분교,전라남도 진도군 임회면 백동리,061-543-4012,200
석교중학교,전라남도 진도군 임회면 석교리,061-543-3106,200
푸르미체험관,전라남도 진도군 지산면 길은리,061-543-2596,300
지산초등학교,전라남도 진도군 지산면 인지리,061-542-0014,300
석교고등학교,전라남도 진도군 임회면 석교리,061-543-3048,200
남면행복복지센터,경상북도 김천시 남면 옥산리,054-421-2068,
거제면사무소,경상남도 거제시 거제면 서상리,055-639-6004,
옥산초등학교,경상북도 경주시 안강읍 옥산리,054-762-5600,357
옥산초등학교,경상북도 경주시 안강읍 옥산리,054-762-5600,357
이서북초등학교,전라남도 화순군 이서면 영평리,061-372-9064,300
이서북초등학교,전라남도 화순군 이서면 영평리,061-372-9064,300
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
상문동주민센터,경상남도 거제시 문동동,055-639-6018,
거제상동초등학교,경상남도 거제시,,500
거제고현초등학교,경상남도 거제시,055-638-4632,500
달성경찰서,대구광역시 달성군 현풍읍,053-660-8250,
달성소방서,대구광역시 달성군 현풍읍,053-670-5200,
현내3리 마을회관,대구광역시 달성군,,16
현내2리 마을회관,대구광역시 달성군,,20
하빈초등학교,대구광역시 달성군 하빈면,053-235-1004,257
재난 안전 대책 본부,경상남도 사천시 용현면,055-211-4541,
대성초등학교,경상남도 사천시,055-833-2801,
남양초등학교,경상남도 사천시,055-834-3597,800
학림초등학교,경상북도 칠곡군 가산면 학하리,054-971-7075,462
청광마을회관,경상남도 고성군 개천면 청광리,,
구만초등학교,경상남도 고성군 구만면,,392
개천초등학교,경상남도 고성군 개천면,,433
영오초등학교,경상남도 고성군 영오면 영대리,055-672-9004,1000
고성군,경상남도 고성군 고성읍 성내리,055-670-2501,
대구북부소방서,대구광역시 북구 침산동,053-350-4700,
삼성병원,대구광역시 북구 읍내동,053-320-7215,
마암초등학교,경상남도 고성군 마암면,,395
회화중학교,경상남도 고성군 회화면,,1100
고성고등학교,경상남도 고성군 회화면,,1454
회화면사무소,경상남도 고성군 회화면 배둔리,,50
고성군청,경상남도 고성군 고성읍 성내리,055-670-2114,
고성성심병원,경상남도 고성군 회화면 삼덕리,055-673-8511,50
경주경찰서,경상북도 경주시 동부동,,
와읍마을회관,경상북도 경주시 양북면 와읍리,,
용동2리 마을회관,경상북도 경주시 양북면 용동리,,100
권이마을회관,경상북도 경주시 양북면,,50
고성소방서,경상남도 고성군 고성읍,055-670-9254,
동해초등학교,경상남도 고성군 동해면,055-672-5045,
아산초등학교,전라남도 화순군 북면 이천리,061-372-5091,1500
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
아산초등학교,전라남도 화순군 북면 이천리,061-372-5092,1500
도덕초등학교,전라남도 고흥군 도덕면 도덕리,061-842-1150,500
소가야중학교,경상남도 고성군 삼산면,,7971
중촌마을회관,경상남도 고성군 삼산면 장치리,,100
삼산면사무소,경상남도 고성군 삼산면 미룡리,,100
고성군청,경상남도 고성군 고성읍 성내리,055-670-2114,
거제제일중고등학교,경상남도 거제시,055-633-3101,
한국전력거제,경상남도 거제시,055-630-2211,
거제경찰서,경상남도 거제시,055-639-0381,
구만초등학교,경상남도 고성군 개천면,,392
가천마을회관,경상남도 고성군 개천면,,37
고성군청,경상남도 고성군 고성읍 성내리,055-670-2114,
청광보건진료소,경상남도 고성군 개천면,,30
나선마을회관,경상남도 고성군 개천면 나선리,,100
경주초등학교 화천분교,경상북도 경주시 건천읍 화천리,054-740-9116,
신평리 재하마을 노인회관,경상북도 경주시 건천읍 신평리,,
신평리 새마을회관,경상북도 경주시 건천읍 신평리,,
모량초등학교,경상북도 경주시 건천읍 모량리,054-748-1637,613
건천읍사무소,경상북도 경주시 건천읍,054-779-8081,
경주초등학교,경상북도 경주시 충효동,054-741-2761,820
도로공사 경주영업소,경상북도 경주시 율동,054-741-8800,50
경주대학교,경상북도 경주시 효현동,054-770-5042,3000
광명교회,경상북도 경주시 안강읍 산대리,054-761-7340,50
모량초등학교,경상북도 경주시 건천읍 모량리,054-748-1637,140
대곡1리 노인회관,경상북도 경주시 건천읍 대곡리,054-751-3608,50
금척교회,경상북도 경주시 건천읍 금척리,054-751-0154,50
무산중고등학교,경상북도 경주시 건천읍 천포리,054-751-0021,240
건천초등학교,경상북도 경주시 건천읍 건천리,054-751-6538,260
용문사,경상북도 경주시 용강동,054-743-8387,50
신평2리 회관,경상북도 경주시 건천읍 신평리,054-751-7271,50
홍익광자,경상북도 경주시 건천읍 신평리,054-751-6633,50
(주)명성,경상북도 경주시 서면 사라리,054-751-9100,50
아화석재,경상북도 경주시 서면 사라리,054-751-1188,50
아화교회,경상북도 경주시 서면 아화리,054-751-1064,50
아화중학교,경상북도 경주시 서면 아화리,054-751-1105,240
정일산업(주) 경주공장,경상북도 경주시 안강읍 사방리,054-760-7183,100
사방초등학교,경상북도 경주시 안강읍 사방리,054-762-5939,120
모아초등학교,경상북도 경주시 강동면 모서리,054-745-4222,120
청령교회,경상북도 경주시 안강읍 청령리,054-762-0789,50
신라공업고등학교,경상북도 경주시 천북면 신당리,054-774-7673,540
미어코리아 유한회사 경주공장,경상북도 경주시 현곡면 라원리,054-775-3221,100
나원교회,경상북도 경주시 현곡면 라원리,054-775-1596,50
금장교회,경상북도 경주시 현곡면 금장리,054-775-1004,50
유림초등학교,경상북도 경주시 황성동,054-771-6167,1060
계림고등학교,경상북도 경주시 황성동,054-748-2730,200
동국대학교 경주분교,경상북도 경주시 석장동,054-770-2114,3000
경주여자고등학교,경상북도 경주시 성건동,054-743-3841,540
흥무초등학교,경상북도 경주시 성건동,054-741-6663,600
신라고등학교,경상북도 경주시 충효동,054-772-3218,480
신라초등학교,경상북도 경주시 사정동,054-744-0770,140
오릉초등학교,경상북도 경주시 탑동,054-773-3657,140
칠성중학교,경상남도 고성군 고성읍,,765
고성군청,경상남도 고성군 고성읍 성내리,055-670-2114,
척정마을회관,경상남도 고성군 대가면 척정리,,150
하일초등학교,경상남도 고성군 하일면,055-673-3386,500
고성군청,경상남도 고성군 고성읍 성내리,055-670-2114,
수양마을회관,경상남도 고성군 하일면 수양리,,150
모화초등학교,경상북도 경주시 외동읍 모화리,054-773-8629,200
태화고등학교,경상북도 경주시 외동읍 모화리,054-773-0033,0
모화초등학교,경상북도 경주시 외동읍 모화리,054-773-0649,928
동산2리동회관,경상북도 경주시 천북면 동산리,054-774-0094,30
동산1리동회관,경상북도 경주시 천북면 동산리,054-774-0225,30
천북초등학교,경상북도 경주시 천북면 동산리,054-774-6786,83
해남군 재난대책본부,전라남도 해남군 해남읍 해리,061-530-5494,
